"User_ID sorted by SD","Ensembl_gene_id","symbol","C_1","C_2","S_1","S_2"
" ENSG00000111799","ENSG00000111799","  COL12A1;COL12A1",104602,103252,0,0
" ENSG00000164692","ENSG00000164692","  COL1A2;COL1A2",482544,496515,60,60
" ENSG00000137573","ENSG00000137573","  SULF1;SULF1",48829,47522,0,0
" ENSG00000101825","ENSG00000101825","  MXRA5;MXRA5",31046,32843,0,0
" ENSG00000100604","ENSG00000100604","  CHGA;CHGA",0,0,27375,27177
" ENSG00000138829","ENSG00000138829","  FBN2;FBN2",25495,25118,0,0
" ENSG00000137801","ENSG00000137801","  THBS1;THBS1",97868,93330,36,38
" ENSG00000165092","ENSG00000165092","  ALDH1A1;ALDH1A1",20760,18608,0,0
" ENSG00000165092","ENSG00000165092","  ALDH1A1;HEL-S-53e",20760,18608,0,0
" ENSG00000128564","ENSG00000128564","  VGF;VGF",3,2,22392,21730
" ENSG00000143248","ENSG00000143248","  RGS5;RGS5",57,84,133619,132672
" ENSG00000008196","ENSG00000008196","  TFAP2B;TFAP2B",0,0,14803,14763
" ENSG00000127241","ENSG00000127241","  MASP1;MASP1",14252,14801,0,0
" ENSG00000164761","ENSG00000164761","  TNFRSF11B;TNFRSF11B",13845,14708,0,0
" ENSG00000185686","ENSG00000185686","  PRAME;PRAME",0,0,13673,13617
" ENSG00000162374","ENSG00000162374","  ELAVL4;ELAVL4",0,0,13628,13556
" ENSG00000196569","ENSG00000196569","  LAMA2;LAMA2",13868,14140,2,0
" ENSG00000165462","ENSG00000165462","  PHOX2A;PHOX2A",0,0,12600,12576
" ENSG00000130294","ENSG00000130294","  KIF1A;KIF1A",1,0,12921,12820
" ENSG00000157851","ENSG00000157851","  DPYSL5;DPYSL5",0,0,11980,11923
" ENSG00000272398","ENSG00000272398","  CD24;CD24",0,3,13282,13297
" ENSG00000224940","ENSG00000224940","  PRRT4;PRRT4",0,0,10925,10854
" ENSG00000170091","ENSG00000170091","  NSG2;NSG2",0,0,10073,10034
" ENSG00000123454","ENSG00000123454","  DBH;DBH",9,18,20205,20144
" ENSG00000112936","ENSG00000112936","  C7;C7",0,0,8499,8464
" ENSG00000185559","ENSG00000185559","  DLK1;DLK1",0,0,8537,8420
" ENSG00000229807","ENSG00000229807","  XIST;",0,0,8354,8268
" ENSG00000197635","ENSG00000197635","  DPP4;DPP4",7743,7887,0,0
" ENSG00000137142","ENSG00000137142","  IGFBPL1;IGFBPL1",3,1,9186,9161
" ENSG00000103546","ENSG00000103546","  SLC6A2;SLC6A2",0,2,8391,8368
" ENSG00000182168","ENSG00000182168","  UNC5C;UNC5C",0,0,7581,7537
" ENSG00000109132","ENSG00000109132","  PHOX2B;PHOX2B",0,0,7406,7345
" ENSG00000168243","ENSG00000168243","  GNG4;GNG4",7,5,11070,11051
" ENSG00000121898","ENSG00000121898","  CPXM2;CPXM2",6789,6729,0,0
" ENSG00000196361","ENSG00000196361","  ELAVL3;ELAVL3",0,0,6788,6702
" ENSG00000075461","ENSG00000075461","  CACNG4;CACNG4",14,9,13859,13830
" ENSG00000075043","ENSG00000075043","  KCNQ2;KCNQ2",0,0,6454,6386
" ENSG00000105251","ENSG00000105251","  SHD;SHD",0,0,6304,6278
" ENSG00000214548","ENSG00000214548","  MEG3;",10673,9110,6,6
" ENSG00000187955","ENSG00000187955","  COL14A1;COL14A1",6138,6716,0,1
" ENSG00000107485","ENSG00000107485","  GATA3;GATA3",10,5,10562,10526
" ENSG00000077279","ENSG00000077279","  DCX;DCX",0,0,5882,5856
" ENSG00000003147","ENSG00000003147","  ICA1;ICA1",3,1,7034,6991
" ENSG00000055118","ENSG00000055118","  KCNH2;KCNH2",4,4,8081,7980
" ENSG00000080573","ENSG00000080573","  COL5A3;COL5A3",5583,5662,0,0
" ENSG00000132872","ENSG00000132872","  SYT4;SYT4",0,0,5610,5580
" ENSG00000000971","ENSG00000000971","  CFH;CFH",4788,6239,0,0
" ENSG00000206538","ENSG00000206538","  VGLL3;VGLL3",4934,5712,0,0
" ENSG00000234745","ENSG00000234745","  HLA-B;HLA-B",12142,11970,11,15
" ENSG00000188322","ENSG00000188322","  SBK1;SBK1",0,1,5509,5433
" ENSG00000138083","ENSG00000138083","  SIX3;SIX3",0,0,5043,4932
" ENSG00000167178","ENSG00000167178","  ISLR2;ISLR2",4,12,8566,8545
" ENSG00000164920","ENSG00000164920","  OSR2;OSR2",6021,6659,3,3
" ENSG00000132182","ENSG00000132182","  NUP210;NUP210",2,6,6751,6691
" ENSG00000111321","ENSG00000111321","  LTBR;LTBR",4747,4744,0,0
" ENSG00000188783","ENSG00000188783","  PRELP;PRELP",6877,7437,6,5
" ENSG00000164742","ENSG00000164742","  ADCY1;ADCY1",6,12,8487,8437
" ENSG00000168280","ENSG00000168280","  KIF5C;KIF5C",7,11,8436,8387
" ENSG00000060709","ENSG00000060709","  RIMBP2;RIMBP2",0,0,4442,4394
" ENSG00000056487","ENSG00000056487","  PHF21B;PHF21B",0,0,4388,4343
" ENSG00000113196","ENSG00000113196","  HAND1;HAND1",0,0,4301,4313
" ENSG00000073756","ENSG00000073756","  PTGS2;PTGS2",5733,5439,3,3
" ENSG00000085563","ENSG00000085563","  ABCB1;ABCB1",4,0,5054,5055
" ENSG00000150051","ENSG00000150051","  MKX;MKX",4258,4322,0,0
" ENSG00000080854","ENSG00000080854","  IGSF9B;IGSF9B",5,7,6813,6749
" ENSG00000166888","ENSG00000166888","  STAT6;STAT6",6302,6342,5,5
" ENSG00000096696","ENSG00000096696","  DSP;DSP",4264,4142,0,0
" ENSG00000078549","ENSG00000078549","  ADCYAP1R1;ADCYAP1R1",0,0,4211,4190
" ENSG00000104722","ENSG00000104722","  NEFM;NEFM",8,7,7346,7287
" ENSG00000060138","ENSG00000060138","  YBX3;YBX3",3751,4441,0,0
" ENSG00000060138","ENSG00000060138","  YBX3;CSDA",3751,4441,0,0
" ENSG00000143028","ENSG00000143028","  SYPL2;SYPL2",5737,5705,4,4
" ENSG00000092051","ENSG00000092051","  JPH4;JPH4",1,0,4280,4283
" ENSG00000165124","ENSG00000165124","  SVEP1;SVEP1",26768,27525,57,56
" ENSG00000101160","ENSG00000101160","  CTSZ;CTSZ",9626,9717,14,14
" ENSG00000204941","ENSG00000204941","  PSG5;PSG5",4044,3872,0,0
" ENSG00000171094","ENSG00000171094","  ALK;ALK",3,7,5763,5742
" ENSG00000183654","ENSG00000183654","  MARCHF11;MARCH11",0,0,3896,3848
" ENSG00000182326","ENSG00000182326","  C1S;C1S",12767,13466,23,26
" ENSG00000103888","ENSG00000103888","  CEMIP;CEMIP",8237,7713,12,10
" ENSG00000149090","ENSG00000149090","  PAMR1;PAMR1",6727,7057,8,9
" ENSG00000196208","ENSG00000196208","  GREB1;GREB1",11,4,6337,6314
" ENSG00000109113","ENSG00000109113","  RAB34;RAB34",4843,4788,3,3
" ENSG00000117707","ENSG00000117707","  PROX1;PROX1",8,9,6773,6731
" ENSG00000159403","ENSG00000159403","  C1R;C1R",12204,13164,26,24
" ENSG00000080644","ENSG00000080644","  CHRNA3;CHRNA3",0,2,3920,3894
" ENSG00000112378","ENSG00000112378","  PERP;PERP",3488,3605,0,0
" ENSG00000167654","ENSG00000167654","  ATCAY;ATCAY",0,0,3525,3527
" ENSG00000122176","ENSG00000122176","  FMOD;FMOD",3419,3625,0,0
" ENSG00000136542","ENSG00000136542","  GALNT5;GALNT5",5167,5391,5,5
" ENSG00000145920","ENSG00000145920","  CPLX2;CPLX2",0,0,3478,3512
" ENSG00000143340","ENSG00000143340","  FAM163A;FAM163A",0,0,3468,3452
" ENSG00000130600","ENSG00000130600","  H19;",12,25,9450,9605
" ENSG00000109610","ENSG00000109610","  SOD3;SOD3",3236,3636,0,0
" ENSG00000075340","ENSG00000075340","  ADD2;ADD2",0,0,3430,3413
" ENSG00000149451","ENSG00000149451","  ADAM33;ADAM33",15561,14605,34,34
" ENSG00000122756","ENSG00000122756","  CNTFR;CNTFR",1,1,3770,3737
" ENSG00000243137","ENSG00000243137","  PSG4;PSG4",7379,7295,12,11
" ENSG00000108018","ENSG00000108018","  SORCS1;SORCS1",0,0,3366,3334
" ENSG00000122012","ENSG00000122012","  SV2C;SV2C",0,0,3310,3329
" ENSG00000188848","ENSG00000188848","  BEND4;BEND4",0,0,3315,3300
" ENSG00000111249","ENSG00000111249","  CUX2;CUX2",0,0,3214,3200
" ENSG00000255650","ENSG00000255650","  FAM222A-AS1;",0,0,3191,3190
" ENSG00000101098","ENSG00000101098","  RIMS4;RIMS4",1,0,3341,3312
" ENSG00000089199","ENSG00000089199","  CHGB;CHGB",4,5,4609,4563
" ENSG00000164107","ENSG00000164107","  HAND2;HAND2",16,20,8819,8706
" ENSG00000196482","ENSG00000196482","  ESRRG;NR3B3",0,1,3252,3243
" ENSG00000196482","ENSG00000196482","  ESRRG;ESRRG",0,1,3252,3243
" ENSG00000277586","ENSG00000277586","  NEFL;NEFL",15,11,7010,7028
