query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	enrichment
query_1	TRUE	0.00180911855520753	10	4664	10	0.00214408233276158	1	GO:1904851	GO:BP	positive regulation of establishment of protein localization to telomere	14163	27760	IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,DKC1,WRAP53,CCT4	3.03666380789022
query_1	TRUE	0.0105611190140547	8	4664	8	0.00171526586620926	1	GO:1900264	GO:BP	positive regulation of DNA-directed DNA polymerase activity	14163	23573	IMP,IDA,IDA,IDA,IDA,IDA,IDA,IDA	PCNA,RFC3,RFC2,CHTF18,RFC4,RFC5,POLG2,DSCC1	3.03666380789022
query_1	TRUE	0.0105611190140547	8	4664	8	0.00171526586620926	1	GO:1900262	GO:BP	regulation of DNA-directed DNA polymerase activity	14163	23571	IMP,IDA,IDA,IDA,IDA,IDA,IDA,IDA	PCNA,RFC3,RFC2,CHTF18,RFC4,RFC5,POLG2,DSCC1	3.03666380789022
query_1	TRUE	0.0242940857492227	7	4664	7	0.0015008576329331	1	GO:0031630	GO:BP	regulation of synaptic vesicle fusion to presynaptic active zone membrane	14163	8424	TAS,IEA,IEA,IEA,IEA,ISS IBA IEA,IEA	STXBP1,CPLX2,GRIK5,CPLX1,SYT1,RAB3A,SYT9	3.03666380789022
query_1	TRUE	0.0242940857492227	7	4664	7	0.0015008576329331	1	GO:0071600	GO:BP	otic vesicle morphogenesis	14163	19651	ISS,ISS,IEA,ISS,IEA,IEA,IEA	PROX1,CEP290,EYA1,FGFR2,STOX1,HESX1,TCAP	3.03666380789022
query_1	TRUE	0.0242940857492227	7	4664	7	0.0015008576329331	1	GO:1901632	GO:BP	regulation of synaptic vesicle membrane organization	14163	24881	TAS,IEA,IEA,IEA,IEA,ISS IBA IEA,IEA	STXBP1,CPLX2,GRIK5,CPLX1,SYT1,RAB3A,SYT9	3.03666380789022
query_1	TRUE	0.000151084548658531	16	4664	15	0.00321612349914237	0.9375	GO:0070200	GO:BP	establishment of protein localization to telomere	14163	18763	IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IDA IEA,IMP TAS,IMP,IMP,IDA	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,DKC1,NABP2,POT1,BRCA2,ACD,WRAP53,CCT4,TERT	2.84687231989708
query_1	TRUE	0.000366632973824585	15	4664	14	0.00300171526586621	0.933333333333333	GO:1904874	GO:BP	positive regulation of telomerase RNA localization to Cajal body	14163	27779	HMP,HMP,HMP,HMP,IMP HMP,IMP HMP,HMP,HMP,HMP,IMP HMP,HMP,HMP,HMP,IMP HMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,RUVBL2,RUVBL1,DKC1,NHP2,NOP10,SHQ1,CCT4	2.83421955403087
query_1	TRUE	0.00404529238980053	12	4664	11	0.00235849056603774	0.916666666666667	GO:1904867	GO:BP	protein localization to Cajal body	14163	27772	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP,IDA,IDA TAS,HMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,DKC1,LARP7,WRAP53,CCT4	2.78360849056604
query_1	TRUE	0.00404529238980053	12	4664	11	0.00235849056603774	0.916666666666667	GO:1903405	GO:BP	protein localization to nuclear body	14163	26445	HMP,HMP,HMP,HMP,HMP,HMP,HMP,HMP,IDA,IDA TAS,HMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,DKC1,LARP7,WRAP53,CCT4	2.78360849056604
