query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	enrichment
query_1	TRUE	0.0045050034834291	7	4302	7	0.00162715016271502	1	GO:0006686	GO:BP	sphingomyelin biosynthetic process	14163	2667	IEA,IEA,NAS,IDA IBA,IEA,IDA IBA IEA,IMP	SPTLC2,ORMDL3,SAMD8,SGMS1,PEMT,SGMS2,ABCA8	3.29218967921897
query_1	TRUE	0.0045050034834291	7	4302	7	0.00162715016271502	1	GO:0002827	GO:BP	positive regulation of T-helper 1 type immune response	14163	1470	IEA,IDA,IEA,IEA,IDA,ISS,IDA ISS TAS NAS	RIPK2,IL1R1,IL27RA,PLA2G4A,IL1B,NLRP10,IL23A	3.29218967921897
query_1	TRUE	0.0117945201598275	6	4302	6	0.00139470013947001	1	GO:1900222	GO:BP	negative regulation of amyloid-beta clearance	14163	23537	IGI,IMP,ISS IEA,ISS,IMP,IEA	LRPAP1,SRF,HMGCR,IFNGR1,MYOCD,PLA2G3	3.29218967921897
query_1	TRUE	0.0117945201598275	6	4302	6	0.00139470013947001	1	GO:1901098	GO:BP	positive regulation of autophagosome maturation	14163	24393	IMP IBA IEA,IMP,IMP IBA,TAS,IMP,IDA	FYCO1,SMCR8,CALCOCO2,UVRAG,IRGM,ADRB2	3.29218967921897
query_1	TRUE	0.0117945201598275	6	4302	6	0.00139470013947001	1	GO:0090715	GO:BP	immunological memory formation process	14163	21636	IDA,IEA,IEA,ISS,IEA,ISS	CD46,TSC1,ST3GAL1,TNFSF4,BCL6,IL23A	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0015990	GO:BP	electron transport coupled proton transport	14163	5652	IBA,IBA,IBA,IEA,IBA	MT-CO1,MT-ND4,MT-ND5,MT-CYB,NDUFS7	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0072540	GO:BP	T-helper 17 cell lineage commitment	14163	20386	ISS IEA,ISS IEA,IEA,ISS IEA,ISS IBA	STAT3,LOXL3,IL6R,IL6,IL23A	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0034105	GO:BP	positive regulation of tissue remodeling	14163	9701	ISS,IMP,IEA,IC,IC	ROCK2,ROCK1,PPP3CA,IL15,IL23A	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:1903527	GO:BP	positive regulation of membrane tubulation	14163	26556	IBA IEA,IMP,IDA,IDA IBA,IEA	ASAP1,SH3GLB1,ATP10A,PLEKHM2,SH3GL2	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0072126	GO:BP	positive regulation of glomerular mesangial cell proliferation	14163	20052	ISS,IEA,IEA,IEA,IMP	EGR1,CFLAR,PDGFD,SERPINB7,IL6R	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:1904238	GO:BP	pericyte cell differentiation	14163	27194	IEA,IEA,IEP,ISS IEA,IEA	EPHA2,NOTCH1,CD34,OSR1,FOXC2	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0035507	GO:BP	regulation of myosin-light-chain-phosphatase activity	14163	10464	IMP IGI,IMP IGI,IDA,IDA IMP IBA,IMP	ROCK2,ROCK1,NUAK1,PPP1R12A,IKBKB	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0015988	GO:BP	energy coupled proton transmembrane transport, against electrochemical gradient	14163	5650	IBA,IBA,IBA,IEA,IBA	MT-CO1,MT-ND4,MT-ND5,MT-CYB,NDUFS7	3.29218967921897
query_1	TRUE	0.0307584421367569	5	4302	5	0.00116225011622501	1	GO:0043379	GO:BP	memory T cell differentiation	14163	12318	IDA,IEA,ISS,IEA,ISS	CD46,TSC1,TNFSF4,BCL6,IL23A	3.29218967921897
query_1	TRUE	0.000194737395267024	13	4302	12	0.00278940027894003	0.923076923076923	GO:0010885	GO:BP	regulation of cholesterol storage	14163	5019	IDA IBA,ISS IEA,IBA,IMP,IDA,IDA IBA,TAS,IDA IBA,IMP IEA,ISS IBA IEA,IEA,IMP	SREBF2,EHD1,PPARD,NR1H2,SCARB1,PPARA,ABCA1,PPARG,NR1H3,TTC39B,CD36,CES1	3.03894431927905
query_1	TRUE	0.00324109654536117	10	4302	9	0.00209205020920502	0.9	GO:0032740	GO:BP	positive regulation of interleukin-17 production	14163	9013	IMP,ISS IEA,ISS IEA,IEA,ISS,ISS,IDA,ISS,IDA	SLC7A5,ZBTB7B,MYD88,TGFB1,SPHK1,RFTN1,IL15,IL6,IL23A	2.96297071129707
query_1	TRUE	0.00324109654536117	10	4302	9	0.00209205020920502	0.9	GO:0060099	GO:BP	regulation of phagocytosis, engulfment	14163	16959	ISS,ISS IEA,IEA,ISS,ISS IEA,IEA,ISS,IDA,IEA	ANO6,APPL2,ITGA2,RAB31,C3,PPARG,ABCA7,F2RL1,CD36	2.96297071129707
query_1	TRUE	0.00324109654536117	10	4302	9	0.00209205020920502	0.9	GO:0060100	GO:BP	positive regulation of phagocytosis, engulfment	14163	16960	ISS,ISS IEA,IEA,ISS,ISS IEA,IEA,ISS,IDA,IEA	ANO6,APPL2,ITGA2,RAB31,C3,PPARG,ABCA7,F2RL1,CD36	2.96297071129707
query_1	TRUE	0.00324109654536117	10	4302	9	0.00209205020920502	0.9	GO:1905155	GO:BP	positive regulation of membrane invagination	14163	28038	ISS,ISS IEA,IEA,ISS,ISS IEA,IEA,ISS,IDA,IEA	ANO6,APPL2,ITGA2,RAB31,C3,PPARG,ABCA7,F2RL1,CD36	2.96297071129707
query_1	TRUE	0.00783627189887253	9	4302	8	0.00185960018596002	0.888888888888889	GO:0010745	GO:BP	negative regulation of macrophage derived foam cell differentiation	14163	4895	IC,IDA IC,IMP,IMP,TAS,ISS IEA,IDA IC,IC	NR1H2,PPARA,ITGAV,NFKBIA,ABCA1,ABCA5,PPARG,NR1H3	2.92639082597242
query_1	TRUE	0.00783627189887253	9	4302	8	0.00185960018596002	0.888888888888889	GO:0042481	GO:BP	regulation of odontogenesis	14163	11828	IEA,IEA,IDA,IEA,IEA,IEA,IEA,ISS IEA	TNFRSF11B,TGFB1,CD34,BMP4,RUNX2,EDN1,MSX1,BMP2	2.92639082597242
query_1	TRUE	0.00783627189887253	9	4302	8	0.00185960018596002	0.888888888888889	GO:0010887	GO:BP	negative regulation of cholesterol storage	14163	5021	IBA,IMP,IDA IBA,TAS,IDA IBA,IMP IEA,ISS IBA IEA,IMP	PPARD,NR1H2,PPARA,ABCA1,PPARG,NR1H3,TTC39B,CES1	2.92639082597242
query_1	TRUE	0.0190807694928665	8	4302	7	0.00162715016271502	0.875	GO:0009750	GO:BP	response to fructose	14163	4111	ISS,IEA,IEA,IEA,ISS IEA,IEA,ISS IEA	XBP1,PTGS2,ADIPOR2,KRT18,SLC26A6,PPARGC1A,SLC2A5	2.8806659693166
query_1	TRUE	0.0190807694928665	8	4302	7	0.00162715016271502	0.875	GO:0071499	GO:BP	cellular response to laminar fluid shear stress	14163	19576	NAS,IDA ISO,IMP,IMP TAS,IMP,IMP,TAS	SREBF2,XBP1,NFE2L2,MAPK7,KLF4,KLF2,MAP2K5	2.8806659693166
query_1	TRUE	0.0190807694928665	8	4302	7	0.00162715016271502	0.875	GO:0034058	GO:BP	endosomal vesicle fusion	14163	9676	IDA IBA,IMP IBA,IMP,IMP IBA,ISS IEA,IDA,IDA	VPS39,TGFBRAP1,VPS11,VPS8,SPHK1,ANKFY1,SAMD9	2.8806659693166
