query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	enrichment
query_1	TRUE	1.41154097599039e-07	15	4914	15	0.00305250305250305	1	GO:1904874	GO:BP	positive regulation of telomerase RNA localization to Cajal body	18866	27779	HMP,HMP,HMP,HMP,IMP HMP,IMP HMP,HMP,HMP,HMP,IMP HMP,HMP,HMP,HMP,HMP,IMP HMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,RUVBL2,RUVBL1,DKC1,NHP2,NOP10,SHQ1,NAF1,CCT4	3.83923483923484
query_1	TRUE	0.000701202865427887	8	4914	8	0.00162800162800163	1	GO:1900264	GO:BP	positive regulation of DNA-directed DNA polymerase activity	18866	23573	IMP,IDA,IDA,IDA,IDA,IDA,IDA,IDA	PCNA,RFC3,RFC2,CHTF18,RFC4,RFC5,POLG2,DSCC1	3.83923483923484
query_1	TRUE	0.000701202865427887	8	4914	8	0.00162800162800163	1	GO:1900262	GO:BP	regulation of DNA-directed DNA polymerase activity	18866	23571	IMP,IDA,IDA,IDA,IDA,IDA,IDA,IDA	PCNA,RFC3,RFC2,CHTF18,RFC4,RFC5,POLG2,DSCC1	3.83923483923484
query_1	TRUE	0.000701202865427887	8	4914	8	0.00162800162800163	1	GO:2000234	GO:BP	positive regulation of rRNA processing	18866	29434	IMP,IMP,IMP,IMP,IMP,IMP,IDA,IMP	TRMT112,HEATR1,WDR43,BUD23,WDR75,RIOK1,SIRT7,UTP15	3.83923483923484
query_1	TRUE	0.00223780908556172	7	4914	7	0.00142450142450142	1	GO:0031630	GO:BP	regulation of synaptic vesicle fusion to presynaptic active zone membrane	18866	8424	TAS,IEA,IEA,IEA,IEA,ISS IBA IEA,IEA	STXBP1,CPLX2,GRIK5,CPLX1,SYT1,RAB3A,SYT9	3.83923483923484
query_1	TRUE	0.00223780908556172	7	4914	7	0.00142450142450142	1	GO:1901632	GO:BP	regulation of synaptic vesicle membrane organization	18866	24881	TAS,IEA,IEA,IEA,IEA,ISS IBA IEA,IEA	STXBP1,CPLX2,GRIK5,CPLX1,SYT1,RAB3A,SYT9	3.83923483923484
query_1	TRUE	0.00751482424608782	6	4914	6	0.00122100122100122	1	GO:0051572	GO:BP	negative regulation of histone H3-K4 methylation	18866	15986	IMP,IMP,IDA,IEA,IEA,ISS	BCOR,MACROH2A1,WDR5,BRCA1,PRMT6,KDM1A	3.83923483923484
query_1	TRUE	0.00751482424608782	6	4914	6	0.00122100122100122	1	GO:0034475	GO:BP	U4 snRNA 3'-end processing	18866	9969	IBA,IBA,IBA,IBA,IBA,IBA	EXOSC6,EXOSC2,EXOSC9,EXOSC8,EXOSC4,EXOSC7	3.83923483923484
query_1	TRUE	6.65119976111076e-05	10	4914	10	0.00203500203500203	1	GO:1904851	GO:BP	positive regulation of establishment of protein localization to telomere	18866	27760	IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP,IMP	CCT3,CCT6A,CCT5,CCT7,CCT2,TCP1,CCT8,DKC1,WRAP53,CCT4	3.83923483923484
query_1	TRUE	0.0244392395713098	5	4914	5	0.00101750101750102	1	GO:0045915	GO:BP	positive regulation of catecholamine metabolic process	18866	13667	IDA IC,IMP,IEA,IEA,IEA	PARK7,HPRT1,ABAT,MAOB,GPR37	3.83923483923484
query_1	TRUE	0.0244392395713098	5	4914	5	0.00101750101750102	1	GO:0062176	GO:BP	R-loop disassembly	18866	18629	IDA,IDA,IDA,IDA,IDA	DDX21,DDX23,SRPK2,SIRT7,PRIMPOL	3.83923483923484
query_1	TRUE	0.0244392395713098	5	4914	5	0.00101750101750102	1	GO:0045964	GO:BP	positive regulation of dopamine metabolic process	18866	13714	IDA IC,IMP,IEA,IEA,IEA	PARK7,HPRT1,ABAT,MAOB,GPR37	3.83923483923484
query_1	TRUE	0.0244392395713098	5	4914	5	0.00101750101750102	1	GO:0090666	GO:BP	scaRNA localization to Cajal body	18866	21604	IMP,IMP,IMP,IDA IMP,IMP	CCT2,TCP1,DKC1,WRAP53,CCT4	3.83923483923484
query_1	TRUE	0.0244392395713098	5	4914	5	0.00101750101750102	1	GO:0010032	GO:BP	meiotic chromosome condensation	18866	4319	IBA,IBA IEA,IEA,IBA,IBA IEA	NCAPD2,NCAPD3,SMC2,INCENP,NCAPH2	3.83923483923484
