ENSGene,Control_1,Control_2,SHSY5Y_1,SHSY5Y_2
ENSG00000000003,718,871,1040,1042
ENSG00000000005,0,0,0,0
ENSG00000000419,295,251,561,565
ENSG00000000457,289,299,664,676
ENSG00000000460,59,72,1287,1277
ENSG00000000938,9,15,0,0
ENSG00000000971,4788,6239,0,0
ENSG00000001036,442,437,278,284
ENSG00000001084,584,558,1094,1090
ENSG00000001167,0,0,0,0
ENSG00000001460,129,97,167,171
ENSG00000001461,3820,3650,435,437
ENSG00000001497,715,775,2988,2973
ENSG00000001561,18,23,3,4
ENSG00000001617,406,353,463,458
ENSG00000001626,16,15,0,0
ENSG00000001629,2440,2613,4387,4363
ENSG00000001630,0,0,0,0
ENSG00000001631,0,0,0,0
ENSG00000002016,305,315,502,515
ENSG00000002079,0,0,0,0
ENSG00000002330,60,61,76,52
ENSG00000002549,620,643,740,750
ENSG00000002586,13087,12424,1914,1897
ENSG00000002587,0,0,0,0
ENSG00000002726,0,1,14,15
ENSG00000002745,7,3,14,16
ENSG00000002746,713,768,8,8
ENSG00000002822,0,0,0,0
ENSG00000002834,3746,3527,773,769
ENSG00000002919,379,442,1220,1219
ENSG00000002933,3,7,6,6
ENSG00000003056,1985,1817,3028,2998
ENSG00000003096,19,22,5799,5830
ENSG00000003137,592,683,2,2
ENSG00000003147,3,1,7034,6991
ENSG00000003249,129,122,1574,1573
ENSG00000003393,2112,2295,1809,1806
ENSG00000003400,92,94,2,2
ENSG00000003402,2432,2344,715,720
ENSG00000003436,9,18,1,1
ENSG00000003509,343,316,928,926
ENSG00000003756,2552,2324,1711,1706
ENSG00000003987,25,32,250,249
ENSG00000003989,49,49,1282,1281
ENSG00000004059,0,0,0,0
ENSG00000004139,171,161,569,552
ENSG00000004142,2503,2587,3886,3867
ENSG00000004399,9080,8771,797,789
ENSG00000004455,2,2,22,25
ENSG00000004468,5,0,42,42
ENSG00000004478,0,0,0,0
ENSG00000004487,88,86,1057,1082
ENSG00000004534,2131,2260,6115,6050
ENSG00000004660,399,397,315,313
ENSG00000004700,1027,1156,1559,1553
ENSG00000004766,490,550,1393,1394
ENSG00000004776,440,446,14,11
ENSG00000004777,85,46,593,591
ENSG00000004779,537,531,2164,2152
ENSG00000004799,0,0,0,0
ENSG00000004809,1,0,0,0
ENSG00000004838,0,1,0,1
ENSG00000004846,0,0,0,0
ENSG00000004848,0,0,0,0
