"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2MP1",1.30239091431231,1.2900928795611,12.2402427788004,11.5299406162622,6.59066679723401,3.19676606757519,1.60838850402455,1.98755839125695,0.0468605519680549,0.0669425195243876
"AACSP1",0,0,6.1201213894002,8.45528978525896,3.64385279366479,4.93377102620082,2.29737633899297,2.14756761548414,0.0317481203822277,0.0465116946926382
"AADACL2-AS1",0,0,11.4752276051254,12.298603324013,5.9434577322846,5.63964191840219,2.0060853086738,2.81126724472674,0.00493467797402291,0.00801171692102142
"AATK",22.1406455433093,12.900928795611,704.578974954698,704.863703007497,361.121063075279,5.33140190379192,0.333162916865566,16.0023869221411,1.22968713606371e-57,9.56273183100097e-57
"ABAT",56.0028093154294,70.9551083758603,823.156326874327,823.237760001122,443.338001141685,3.69639247540091,0.221132769946653,16.715715523722,1.00703957988728e-62,8.33913224027572e-62
"ABCA12",35.1645546864324,29.6721362299052,633.432563802921,641.83336097193,335.025653922797,4.29825462871838,0.276906910317564,15.5223812355894,2.44795503072434e-54,1.8235117649922e-53
"ABCA17P",16.93108188606,5.16037151824439,35.9557131627262,37.6644726797899,23.9279098117051,1.73784071193442,0.788693143028056,2.20344341433256,0.027563511108771,0.0407608770284167
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.119814594684699,35.1384114046803,1.74735389667747e-270,6.14431854682612e-269
"ABCB1",5.20956365724924,0,3866.38668775358,3885.58998768037,1939.2965597728,10.545986520997,0.727184852601253,14.5024837677412,1.16844171327712e-47,7.93158035903219e-47
"ABCB4",40.3741183436816,50.3136223028828,231.034582449858,231.367475032995,138.272449532354,2.34984078575391,0.331564955962906,7.08712046763107,1.36931181574427e-12,3.98157710642025e-12
"ABCC8",0,0,80.3265932358777,78.4035961905831,39.6825473566152,8.37878744286631,1.53849495494374,5.44609354482589,5.14880656575638e-08,1.20268643532948e-07
"ABCD2",0,0,1019.00021133513,1029.23936567834,512.059894253369,12.0685142583934,1.45114414971766,8.31655095101444,9.05600710252168e-17,3.09222405768452e-16
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.06601252558887,7.06217317027907,1.63918524467227e-12,4.7427465409734e-12
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404885,0.671486527237479,2.55754114846372,0.0105415085506897,0.0165011042603607
"ABHD1",7.81434548587387,7.74055727736658,53.5510621572518,55.3437149580586,31.1124199696377,2.80750512703434,0.715686615200638,3.92281351558779,8.75208937608398e-05,0.000166549564104661
"ABLIM1",1216.4331139677,1243.6495358969,4163.21257513949,4165.38321330166,2697.16960957644,1.75934656148491,0.0862408701305819,20.4003804555889,1.65919694861019e-92,1.94477577468568e-91
"ABLIM2",2.60478182862462,14.1910216751721,169.068353382181,169.105795705179,88.7424881477891,4.32831779629522,0.553133967489067,7.82508045192647,5.0733236729266e-15,1.62545423997331e-14
"ACBD7",19.5358637146847,25.8018575912219,378.682510969138,378.950714921152,200.742736799049,4.06206857669089,0.341289518822986,11.9021193229134,1.15379241439709e-32,6.03325442306656e-32
"ACHE",32.5597728578078,27.091950470783,108.632154661854,108.381441792865,69.1663299458273,1.86338896057504,0.447127210720439,4.16746938208621,3.07999866779019e-05,6.06219693750707e-05
"ACOT11",71.6315002871771,69.6650154962992,282.290599086084,285.942527283303,177.382410538216,2.00779282007508,0.283811549358924,7.07438729893234,1.50110503940281e-12,4.3528714340477e-12
"ACOT7",1213.82833213907,1162.37368448455,3623.8768776986,3625.01332975284,2406.27305601876,1.60914023335886,0.0896522726486578,17.9486831266954,4.91418163778496e-72,4.61628655620242e-71
"ACRBP",6.51195457156155,5.16037151824439,26.0105159049509,26.1345320635277,15.9543435145711,2.15977584884677,0.938379370517691,2.30160201375192,0.0213576264785641,0.0321775861005884
"ACRV1",3.90717274293693,1.2900928795611,58.1411531993019,59.1870284968127,30.6313618296532,4.49923222031197,0.938961095719875,4.7917131400024,1.65363222462491e-06,3.5668389259626e-06
"ACTG1P25",7.81434548587387,3.87027863868329,68.8513656307523,69.1796436975733,37.4289083632207,3.56374163351055,0.724887527996725,4.91626838077789,8.82094500391685e-07,1.93309587027773e-06
"ACTL6A",673.336102699465,672.138390251332,2243.02448921517,2253.71905912539,1460.55451032284,1.7407668711808,0.107711004340007,16.1614579851636,9.43046249858733e-59,7.42889494786675e-58
"ACTL6B",0,0,1193.42367093304,1176.05394285875,592.369403447947,12.2787009970412,1.45013214115602,8.4672980127541,2.51150926762392e-17,8.75163590507276e-17
"ACTL8",0,0,9.18018208410031,9.22395249300977,4.60103364427752,5.27030271704456,2.14426246109197,2.45786269762921,0.0139766598428443,0.0215525323016949
"ACTN2",0,1.2900928795611,156.063095429705,153.732541550163,77.7714324648573,7.90095461054184,1.49058581999394,5.30057008765449,1.15441637126561e-07,2.65205027046871e-07
"ACTR3B",270.897310176961,236.086996959681,1209.48898958022,1223.7110307393,735.046081864038,2.26302174243986,0.151458337516336,14.9415461674124,1.76824316743342e-50,1.25708840333567e-49
"ACTR5",246.151882805027,223.18606816407,799.440856490402,804.021192307352,518.199999941712,1.77260492857573,0.169949560227983,10.4301824976647,1.80541205040299e-25,7.98518704792823e-25
"ACVR2B",170.613209774913,156.101238426893,1783.25036983648,1797.90207342916,976.966722866861,3.4544900638165,0.147895742501416,23.3576031695668,1.15356800101053e-120,1.73228991416117e-119
"ACVR2B-AS1",13.0239091431231,20.6414860729776,73.4414566728024,72.2542945285766,44.8402866043699,2.11299202563124,0.569161253748244,3.71246639105528,0.000205249322727768,0.000378743426467668
"ACYP1",85.9578003446125,101.917337485327,367.972298537687,360.502809935132,229.08756157569,1.95488913006453,0.252759770090312,7.73417830442731,1.04073086893371e-14,3.29341775255639e-14
"ADAM11",36.4669456007447,32.2523219890274,283.820629433434,282.099213744549,158.659777691939,3.04203892948429,0.329893129270094,9.22128610624585,2.93557758053315e-20,1.11964629750224e-19
"ADAM22",16.93108188606,42.5730650255162,5838.59580548779,5847.9858805682,2936.52145824189,7.61698841631542,0.601374647170491,12.6659619791986,9.12943052469676e-37,5.17364858296462e-36
"ADAM23",382.902928807819,316.072755492469,1040.42063619803,1037.6946554636,694.272743990481,1.57215170924429,0.153396630421573,10.248932489088,1.1965772914561e-24,5.19230166532711e-24
"ADAM29",1.30239091431231,1.2900928795611,13.7702731261505,13.0672660317638,7.35750573794693,3.37186506649184,1.56069672777271,2.16048704818128,0.0307349851874749,0.0452067415369312
"ADAMTS17",2.60478182862462,9.03065015692768,249.394946618058,244.434741064759,126.366279917092,5.40425674252268,0.569615885781663,9.48754569073617,2.36537706054622e-21,9.35574382774033e-21
"ADAMTS19",1.30239091431231,1.2900928795611,55.0810925046018,54.5750522503078,28.0621571371958,5.40252927613306,1.19556320633504,4.51881527258967,6.21866212043781e-06,1.28857287563028e-05
"ADAMTS19-AS1",5.20956365724924,2.58018575912219,119.342367093304,122.98603324013,62.5295374374514,4.9610900569741,0.72466222262871,6.84607242113127,7.5905063409317e-12,2.13615840421514e-11
"ADAMTS20",1.30239091431231,0,84.1516691042528,83.015572437088,42.1174081139133,7.01061614874526,1.53029625913367,4.58121498167557,4.62282321219787e-06,9.67040638452626e-06
"ADAMTS3",108.098445887922,141.910216751721,370.267344058712,365.114786181637,246.347698219998,1.55622618159171,0.244462305692565,6.3659146844046,1.94129322775018e-10,5.10069990410102e-10
"ADAMTS7P3",2.60478182862462,1.2900928795611,16.0653186471755,16.1419168627671,9.02552755453209,3.049017704222,1.35889296148768,2.24375119353332,0.0248484142519193,0.0370336512820838
"ADAMTS9",253.966228290901,290.270897901247,12164.5062766066,12096.4450318746,6201.29710866832,5.47794323609056,0.0975743801725791,56.141204549819,0,0
"ADAMTSL2",0,0,892.00769250508,877.81281225143,442.455126189127,11.8577360158847,1.45232920968819,8.16463370479928,3.22412042824321e-16,1.07962266075084e-15
"ADARB2",27.3502092005585,10.3207430364888,856.051979342353,831.693049786381,431.353995341446,5.48806263681518,0.320645627324674,17.1156634275825,1.13416129219407e-65,9.73842031679681e-65
"ADCY1",7.81434548587387,15.4811145547332,6492.68377897994,6485.20726529362,3250.29662607854,9.11959738384974,0.348986159994863,26.131687812445,1.59171311570003e-150,3.0477627460033e-149
"ADCYAP1R1",0,0,3221.47889634553,3220.69674547591,1610.54391045536,13.7216755973639,1.44602132819272,9.48926224657672,2.32675122143597e-21,9.20725599833841e-21
"ADD2",0,0,2624.00204570534,2623.44582155353,1311.86196681472,13.4257441249599,1.44656530141668,9.28111859990801,1.67708498407927e-20,6.46473249423566e-20
"ADGRB1",9.11673640018618,0,707.639035649398,697.94573863774,353.675377671831,7.26958418824285,1.78390156842558,4.07510387171124,4.59938127626479e-05,8.93191174910187e-05
"ADGRB3",2.60478182862462,0,1057.25097001889,1053.83657232637,528.423081043469,9.6693833689764,1.03170085361419,9.37227427417866,7.09861745411615e-21,2.77092435855455e-20
"ADGRD2",0,0,12.2402427788004,12.298603324013,6.13471152570336,5.68534255204518,1.99059247062842,2.85610572527201,0.00428872297216226,0.00700650932658751
