"","C_1","C_2","S_1","S_2"
"COL1A1",764706.639683959,804185.846938808,6585.25061499462,6544.39429379043
"FN1",770395.483197675,784078.459317968,8715.81787367956,8713.56045506323
"COL1A2",628460.92135592,640550.466095278,45.9009104205015,46.1197624650489
"EEF1A1",299134.447590166,302891.876541993,161405.196387478,161875.754276075
"MT-CO1",349915.971730117,359676.604728754,115081.232575934,115018.844274293
"COL6A3",304411.735574959,299102.873754722,734.414566728024,736.37887402528
"MT-RNR2",86771.7946660577,105951.457919714,117881.953126758,117871.351582756
"MT-ND4",145128.024363649,165067.383939842,69819.8748406249,69917.5598970141
"IGFBP5",260208.5879432,251328.154238816,1533.85542321843,1529.63878842412
"ACTB",131631.347318631,127773.37897749,72663.4362411749,70894.5301985654
"MT-CO2",104354.072009274,117439.735012206,73681.6714373364,73707.0670462256
"EEF2",130878.565370158,126512.958234159,59167.0385472001,58934.1384659627
"MT-CO3",126098.790714632,129856.878977981,57452.6395429944,57482.1346110214
"COL6A1",211783.088967239,216237.627914754,2415.91791846573,2419.75020399956
"COL6A2",208678.189027519,201718.922648173,2783.12520182974,2786.4023155967
"FLNA",169108.948268882,159661.894774481,21962.0556058626,21872.2973490494
"AHNAK",191236.569903048,189162.448651405,3695.78830402405,3700.34227511242
"RGS5",74.2362821158017,108.367801883132,102220.562491283,101980.018762716
"ACTG1",96301.3889860809,92300.9851610782,39743.3032875912,39698.3542044986
"SPARC",148656.201350521,152823.112419928,3822.7808228541,3842.54487604632
"COL3A1",135397.861842822,139358.413035949,9167.9418413215,9154.7728493122
"MT-ND5",78893.6320253826,92454.506213746,37189.682637864,37505.3594992855
"LRP1",137605.414442582,141029.08331498,3980.37394863116,3964.7622465787
"MT-ATP6",74481.1316076924,85757.6340759444,34400.4373146449,33548.2838797843
"COL12A1",136232.694418896,133204.670000442,0,0
"FBLN1",120195.052700055,129971.697244262,5488.98387111831,5474.4158046013
"PKM",69607.5848063358,69864.9798926312,33220.783916838,33254.6547254235
"MT-CYB",71016.7717756217,84495.9232397336,28092.1221925206,28207.6153863316
"THBS1",127462.394001917,120404.368449437,27.5405462523009,29.209182894531
"HSP90AB1",21660.063295928,22383.111460385,58674.3687753534,58776.5626108738
"HSP90AA1",16356.7274928483,20727.9222959081,60589.9667702357,60755.8690833321
"RPL4",45336.2277272115,45760.8845309117,41795.8389985613,41776.8181662568
