"","C_1","C_2","S_1","S_2"
"COL1A1",777635.004705046,818979.47880725,6450.836103966,6422.4851897953
"FN1",783420.025552234,798502.199958617,8537.91539643176,8551.24408169128
"COL1A2",639085.874470144,652333.896286998,44.9640063008782,45.2606426342164
"MT-CO1",355831.758483459,366293.139081234,112732.257797352,112876.271009516
"EEF1A1",304191.706319376,308463.811107319,158110.682356303,158860.329581836
"COL6A3",309558.213753627,304605.106630324,719.424100814052,722.661594059655
"IGFBP5",264607.754148872,255951.533531223,1502.54721055435,1501.14464736818
"MT-ND4",147581.603260961,168103.928441077,68394.7499842659,68615.134233472
"COL6A1",215363.558832903,220215.489345234,2366.60553163622,2374.67505020855
"MT-RNR2",88238.7852435702,107900.518414071,115475.81158181,115675.641756442
"COL6A2",212206.166502387,205429.701063281,2726.31758204325,2734.49715915057
"ACTB",133856.74725377,130123.870892233,71180.2701746053,69573.9055132735
"AHNAK",194469.674014854,192642.240840405,3620.35190732571,3631.41222735196
"EEF2",133091.238542763,128840.263716876,57959.3535219371,57836.3121901334
"FLNA",171967.956021784,162599.00104625,21513.7782147602,21464.8597692771
"MT-CO3",128230.655550735,132245.698515776,56279.9478865993,56411.3562911995
"MT-CO2",106118.313960841,119600.13140952,72177.7217143798,72334.0503699168
"SPARC",151169.428690227,155634.413905444,3744.75232475814,3770.96587547413
"COL3A1",137686.939627869,141922.020774225,8980.81085849542,8984.23756289195
"LRP1",139931.813789038,143623.424348521,3899.12874639116,3890.9065784548
"COL12A1",138535.886139556,135655.074790138,0,0
"ACTG1",97929.4898083312,93998.9344606902,38932.0848556154,38958.8524914456
"FBLN1",122227.107130336,132362.628954473,5376.94575348002,5372.43828068148
"THBS1",129617.312333474,122619.301613175,26.9784037805269,28.665073668337
"MT-ND5",80227.431968698,94155.2796540039,36430.5873050766,36806.7089341887
"MT-ATP6",75740.3324654303,87335.2132801263,33698.2745221932,32923.3457961729
"MT-CYB",72217.4031033605,86050.2922796154,27518.7212562425,27682.1633791306
"PKM",70784.3919869096,71150.2012092734,32542.6995602606,32635.1863714017
"FTL",91959.0516262972,97154.7424803499,6477.81450774653,6485.0957454393
"RGS5",75.4913434729231,110.361312927319,100134.092631951,100080.332992779
"LAMC1",82829.896704212,84643.1855397921,5370.20115253489,5373.94696876929
"RPL13A",49114.4031815768,51210.2768485839,37684.3336807661,37794.8996317024
"SCD",72847.8220418362,73575.5224433666,14664.2612549264,14687.8328788471
"RPL4",46102.6958998676,46602.6920338683,40942.7253373697,40998.598786161
"RPL3",52471.78135182,50477.1624127095,35802.5900170743,35817.0095485871
"FBN1",77880.5782733644,76325.3584904723,3722.2703216077,3727.21392092772
"HSP90AB1",22026.2549701436,22794.866420107,57476.7398543076,57681.6716611331
"ANXA2",73929.8646316147,72690.0042896403,5954.73323444631,5943.47672191651
"APP",63439.2167079476,62716.7575464108,15677.4501969062,15738.6341320048
"HSP90AA1",16633.2593452007,21109.2287476576,59353.2377172643,59624.1075741849
"RPLP0",37860.8953659728,37642.4044842931,38929.0872551954,38890.9615274943
"GAPDH",41612.9475775306,44119.5624930036,33667.5491178876,33788.5784145303
"RPS2",34812.1046172944,35027.8924280388,41566.2262247419,41314.6689405566
"COL5A2",71964.4408822495,71349.9026326657,3112.25863612579,3102.61705257553
"MT-ND1",46033.8266040677,49975.281203921,25944.2316356067,26877.2782842855
"COL5A1",73222.6299401315,70871.6702766473,2220.47251115837,2207.21067246195
"GNAS",29315.8050486518,28343.1500450126,44468.6528314636,44446.7054108444
"HSPA8",28608.5703571686,29856.6766223015,43204.4148543039,43361.958675711
"MT-ND2",36286.1724293184,43180.1775079675,32755.5291900848,32799.6333729727
"SEPTIN11",63516.0324609552,65751.693651912,7114.80459700897,7127.04252680127
"MYH9",65681.4420500469,58513.8308790954,8787.46563140164,8797.16024000385
"MRC2",64745.0845090757,64037.1518260769,4111.2089761103,4102.12291074781
"FAT1",65503.9711724088,63769.131494682,1795.56265161507,1796.09316853449
"MMP2",54642.4885790502,54733.9559113347,9727.96276319501,9725.75775804919
"PSAP",53381.6507020989,52916.9357234956,11033.4177461305,11053.4032753195
"HDLBP",52384.3703225355,50214.3973819302,12848.464800476,12856.2855402492
"SULF1",64669.5931656028,62435.5989634769,0,0
"HNRNPA2B1",11430.9786932421,11834.9369863011,48521.4085993827,48682.3472173631
"LUM",55800.0225123017,62389.6150830905,267.535837490226,266.283447497973
"ITGB1",49440.2079270915,48791.5247402601,9788.66417170119,9832.87461228351
"PTMA",9970.1549765643,9127.14334412007,48312.3259700836,48008.7179861572
"PABPC1",36182.8684856186,37496.5698922106,20547.0520792913,20573.979453427
"CAVIN1",56606.5879188808,53372.8330518978,1513.03881202455,1513.96849611454
"TPM4",44733.2564410781,43047.4811674239,12588.4229640359,12590.0020927512
"DDX5",29466.7877355976,29345.5986374357,26974.6567800019,27083.9685523151
"PLEC",51470.5277436528,47903.378936226,5966.72363612654,5991.00039668244
"ENO1",20930.9682850189,20630.9963916392,34741.4394683736,34781.2951763075
"RACK1",28370.1766409383,29595.2254166761,25723.9080047324,25663.5387176446
"RPL8",20231.6800507434,20129.1151828507,34306.7874074651,34318.1279333507
"TUBB",16421.3538196627,18091.372369157,35993.687043853,36196.4446026706
"B2M",51458.6080578413,48826.9980194153,2899.42900630163,2912.52235351182
"CALU",43657.8358989726,46802.3934572606,7526.97465476702,7531.3709343336
"RPL7A",28746.3089487683,27185.6700844296,24548.0992399645,24553.8986290624
"RPS6",22864.6062055534,22164.2303462366,29889.0737884038,29924.8282216561
"AEBP1",49400.4756410532,48046.5858780007,3223.16985166796,3204.45349850252
"APLP2",43591.6154222419,42930.5507287271,8085.27773300292,8109.95281600767
"PXDN",36711.307889929,36149.8991094665,14818.6376765594,14749.6890904472
"PDGFRB",47628.4156837414,49997.6162315372,2225.71831189347,2234.36705804248
"TIMP2",42059.2735906951,41323.7425655115,8808.44883434205,8595.75038028159
"MT-RNR1",10609.8447817822,14143.3277816975,37943.6261171011,37882.4035407952
"CTSB",45710.6706776222,45730.3121316809,3866.90454187553,3862.99584883037
"VIM",43969.0721396065,47594.6300250603,3534.17089524903,3512.22586841519
"RPS3",16021.3821402097,15382.264901822,33166.2004476328,33185.8575234513
"DCN",48016.4676773829,48941.3008078043,104.916014702049,104.853822102601
"CAV1",45950.3888033871,49611.3516362916,777.877309005194,778.483053308521
"YBX1",14530.0970042358,13757.0631864519,34287.3030047347,34407.8948745752
"CALR",35239.8888969743,36687.2535974102,12259.4363179345,12306.3687322434
"FASN",29064.1672370754,28802.9888488764,18944.085254665,18927.2464055854
"LAMB1",38062.205615234,38353.1838925512,9299.30590312663,9319.92066242905
"RPL10",25010.149651626,24953.4811479592,22397.3209385725,22315.7598508004
"EPAS1",42235.4200587985,42880.6253728791,4657.52165266597,4691.26560903653
"RPL6",18165.6011767476,17416.0662400541,29246.0884983012,29380.9461660016
"LOXL2",46186.1337005482,45661.9932236783,559.801878445934,557.460248444765
"IGFBP4",43079.0689323468,44036.7915083081,2728.56578235829,2727.70806275544
"FADS2",36846.3976624595,39487.015000364,7976.6147177758,7971.90785597331
"RPL13",23794.3416988515,23267.8434755098,22102.8066973017,22066.0719722683
"LDHA",27861.6033796471,26708.7515535651,18147.4729430345,18141.2199118378
"UBC",32666.5611712219,35302.4818852031,11408.1177986378,11266.8826397443
"WNT5A",44077.6737214448,45224.4894474307,220.323630874303,218.759772732046
"SRRM2",28478.7782227766,28307.6767658574,16297.9534838583,16267.4293067813
"RPS18",14710.2167009431,13309.0488089731,29768.4203714964,29829.0265280803
"COL4A2",41656.6530921728,38664.5604540247,3640.58571016111,3631.41222735196
"TNS3",42660.5555194092,42573.1902868672,855.814919926716,853.917457698882
"HSPG2",41485.8042622078,42807.0511642608,878.296923077155,874.284746884279
"RPSA",17593.4562577949,18258.2281637018,24461.9182278878,24515.4270828233
"MXRA5",41117.6184115854,43149.9595294279,0,0
"LGALS1",37908.5741092189,37806.6326285302,4195.89118797695,4212.25714115774
"RPS11",17596.1050768641,17924.5165746121,23885.6295471315,23967.0189629054
"RPL19",21264.7194877413,20429.981143093,20512.5796744607,20521.1753703537
"PPIA",17091.5050441767,15893.3428866878,24428.1952231621,24711.5565342382
"HSPA5",26365.0206055347,26706.1239032573,14124.6931793159,14121.3205018755
"TLN1",33924.7502291039,33057.1546971938,7091.57319375351,7105.92089357197
"HNRNPU",11125.0400907466,11331.7419523587,29069.2300735178,29126.732223206
"RPS8",18471.5397792431,15897.2843621495,23198.4296508331,23078.4016791869
"CCN2",41761.2814454072,37888.0897880718,102.667814387005,105.608166146505
"RPS14",14952.5836457772,15310.0045183577,24615.5452494158,24610.4744323551
"DKK3",37936.3867094458,37743.5690211431,1861.50986085636,1867.00150866143
"CCND1",25697.5182000899,25829.8025256083,13804.6993344746,13775.8309297677
"TPT1",21454.1100511909,22442.7612788627,17568.1866618581,17635.8094024224
"CANX",25361.1181782983,27535.1475753661,12872.4456038364,12886.4593020053
"FBLN2",38083.3961677878,38744.7037884124,787.619510370384,778.483053308521
"DST",31829.5343453467,34895.1960874952,5191.09452743639,5194.41308632023
"MMP14",37304.6433614355,38481.9387576331,272.781638225328,267.79213558578
"MYOF",37121.874845659,36197.1968150068,408.423057232977,408.854471795754
"EIF4G1",21595.8218713945,21224.8453612005,15510.333973488,15505.5418224386
"RTN4",27878.820703597,31092.9860921183,7192.74220793049,7161.74235282084
"TPM2",37309.940999574,33291.0155745874,1218.5245707538,1207.70481428967
"NCL",11623.0180757609,12459.003934402,24113.447179056,24224.2502818765
"CCN1",37789.3772511038,32088.8655587719,1221.52217117386,1223.54603921165
"SVEP1",35451.7944225124,36163.0373610055,42.7158059858343,42.2432664586019
"MACF1",28399.3136506998,27566.6793790596,7691.84267787024,7722.97432148512
"P4HB",28567.5136615956,28889.7013090336,6901.2255670798,6897.72193745457
"GANAB",24877.7086981647,25222.815304508,10480.3604686297,10501.2234351821
"NPM1",14817.4938732467,14805.4956592614,20648.9704935733,20744.4612073492
"SLC38A2",24896.2504316493,32497.4651816338,6710.12854030106,6718.18805500552
"DYNC1H1",24167.8251876123,22857.930027494,11681.6488369682,11686.2979281547
"ACTN1",31548.7595240088,30575.338981483,4037.01836571385,4049.31882767456
