"","C_1","C_2","S_1","S_2"
"COL1A1",764843.565440289,807604.24131977,6549.90698058795,6517.7807457711
"FN1",770533.427578875,787411.382186194,8669.03929249983,8678.12573808564
"COL1A2",628573.451419757,643273.287097858,45.6545560914587,45.9322110343277
"MT-CO1",349978.626487634,361205.500678924,114463.581213969,114551.10663536
"EEF1A1",299188.009581595,304179.394710525,160538.920130737,161217.467509387
"COL6A3",304466.242499532,300374.285813097,730.47289746334,733.384302848098
"IGFBP5",260255.18000329,252396.487825508,1525.62308272291,1523.41833263853
"MT-ND4",145154.010491492,165769.044407865,69445.1452707179,69633.2319280408
"COL6A1",211821.010123052,217156.800385931,2402.95146894711,2409.91000560106
"MT-RNR2",86787.3317269334,106401.831262874,117249.270044816,117392.013887834
"COL6A2",208715.554230564,202576.379707806,2768.18791767878,2775.07108332396
"ACTB",131654.916777627,128316.511889361,72273.4450205838,70606.2292651179
"AHNAK",191270.812069407,189966.53125746,3675.95267463062,3685.29439865422
"EEF2",130902.000038593,127050.733410373,58849.4837111585,58694.4758702156
"FLNA",169139.228338967,160340.577850077,21844.1832712266,21783.3510830299
"MT-CO3",126121.369532959,130408.868331086,57144.2860411425,57248.3767594849
"MT-CO2",104372.757292616,117938.942169103,73286.215256546,73407.3286013613
"SPARC",148682.819221672,153472.725529592,3802.26361315032,3826.91871601007
"COL3A1",135422.105721031,139950.791051398,9118.73667000069,9117.54389031404
"LRP1",137630.053597612,141628.56293501,3959.01092239766,3948.63907525104
"COL12A1",136257.087779372,133770.889982031,0,0
"ACTG1",96318.6323835333,92693.3337335294,39529.9973917896,39536.9161846481
"FBLN1",120216.574415238,130524.174661311,5459.52399927027,5452.15344977469
"THBS1",127485.216982387,120916.17752705,27.3927336548752,29.0904003217409
"MT-ND5",78907.7584493916,92847.5073660776,36990.0822545681,37352.8395499658
"MT-ATP6",74494.4679444633,86122.1684874435,34215.8070627438,33411.8558432205
"MT-CYB",71029.4877959658,84855.0944317117,27941.3492372409,28092.9058054454
"PKM",69620.0485024793,70161.9585768497,33042.4849711933,33119.420766302
"RGS5",74.2495746106597,108.828446504577,101671.93550641,101565.305039105
"FTL",90446.4028687113,95805.3090728627,6577.29971424282,6581.32030436858
"LAMC1",81467.4148372854,83467.5317387783,5452.67581585656,5453.68452347584
"RPL13A",48306.512716872,50498.990331612,38263.0834602516,38355.6928242153
"RPL4",45344.3454771415,45955.4026900459,41571.516958346,41606.9278285951
"RPL3",51608.6648508724,49776.058508403,36352.440287824,36348.4552020152
"SCD",71649.5368751706,72553.5932464621,14889.4725599611,14905.7680174899
"HSP90AB1",21663.9416728049,22478.2565101716,58359.4581424435,58537.5408158483
"FBN1",76599.5085158813,75265.2353718679,3779.43633510459,3782.51757867688
"HSP90AA1",16359.6562725487,20816.0315474886,60264.7749499937,60508.7982060716
"ANXA2",72713.7807779234,71680.3745209373,6046.18504504552,6031.6648456578
"APP",62395.6951552737,61845.6514564582,15918.2218905553,15972.1608503369
"RPLP0",37238.1156034198,37119.5692952695,39526.9537547168,39468.0178680966
"RPS2",34239.4748884419,34541.3715745063,42204.5934694808,41927.6877689849
"GAPDH",40928.4497239812,43506.7626436929,34184.6097827479,34289.9266108267
"MT-ND1",45276.6090231107,49281.148192156,26342.6788647717,27276.0779858849
"COL5A2",70780.6865898143,70358.8862419532,3160.05619079714,3148.65306640316
"GNAS",28833.5848071395,27949.4771005148,45151.5950651845,45106.1967725603
"COL5A1",72018.179499992,69887.2963071,2254.57416164987,2239.96082477405
"HSPA8",28137.9835292081,29441.9815097204,43867.9411297463,44005.3547814376
"MT-ND2",35689.2955295238,42580.4252716599,33258.5832033595,33286.3077997267
"SEPTIN11",62471.2473540003,64838.4337353341,7224.07259220516,7232.79216420546
"MYH9",64601.0377836219,57701.1014520756,8922.42207880742,8927.69075137215
"MRC2",63680.0825336265,63147.7060842808,4174.34824529571,4162.98939341123
"FAT1",64426.486152081,62883.408428484,1823.13860658559,1822.74324121224
"MMP2",53743.6657769578,53973.7271592938,9877.3632103871,9870.06661442644
"HDLBP",51522.6916592179,49516.9431595826,13045.7894031343,13047.0445443008
"PSAP",52503.5676185482,52181.9445222006,11202.8671555758,11217.4114714334
