"","C_1","C_2","S_1","S_2"
"HDLBP",51522.6916592179,49516.9431595826,13045.7894031343,13047.0445443008
"CAV1",45194.5437038042,48922.2734340397,789.823820382236,790.034029790436
"ACLY",19398.6783351218,19046.2737150451,11088.7307653471,11104.1120175487
"CD81",23492.8259316359,24181.9399286658,3612.79720537077,3619.45822950502
"DHCR24",19257.9949305964,19657.7859382613,4028.25366580304,4019.83400235424
"CYB5R3",20655.7106070391,21322.6020544325,1126.14571692265,1127.63578089274
"NFE2L1",15028.3744260207,15290.3967338931,6429.68331621377,6389.93609172555
"LSS",17434.3211682293,17534.3356546779,2828.29974986587,2837.84510507088
"SREBF2",15023.1639295568,14720.3429664882,3717.80268438112,3691.4186934588
"ANXA6",14697.5079005627,14343.3301339544,2173.91777922163,2176.42126617656
"CNBP",5685.95426623736,5889.69187868818,8665.23474615887,8688.84325399365
"MBTPS1",10077.1001611941,9799.74249238834,3809.87270583223,3811.60797899862
"DHCR7",11542.5522916676,11813.068752723,2027.82319972896,2012.59638015412
"FDFT1",10169.5864734284,9898.20632494011,3611.27538683439,3617.92715580388
"DAG1",10444.4401618995,10149.5482132959,2976.67705716311,2962.62761171413
"LDLR",10824.8064037646,11630.3924318046,848.413834032942,838.26285137648
"INSIG1",10477.0057647989,9999.26131098007,1432.79215200361,1437.67820537446
"SQLE",8627.27952011226,9115.67797150243,2534.58877234415,2533.92697539374
"TGFBR2",9836.11469973844,10303.7218458441,203.923683875182,203.632802252186
"CD24",0,3.88673023230632,10106.3969001126,10179.3435020576
"G6PD",8680.6871088673,8838.42454826458,1305.72030421572,1258.54258234058
"VDAC1",4999.47135711775,4890.80220898546,4495.4519564723,4489.10809175496
"HMGCS1",6627.75150208836,6777.16194839813,2090.21775972062,2099.10204426877
"SREBF1",6192.67504735221,5813.25285078616,2107.71867288901,2113.64724442965
"EHD1",6643.38299148008,7095.87382744725,1145.16844862742,1134.52561254789
"MSMO1",6655.10660852387,6695.54061351969,1133.75480960456,1136.05668624904
"SNX17",3863.58312798626,3483.80586489057,3892.81181606505,3900.41025366499
"XBP1",5822.72979841489,5827.50419497128,1677.04402709292,1663.51157629323
"CLU",6102.79398334983,6213.58606471371,537.962852611022,540.469016503922
"MVD",5168.8124921947,5249.67696710174,1008.96568962124,1009.74310590464
"SMPD1",5719.82249325275,5740.70055311644,375.128269218153,370.51983567691
"GBA",4925.22178250709,5602.07384149751,728.190169658767,743.336281905536
"OSBPL8",2864.47043103229,3389.22876257111,2800.1461069428,2812.582389002
"ABCA2",2847.5363175246,2925.41228818256,2854.17066498436,2850.8592315306
"SCAP",2739.41851589855,2699.98193470879,2825.25611279311,2818.70668380657
"LBR",1225.76929313387,1019.61889760836,4222.28552919174,4233.41878366387
"LRP5",2577.89312551747,2777.71653935492,2291.09780652304,2293.5484043141
"SMAD2",2691.22142360742,2786.78557656363,2186.85323678087,2192.49754003857
"TSPO",4117.59483060167,4274.10767879285,661.991063326152,661.423838894318
"PPARD",3553.55858838385,3810.2912044043,1132.23299106818,1136.05668624904
"HMGCR",2821.48383520507,3478.62355791416,1569.75582027799,1581.59913328202
"FABP3",4538.34242006208,4263.74306484004,76.8518360872889,76.5536850572128
"VDAC2",1698.62184723334,1682.95419058864,2727.85972646466,2692.39310346217
"TMEM97",2629.99809015652,2663.70578587393,1673.23948075196,1681.88446070696
"TGFBR1",2025.58050034344,2258.19026496997,2108.4795821572,2112.88170757907
"RXRA",2943.93050210686,3045.90092538406,1148.97299496838,1146.77420215705
"STARD4",2996.03546674592,2955.21055329691,1169.51754520953,1164.38154972021
"NPC2",3784.12305691169,3282.99146955474,375.128269218153,383.533962136636
"SCP2",2723.78702650683,2877.47594865078,1091.14389058586,1097.01430686986
"CAT",2933.50950917905,3108.08860910096,843.087469155605,835.966240824764
"ERLIN2",2476.2884444713,2631.31636727138,1286.69757251095,1255.48043493829
"SC5D",2435.90709687603,2424.02408821504,1231.151195933,1228.68664516827
"NR1H2",2563.56426024172,2390.33909286839,1130.71117253179,1133.76007569732
"PIP4K2A",2908.75965097549,2842.49537656002,725.907441854194,731.087692296382
"FDPS",2283.50007530678,1825.46763243987,1510.40489735909,1547.14997500627
"TSKU",2676.89255833168,2994.07785561997,712.211075026756,711.949271032079
"SCARB1",2399.43362162869,2389.04351612429,1054.6202457127,1081.70356985842
"PRKAA1",1897.92333697774,2122.15470683925,1400.83396273959,1414.71209985729
"VPS4B",1925.27844341325,1828.05878592807,1496.70853053166,1493.56239546622
"OSBPL1A",2343.4207846417,2298.35314403714,986.138411575509,1013.5707901575
"ERLIN1",1857.54198938247,2102.72105567772,1266.15302226979,1266.1979508463
"MBTPS2",961.336597590646,1145.28984178626,2078.80412069775,2074.60486505047
"AACS",2305.64468527838,2199.88931148538,861.349291592188,857.401272640783
"STARD3NL",966.547094054552,923.746218544803,1931.1877226687,1935.27715824634
"STX12",1851.02886880259,1831.94551616038,989.182048648273,988.308074088617
"ACAA2",1006.92844164982,852.489497619187,1841.40042902217,1862.55115744199
"OSBPL2",1664.75362021795,1729.59495337631,1083.53479790395,1083.23464355956
"MVK",1791.10815946767,1737.36841384093,973.202954016262,975.293947628891
"NUS1",1069.45439921669,1202.29521852676,1537.79763101397,1495.85900601794
"NSDHL",1718.16120897298,1939.47838592086,745.691082827159,750.226113560685
"STARD3",1443.30752050195,1443.27249292975,1145.92935789561,1120.7459492376
"APOD",2326.486671134,2812.69711144568,0,0
"GRAMD1A",833.679434224951,992.411785982215,1614.64946710126,1606.8618493509
"OSBPL5",2305.64468527838,2251.71238124946,166.639129733824,166.121496574152
"RELCH",1306.53198832442,1409.58749758309,1011.24841742581,1008.97756905406
"PTCH1",782.877093701868,811.03104180792,1540.08035881854,1526.48048004082
"TGFB1",1877.08135112212,1974.45895801161,245.012784357495,235.019813125643
"SOAT1",1197.11156258239,1247.64040457033,905.482029147265,907.161167927972
"SIRT1",565.338866333795,759.207972043835,1407.68214615331,1430.02283686873
"LRP8",888.389647095963,864.149688316106,1138.3202652137,1139.8843705019
"PIP4P1",1369.05794589129,1290.3944371257,665.795609667107,673.672428503472
"COMMD9",1120.25673973978,1199.70406503855,826.347465255403,828.310872319042
"ACOX1",1100.71737800013,1059.78177667552,828.630193059976,837.497314525908
"ACAT1",832.376810108974,827.873539481247,1027.22751205782,1013.5707901575
"PMVK",551.010001058053,487.136855782393,1286.69757251095,1296.05388801861
"APOL2",1586.59617325936,1601.33285571021,190.988226315936,189.853138941888
"MYLIP",1434.18915169011,1344.80866037799,381.976452631871,382.768425286064
"INHBA",978.270711098341,1042.9392790022,727.429260390576,729.556618595238
"ABCA1",1656.93787552209,1506.75575339075,107.288206814928,105.644085378954
"FDXR",1129.37510855161,1026.09678132887,604.922868211828,597.884280296832
"PCSK9",1613.95127969487,1672.58957663582,3.04363707276392,3.06214740228851
"TM7SF2",915.744753531469,954.840060403254,661.991063326152,656.830617790886
"SYP",29.9603546674592,19.4336511615316,1470.07670614497,1499.6866902708
"VLDLR",600.50971746516,593.374148798765,849.935652569324,884.195062410808
"OSBPL10",1350.82120826762,1388.85826967746,35.762735604976,35.98023197689
"LDLRAP1",1177.57220084274,1177.67926038882,219.902778507193,220.474612964773
"GRAMD1B",1075.96751979658,1133.62965108934,260.991878989506,264.110213447384
"SMO",293.090426094709,275.957846493749,919.178395974703,903.333483675111
"LEPR",605.720213929066,632.241451121829,508.287391151574,509.082005630465
"INSIG2",353.011135429628,320.007455793221,758.626540386406,760.178092618123
"SYT7",53.4075887550359,67.3699906933096,1034.07569547154,1028.88152716894
"FDX1",648.70680975629,676.2910604213,416.217369700466,425.638488918103
"CYP27A1",1059.03340628888,1035.16581853758,19.0227317047745,16.8418107125868
"ARV1",384.274114213063,441.791669738819,557.746493583988,560.372974618798
"HSD17B7",519.747022274618,401.628790671653,488.503750178609,499.130026573027
"OSBPL6",610.930710392972,637.423758098237,307.407344349156,310.042424481712
"OSBPL7",356.919007777557,364.057065092692,558.507402852179,553.483142963648
"AKR1C1",881.876526516081,870.627572036617,37.284554141358,29.0904003217409
"PRKAA2",147.196525105343,143.809018595334,757.865631118215,759.412555767551
"ABCA5",730.772129062808,760.503548787937,116.41911803322,114.064990735247
"SERAC1",450.707944127864,428.835902297798,405.564639945792,404.968993952656
"ABCA7",437.681702968099,422.358018577287,225.990052652721,219.709076114201
"NR1H3",544.496880478171,586.896265078255,84.4609287691987,82.6779798617898
"LCAT",565.338866333795,448.269553459329,116.41911803322,113.299453884675
"LRP5L",269.643192007133,248.750734867605,359.910083854333,364.395540872333
"TTC39B",500.207660534971,507.866083688026,113.375480960456,113.299453884675
"NR1D1",470.247305867511,524.708581361354,92.8309307192994,94.9265694709438
"CYP7B1",197.998865628426,220.248046497358,359.910083854333,365.161077722905
"EPHX2",147.196525105343,120.488637201496,332.517350199458,334.53960370002
"SCARB2",220.143475600026,208.587855800439,243.490965821113,232.723202573927
"TPCN2",295.695674326662,270.775539517341,156.747309247342,155.403980666142
"APOE",192.78836916452,186.563051150704,208.489139484328,208.226023355619
"CD36",317.840284298262,421.062441833185,3.04363707276392,2.29661055171638
"OSBP2",131.565035713625,93.2815255753518,235.881873139203,239.613034229076
"FGFR4",45.591844059177,36.276148834859,304.363707276392,302.387055975991
"IDI1",283.972057282874,133.444404642517,63.1554692598513,65.0706322986309
"LRP6",157.617518033155,142.513441851232,112.614571692265,115.596064436391
"GPLD1",32.5656028994121,62.1876837169012,214.576413629856,214.350318160196
"ABCG1",0,2.59115348820422,238.164600943776,238.081960527932
"CAV3",252.709078499438,189.154204638908,14.4572760956286,12.248589609154
"GRAMD1C",93.788936350307,93.2815255753518,94.3527492556814,88.8022746663668
"APOL1",141.986028641437,189.154204638908,4.56545560914587,4.59322110343277
"RORA",76.8548228426126,95.872679063556,82.1782009646257,82.6779798617898
"CUBN",82.0653193065186,150.286902315845,36.523644873167,36.7457688274621
"APOM",59.9207093349183,66.0744139492075,41.0891004823129,44.4011373331834
"LIPC",87.2758157704245,97.1682558076581,0,0
"ABCA8",72.9469504946832,90.6903720871476,0,0
"CEL",22.1446099716003,45.3451860435738,41.0891004823129,45.9322110343277
"DGAT2",2.60524823195297,9.06903720871476,70.764561941761,69.6638534020636
"F7",46.8944681751535,68.6655674374117,6.08727414552783,6.12429480457702
"ABCG4",20.8419858556238,9.06903720871476,48.6981931642227,48.9943584366162
"APOC1",62.5259575668713,42.7540325553696,8.37000195010077,6.12429480457702
"PLA2G10",22.1446099716003,20.7292279056337,28.9145521912572,26.7937897700245
"PROM2",24.7498582035532,18.1380744174295,25.8709151184933,26.7937897700245
"CES1",32.5656028994121,50.5274930199822,0,0
"SCARF1",28.6577305514827,28.5026883702464,11.4136390228647,11.4830527585819
"STAR",6.51312057988243,6.47788372051054,30.4363707276392,29.855937172313
"CYP46A1",33.8682270153886,20.7292279056337,6.84818341371881,7.65536850572128
"PROM1",0,5.18230697640843,28.9145521912572,30.6214740228851
"CYP11A1",20.8419858556238,23.3203813938379,3.8045463409549,3.06214740228851
"CETP",19.5393617396473,31.0938418584506,0,0
"CH25H",23.4472340875767,19.4336511615316,0.760909268190979,0.765536850572128
"CFTR",20.8419858556238,19.4336511615316,0,0
"ACSM3",13.0262411597649,6.47788372051054,8.37000195010077,9.95197905743766
"LPL",0,1.29557674410211,11.4136390228647,11.4830527585819
"ABCG5",3.90787234792946,3.88673023230632,8.37000195010077,7.65536850572128
"AKR1D1",6.51312057988243,10.3646139528169,3.04363707276392,3.06214740228851
"SOAT2",14.3288652757413,6.47788372051054,0.760909268190979,0.765536850572128
"MALRD1",3.90787234792946,10.3646139528169,2.28272780457294,3.06214740228851
"MLC1",13.0262411597649,6.47788372051054,0,0
"IL4",7.81574469585891,5.18230697640843,2.28272780457294,2.29661055171638
"PON1",0,0,6.08727414552783,6.88983165514915
"MALL",9.1183688118354,1.29557674410211,0,0
"HNF1A",1.30262411597649,2.59115348820422,3.04363707276392,3.06214740228851
"NR5A2",6.51312057988243,0,1.52181853638196,1.53107370114426
"SULT2B1",2.60524823195297,3.88673023230632,1.52181853638196,0.765536850572128
"CEBPA",1.30262411597649,1.29557674410211,1.52181853638196,2.29661055171638
"MSR1",1.30262411597649,1.29557674410211,1.52181853638196,1.53107370114426
"IDI2",3.90787234792946,0,0.760909268190979,0.765536850572128
"CYP7A1",3.90787234792946,1.29557674410211,0,0
"SULT1C3",3.90787234792946,1.29557674410211,0,0
"ABCG8",1.30262411597649,0,1.52181853638196,1.53107370114426
"MTTP",1.30262411597649,1.29557674410211,0.760909268190979,0.765536850572128
"CYP3A4",3.90787234792946,0,0,0
"EBP",2.60524823195297,0,0,0.765536850572128
"APOA1",2.60524823195297,0,0,0
"PLA2G12B",1.30262411597649,1.29557674410211,0,0
"APOF",0,0,1.52181853638196,0.765536850572128
"APOA5",0,0,0.760909268190979,0.765536850572128
"APOA2",0,0,0.760909268190979,0.765536850572128
"HNF4A",0,1.29557674410211,0,0
