"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",395505.532882888,-6.90077408389576,0.0536860923165132,-128.539325291388,0,0
"FN1",392975.830211097,-6.47876152321351,0.0507396316307451,-127.686412277534,0,0
"COL1A2",317275.852031021,-13.7513948367833,0.141838982235128,-96.9507438652337,0,0
"EEF1A1",231326.818698928,-0.897038222658407,0.0496970757237146,-18.0501208490695,7.8718304599255e-73,7.45235053129179e-72
"MT-CO1",234923.163327275,-1.6247297001709,0.0504562528966521,-32.200760201095,1.72218498141164e-227,5.13150696917462e-226
"COL6A3",151246.350692609,-8.68065204381128,0.0610913659122324,-142.09294413686,0,0
"MT-RNR2",107119.139323822,0.29074418680404,0.0770521956698338,3.77334071114429,0.000161076075700682,0.000300133414119624
"MT-ND4",112483.210760283,-1.15046057753726,0.0645937822288872,-17.8107015542242,5.83735583199617e-71,5.37936253123293e-70
"IGFBP5",128650.059098414,-7.3835141118705,0.056885107834711,-129.796960802545,0,0
"ACTB",100740.673183965,-0.853570215928395,0.0519665071333604,-16.4253913340356,1.25869163261265e-60,1.01076211292166e-59
"MT-CO2",92295.6363762604,-0.589595230607035,0.0629645894214895,-9.36391765632333,7.6833712003955e-21,2.99436384735009e-20
"EEF2",93873.1751543701,-1.12394019469666,0.0516844332927555,-21.7462033167771,7.50388827368495e-105,9.856615501954e-104
"MT-CO3",92722.6109616574,-1.15507939301585,0.0513425070223077,-22.4975261241915,4.38867244593424e-112,6.13475002648125e-111
"COL6A1",108214.096251115,-6.46782243356548,0.0542253481834716,-119.276734041091,0,0
"COL6A2",103991.65979828,-6.20332157095905,0.0545981215186002,-113.617857142681,0,0
"FLNA",93151.2989995689,-2.90694719121004,0.0542983564695192,-53.5365594876131,0,0
"AHNAK",96948.7872833974,-5.68459907886664,0.052710315350725,-107.846045713108,0,0
"RGS5",51095.7963344996,10.125893091244,0.133481900091723,75.8596714931834,0,0
"ACTG1",67011.0079098122,-1.24737866660769,0.0529051433671723,-23.5776445770241,6.53664042789228e-123,1.00106673604439e-121
"SPARC",77286.1598673375,-5.29756990064054,0.0536593944607638,-98.7258606601341,0,0
"COL3A1",73269.7473923512,-3.90644779575993,0.0524215252983418,-74.5199185549739,0,0
"MT-ND5",61510.7950940695,-1.1978496423121,0.0704501365773769,-17.0028008532883,7.82883352700775e-65,6.62836035008473e-64
