"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",402371.951201514,6.9544871929815,0.0546814999505549,127.181719581029,0,0
"FN1",399752.846247243,6.53245370795339,0.0509930086012044,128.104889025887,0,0
"COL1A2",322877.498851519,13.8050910477638,0.142227357481501,97.0635417279642,0,0
"MT-CO1",236933.35659289,1.6784270122227,0.0508360734321808,33.0164566006824,4.71581264546035e-239,1.30042106283907e-237
"EEF1A1",232406.632341209,0.950725364798428,0.0498282076662613,19.0800634685916,3.69809540999246e-81,3.39925941726579e-80
"COL6A3",153901.351519706,8.73432619627756,0.0614014872538405,142.249424027286,0,0
"IGFBP5",130890.744884504,7.43718083201796,0.0572604841109631,129.883303424499,0,0
"MT-ND4",113173.853979944,1.2042095841622,0.0677612140983389,17.7713696571992,1.17779615986187e-70,9.411418694764e-70
"COL6A1",110080.082189996,6.52151585724411,0.0545449921932387,119.562137512828,0,0
"MT-RNR2",106822.689248973,-0.236957406611061,0.0820258338815616,-2.88881435759869,0.00386697293828376,0.00550492972809881
"COL6A2",105774.170576715,6.25698633693459,0.0548864648371584,113.99871271539,0,0
"ACTB",101183.69845847,0.907253190895251,0.0521301296398149,17.4036242987266,7.74441837585572e-68,6.00833261155908e-67
"AHNAK",98590.9197474841,5.73827575560053,0.0527429954061597,108.796925760693,0,0
"EEF2",94431.7919929273,1.1776075176672,0.0518307048327226,22.7202682554247,2.8247762223047e-114,3.51563058399467e-113
"FLNA",94386.3987630179,2.9606022448678,0.0549442177876828,53.8837818441288,0,0
"MT-CO3",93291.9145610773,1.2087769531566,0.0516935417715541,23.3835197150637,6.28807955537973e-121,8.21592827041591e-120
"MT-CO2",92557.5543636646,0.643339225013153,0.0658096652359637,9.77575592743755,1.43085163896589e-22,5.17058510974125e-22
"SPARC",78579.8901989757,5.35126449129045,0.0540371789766964,99.0293089429814,0,0
"COL3A1",74393.5022058703,3.96014652295925,0.052742616156749,75.0843779002136,0,0
"LRP1",72836.3183656012,5.18585597678594,0.0537479081645954,96.4847964111457,0,0
"COL12A1",68547.7402324234,19.9189232560693,1.44374613192295,13.796693764671,2.66811707050236e-43,1.48580889419264e-42
"ACTG1",67454.8404040206,1.30103979730314,0.0531713233322975,24.4688248432751,3.17301792606072e-132,4.52828296274533e-131
"FBLN1",66334.7800297424,4.56584958747672,0.0601291989584381,75.9339832654794,0,0
"THBS1",63073.0643560245,12.1464116209631,0.17764076484382,68.3762628000512,0,0
"MT-ND5",61905.0019654918,1.25160935418551,0.0743425330845278,16.8357103565792,1.33575700250091e-63,9.87770594105595e-63
"MT-ATP6",57424.2915159807,1.29148028593545,0.0712259051779634,18.1321709104094,1.77606974609205e-73,1.46929406267615e-72
"MT-CYB",53367.1450045873,1.51960651548313,0.0775691937657249,19.5903353085331,1.86954962869168e-85,1.79639333887331e-84
"PKM",51778.1197819613,1.12277211112205,0.0511908216914188,21.9330746025172,1.25644203087204e-106,1.47474645050003e-105
"FTL",50519.1760899582,3.86679470023388,0.0564668862620019,68.4789786759671,0,0
"RGS5",50100.0695702826,-10.0721907892007,0.133977054884569,-75.1784758806548,0,0
"LAMC1",44554.3075913271,3.96230710463298,0.0535435377419957,74.0015933150647,0,0
"RPL13A",43950.9783356573,0.410527219552564,0.0540110846408071,7.60079569374909,2.94315448002743e-14,8.0828332693102e-14
"SCD",43943.8596547441,2.31861076732209,0.0519358933748922,44.6437062434936,0,0
"RPL4",43661.6780143166,0.178062697817204,0.0516787264211115,3.44557054998287,0.000569855193105198,0.000877878892385722
"RPL3",43642.1358325477,0.523500589619557,0.0536897671662225,9.75047233858937,1.83611954149373e-22,6.60576030393209e-22
"FBN1",40413.855251593,4.37157358565009,0.0543871904689155,80.3787352859977,0,0
"HSP90AB1",39994.8832264228,-1.36136492493303,0.0536522982366879,-25.3738417490961,4.90425547372057e-142,7.64036577829377e-141
"ANXA2",39629.5197194045,3.62326307261569,0.0533569102297539,67.9061635505877,0,0
"APP",39393.0146458174,2.00563301992623,0.0522051784202778,38.4182772785466,0,0
"HSP90AA1",39179.9583460769,-1.6564133295239,0.0903844260513415,-18.3263135242238,5.10343254667307e-75,4.31421319655915e-74
"RPLP0",38330.8371582389,-0.043602691166535,0.0519018499880014,-0.84009897868024,0.400852892707137,0.442776811324957
"GAPDH",38297.159400738,0.345896371749255,0.0564684743766379,6.1254775441987,9.04120225433363e-10,2.0232518280709e-09
"RPS2",38180.2230526579,-0.246985793479396,0.0519934774186965,-4.75032265086739,2.0309234211964e-06,3.77624823628706e-06
"COL5A2",37382.3048009041,4.52731212620907,0.0545552462290505,82.9858251798759,0,0
"MT-ND1",37207.6544319702,0.862050601878057,0.0615119370095538,14.0143628015513,1.27336029171561e-44,7.27432928834582e-44
"COL5A1",37130.4958500998,5.02431339324195,0.0570510043036544,88.0670455247378,0,0
"GNAS",36643.5783339931,-0.624891171720905,0.053675212523718,-11.6420809967874,2.51795920254818e-31,1.12450429744285e-30
"HSPA8",36257.9051273712,-0.566223476667635,0.0546299428871459,-10.3647092920696,3.5884795135861e-25,1.39027743739486e-24
"MT-ND2",36255.3781250858,0.277640384081748,0.0777729731290653,3.56988260717512,0.00035714123988231,0.000559491137314363
"SEPTIN11",35877.3933091694,3.18215567704082,0.0546342050862966,58.2447511044498,0,0
"MYH9",35444.9747001369,2.82022042562275,0.0669340926460266,42.1342893305086,0,0
"MRC2",34248.8920555027,3.97082103175825,0.0541372275326879,73.3473288664565,0,0
"FAT1",33216.1896218101,5.169628203256,0.0576703229228995,89.6410483112323,0,0
"MMP2",32207.5412529073,2.49118409811781,0.0528501334406168,47.1367607977176,0,0
"PSAP",32096.3518617611,2.26686443252231,0.0528656177020322,42.8797492786162,0,0
"HDLBP",32075.8795112977,1.99690434809926,0.0551632313949132,36.1999160963475,6.10647197756626e-287,1.99297724668671e-285
"SULF1",31776.2980322699,18.8097666077135,1.44385077355232,13.0275004538285,8.53583226022019e-39,4.40899248966966e-38
"HNRNPA2B1",30117.4178740723,-2.06278640552106,0.0548977867514178,-37.575037676137,0,0
"LUM",29680.8642200951,7.79053330813658,0.0867822947858691,89.7709991117351,0,0
"ITGB1",29463.3178628341,2.32375075510568,0.0533823394850555,43.5303281482487,0,0
"PTMA",28854.5855692313,-2.33450108594907,0.0620568552831284,-37.6187461529936,0,0
"PABPC1",28700.1174776369,0.841388245689276,0.0545817381111353,15.4151970019002,1.29375722064121e-53,8.44846948219484e-53
"CAVIN1",28251.6070697294,5.18319540378286,0.0621231628845295,83.4341840163072,0,0
"TPM4",28239.7906663223,1.80171402070376,0.055118308091188,32.688122750847,2.30363987728221e-234,6.27417410238658e-233
"DDX5",28217.7529263376,0.12159498763157,0.052873104450137,2.29975124207512,0.0214623172258787,0.0283997987754977
"PLEC",27832.9076781719,3.05492164583993,0.060282648914367,50.6766325112806,0,0
"ENO1",27771.1748303348,-0.742222864425803,0.0533193770183585,-13.9203213902939,4.76755464751154e-44,2.68881044101362e-43
"RACK1",27338.2121949979,0.173779701551524,0.055401031473056,3.13675931532142,0.00170826297704236,0.00251086254202806
"RPL8",27246.4276436024,-0.765778566898246,0.0531431564211732,-14.4097305931408,4.49460169618416e-47,2.67018003993736e-46
"TUBB",26675.7144588358,-1.06466221362324,0.0635934680658323,-16.7416913403921,6.51115208167896e-63,4.77155484147672e-62
"B2M",26524.3893592675,4.10894705592537,0.0591126620101961,69.5104384779124,0,0
"CALU",26379.6437363334,2.58672390911721,0.0597978683101337,43.2577946708988,0,0
"RPL7A",26258.4942255562,0.18788681296815,0.0571755410210633,3.28613966064499,0.00101570636372368,0.00152805382153121
"RPS6",26210.6846404625,-0.409635256055178,0.054509978682717,-7.5148672950235,5.69686911966513e-14,1.54750773101351e-13
"AEBP1",25968.6712173061,3.92225784645656,0.0564383851414057,69.4962805301639,0,0
"APLP2",25679.3491749949,2.4175002355265,0.0540808768024688,44.7015725051288,0,0
"PXDN",25607.3834416005,1.3010966857848,0.0536624129700925,24.245959392656,7.29400974664795e-130,1.02394129565012e-128
"PDGFRB",25521.5293213036,4.45212673852963,0.0595681844249394,74.7400106535002,0,0
"TIMP2",25196.8038427076,2.26031356989029,0.0549486753398097,41.1349965383555,0,0
"MT-RNR1",25144.800555344,-1.61507563974045,0.205723817234292,-7.85069838511257,4.13726859573644e-15,1.17093935558073e-14
