"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",396378.873621605,6.91086366009718,0.0540583435976673,127.84083270349,0,0
"FN1",393822.993698914,6.48880058199502,0.0508766559131215,127.53984053267,0,0
"COL1A2",317984.581321185,13.7614381789563,0.141887588512491,96.9883153503931,0,0
"MT-CO1",235049.703753972,1.63478316091572,0.0506866899897141,32.2527109433949,3.22317575015097e-228,1.14746201705641e-226
"EEF1A1",231280.947983061,0.907068099138695,0.0497951592468285,18.2159895230472,3.85386806777456e-74,4.40885146589073e-73
"COL6A3",151576.096378235,8.6906399715476,0.0609153942293648,142.667384517364,0,0
"IGFBP5",128925.17731104,7.39347816067599,0.0565511108882105,130.739751077416,0,0
"MT-ND4",112500.358024529,1.1606605084963,0.0652470609391164,17.7887017712467,8.64599131253541e-71,9.49543034943273e-70
"COL6A1",108447.667995883,6.47786577640688,0.054391896761919,119.096155163726,0,0
"MT-RNR2",106957.611730614,-0.280440906750457,0.0777386614235496,-3.60748309290417,0.000309181677959375,0.000632662416675831
"COL6A2",104208.798234843,6.21328518654629,0.0542666636959011,114.495433538428,0,0
"ACTB",100712.775738173,0.863551536244694,0.0515851729535163,16.7403051458768,6.66456652055066e-63,6.57371588441914e-62
"AHNAK",97149.647600038,5.69459613055491,0.0525810432305819,108.301315087694,0,0
"EEF2",93874.1732575851,1.13390578156882,0.0513220416268202,22.0939336321387,3.61505022165695e-108,5.78725651698645e-107
"FLNA",93276.8351358251,2.91687841481013,0.0537739879007089,54.2432973391522,0,0
"MT-CO3",92730.7251661682,1.16513490421889,0.0516023501075091,22.5791054436751,6.95420095899502e-113,1.16638535415178e-111
"MT-CO2",92251.3108299066,0.599779914780276,0.0636032941060283,9.43001338547699,4.10036640436912e-21,1.89844407121207e-20
"SPARC",77446.181770106,5.30762143167078,0.0539045885885656,98.4632583356112,0,0
"COL3A1",73402.294333186,3.91650357314013,0.0526741472275368,74.3534310336719,0,0
"LRP1",71791.5666325676,5.14220858398643,0.0536835776147141,95.7873676171873,0,0
"COL12A1",67506.9944403508,19.8752326763452,1.4437054147223,13.7668200684613,4.03590436494955e-43,3.02624882853288e-42
"ACTG1",67019.7199233751,1.25733075684062,0.0525008700834276,23.9487603699259,9.5191090131834e-127,1.79822339256583e-125
"FBLN1",65413.1066313985,4.5222524193507,0.0590352486701064,76.6025810210677,0,0
"THBS1",62114.4694108533,12.102688777906,0.177046845222022,68.3586807928087,0,0
"MT-ND5",61524.5469050008,1.20808914637699,0.0711466176827526,16.9802751799662,1.14945847126552e-64,1.15655603110316e-63
"MT-ATP6",57061.0748344678,1.24793740318357,0.0684709239881223,18.2258005368827,3.22127302551943e-74,3.69359126146945e-73
"MT-CYB",52979.7093175909,1.4760995605591,0.0740406977033228,19.9363269978053,1.97010303276459e-88,2.62022396056408e-87
"PKM",51485.978204206,1.07910626248763,0.0513645043106472,21.0087934648665,5.45019978478067e-98,8.02633021942388e-97
"RGS5",50855.0796416578,-10.1158206170087,0.133484146148689,-75.782936842107,0,0
"FTL",49852.5829900464,3.82317472385001,0.0560278854385251,68.2369983076529,0,0
"LAMC1",43960.326728849,3.91865604962139,0.0536652064391593,73.0204225351113,0,0
"RPL13A",43856.0698332377,0.366895096362648,0.0538956408710762,6.807509669294,9.93026385918406e-12,3.24473880876469e-11
"RPL4",43619.5482385321,0.134401749221784,0.051890218643748,2.59011722699645,0.0095943253875205,0.0166276752046756
"RPL3",43521.4047122787,0.479793885361047,0.0531901812127586,9.02034688398393,1.87494655229593e-19,8.22129812900184e-19
"SCD",43499.5926747709,2.2749490864963,0.0521499691921134,43.623210554846,0,0
"HSP90AB1",40259.7992853171,-1.40500444487412,0.0536591970835783,-26.1838514408949,4.0589461798188e-151,9.2975380893838e-150
"FBN1",39856.6744503826,4.32788387216269,0.0542817986990394,79.7299274506039,0,0
"HSP90AA1",39487.3152440256,-1.69987121157502,0.168389592348003,-10.0948709945326,5.82075579584156e-24,2.93497882807679e-23
"ANXA2",39118.001297391,3.5795759104869,0.0533452005208863,67.1021174451371,0,0
"APP",39032.932338156,1.96195201537262,0.0523048243012015,37.509962830093,6.33725357110975e-308,3.09045190573607e-306
"RPLP0",38338.1641303757,-0.0872792046517096,0.052077522285329,-1.67594771835559,0.0937484337188306,0.136039792988276
"RPS2",38228.2819253535,-0.290652321957451,0.0522314835742768,-5.56469588967587,2.62609979852165e-08,7.19252777559024e-08
"GAPDH",38227.4371903122,0.302279688238128,0.0560477526194064,5.3932526124779,6.91935678274221e-08,1.85556151988898e-07
"MT-ND1",37044.1285164808,0.818461865798697,0.0602763324970523,13.5784947738604,5.37190744735322e-42,3.9482633284672e-41
"COL5A2",36862.0705222419,4.48363243795731,0.0546249386912193,82.0803198206249,0,0
"GNAS",36760.2134363498,-0.668592901492475,0.053359046799788,-12.5300758089092,5.11137958455736e-36,3.38669028143085e-35
"COL5A1",36600.002698379,4.98061093956777,0.0566761435522677,87.8784375118001,0,0
"HSPA8",36363.3152375281,-0.609855059431611,0.0545411080306464,-11.1815671051079,5.01956845415755e-29,2.85978426738715e-28
"MT-ND2",36203.6529510675,0.234130656652392,0.0743913817841639,3.14728199741859,0.00164795942044976,0.00314182922705932
"SEPTIN11",35441.6364614363,3.13851673629205,0.0546851110002731,57.392527488449,0,0
"MYH9",35038.0630164693,2.77644214710962,0.0642439581353891,43.2171713526505,0,0
"MRC2",33791.2815641536,3.92713929407485,0.0542388051074179,72.4046056379246,0,0
"FAT1",32738.9441070907,5.12593208189612,0.0574366412638237,89.2449831519776,0,0
"MMP2",31866.2056902663,2.44751445025979,0.0531431605543986,46.0551164952722,0,0
"HDLBP",31783.1171915589,1.95319435419125,0.0546878596023654,35.7153190560555,2.28663162528969e-279,9.85611992810349e-278
"PSAP",31776.4476919395,2.22318557161977,0.0530733138977009,41.8889533806947,0,0
"SULF1",31293.557748059,18.7660630764054,1.44380592182321,12.9976354804723,1.2618469895306e-38,8.74220505052254e-38
"HNRNPA2B1",30396.1956579872,-2.10642653220061,0.0549672461462619,-38.3214856097328,0,0
"LUM",29236.7728046236,7.74696462220342,0.085193649952794,90.933592192564,0,0
"ITGB1",29164.6403758601,2.28006827186139,0.0535558225887791,42.5736766171733,0,0
"PTMA",29145.4716172616,-2.37825053011037,0.0603261948123485,-39.423181546726,0,0
"PABPC1",28576.3283757291,0.797749984941375,0.0547215454658888,14.5783526058974,3.85712420372632e-48,3.14773373026411e-47
"DDX5",28198.7125760254,0.0779209524008188,0.0531641668224275,1.4656667650051,0.142739092629095,0.19747888468451
"TPM4",28001.3920212121,1.75800765369102,0.0548044292675088,32.0778389117039,8.98386461075383e-226,3.15901049812876e-224
"ENO1",27875.8697529433,-0.785906523510091,0.0534862961116437,-14.6936052904026,7.08420968730553e-49,5.8455666843419e-48
"CAVIN1",27844.9188162327,5.13946975767493,0.0611719516287953,84.016769464253,0,0
"PLEC",27500.0394866204,3.01118484982595,0.0590022007722608,51.0351276802141,0,0
"RPL8",27352.3540401221,-0.809453996571603,0.0534275815978787,-15.1504891736245,7.52047599619183e-52,6.44433092739089e-51
"RACK1",27312.7434148036,0.130146635105525,0.0554462791081314,2.34725642908721,0.0189122338867076,0.0313945588695776
"TUBB",26817.830142336,-1.10824467350271,0.0623413174418147,-17.7770492985984,1.06436283462059e-70,1.16765321807885e-69
"RPS6",26265.4586314865,-0.453334016285933,0.054399787950804,-8.33337837081097,7.85675623674636e-17,3.1652857337308e-16
"RPL7A",26231.2149526213,0.144164975082995,0.056413162486871,2.55552017876229,0.0106029213209281,0.0182808044761602
"B2M",26165.1668146627,4.06522813245735,0.0583969187012315,69.6137437191805,0,0
"CALU",26094.4310800051,2.54311694535911,0.0592683922770797,42.9084854110778,0,0
"AEBP1",25622.9480903642,3.87856012187394,0.0563558947878621,68.8226162759694,0,0
"PXDN",25442.4984732917,1.25741071472149,0.0538812378498323,23.3367080063363,1.8806060625597e-120,3.37448409237995e-119
"APLP2",25412.143154636,2.37381562104106,0.0542858760510935,43.7280521881389,0,0
"MT-RNR1",25338.2646523185,-1.6584809392889,0.20756018742306,-7.99036154225713,1.34543596067962e-15,5.1699718097971e-15
"PDGFRB",25168.8905333685,4.40850075197879,0.0594445091781379,74.1616141327333,0,0
"TIMP2",24946.0573334738,2.21662202524051,0.0549985661481966,40.3032693482899,0,0
"RPS3",24570.0701501157,-1.12292248209162,0.0555064132942951,-20.2304997827527,5.27654441140003e-91,7.24368353682814e-90
"CTSB",24475.128626605,3.52064789395813,0.0553847429839208,63.5671071901558,0,0
"YBX1",24397.3468441399,-1.3237895786264,0.0568129733816615,-23.3008325357901,4.34792547051824e-120,7.7600596799285e-119
"VIM",24333.0422107997,3.65622105149572,0.0619351310051939,59.0330720571029,0,0
"CALR",23943.6475946949,1.50625434741098,0.0560024912239964,26.896202552603,2.43274401685825e-159,5.85347999158342e-158
"DCN",23925.2758847628,8.80875067000621,0.103191031743119,85.3635293804837,0,0
"CAV1",23924.1687470041,5.89658843331744,0.0683387722931547,86.2846702604296,0,0
"FASN",23858.0314235899,0.567958269868376,0.0539278991791973,10.5318078121513,6.1639159944279e-26,3.26575121005335e-25
"RPL10",23648.4537139326,0.116507172078135,0.0539458594796332,2.15970554926688,0.0307954713422111,0.0492447448629277
"RPL6",23638.2743969765,-0.764145436164679,0.0557159703336588,-13.7150162078941,8.25479419123863e-43,6.15745589784131e-42
"LAMB1",23539.2304201694,1.99340711558504,0.0544030684124568,36.6414464065156,6.26203459551422e-294,2.85899679721849e-292
"EPAS1",23328.9104020024,3.14292660748089,0.0555870231435957,56.5406533708757,0,0
"LOXL2",22897.0778734071,6.31752268807824,0.0665826228105072,94.8824546317105,0,0
"FADS2",22842.0440655104,2.21528820272096,0.0596487205754403,37.1389056018258,6.62177390356822e-302,3.12282857292277e-300
"IGFBP4",22833.5619565834,3.95329749516958,0.0571796987012581,69.1381309269228,0,0
"RPL13",22795.8377286606,0.0478440016995295,0.0545390441498382,0.877243128208938,0.380354595229987,0.456794724201248
"LDHA",22644.4144291427,0.544883910977389,0.0558120953746239,9.76282842133055,1.62557126662176e-22,7.83770144260284e-22
"UBC",22489.6877811001,1.54017684088544,0.0606680509217286,25.3869510802731,3.5143983618387e-142,7.44599221631428e-141
"SRRM2",22245.4699603679,0.758530079889226,0.054256835854373,13.9803596716392,2.05447114438843e-44,1.57950767729103e-43
"WNT5A",22098.6722252026,7.62439732277044,0.0823519709218194,92.5830582732335,0,0
"RPS18",22022.4152541073,-1.13260523360965,0.0627889641028267,-18.0382850679752,9.75236502866689e-73,1.09505127321888e-71
"COL4A2",21620.1889863788,3.4216123982277,0.0610053015765734,56.0871319344749,0,0
"TNS3",21419.0600786813,5.59590651003411,0.0627144682218361,89.228317941564,0,0
"RPSA",21256.367802113,-0.493705915829592,0.056177119550986,-8.788380746035,1.517309834091e-18,6.47603087834026e-18
"HSPG2",21198.7305393288,5.5442114001849,0.0636528074099607,87.1008149644836,0,0
"RPS11",20889.3288615193,-0.473592972585596,0.0551216252858436,-8.59178172141497,8.56309494700074e-18,3.5736817451462e-17
"LGALS1",20775.4038065183,3.12705087846079,0.0559086936581527,55.9313887314338,0,0
"MXRA5",20747.9738277879,18.1731717134666,1.44393369587631,12.5858768760413,2.52522969369767e-36,1.68317854176197e-35
