GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZ75	THRAP1	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5SWW4|ensembl:ENSMUSP00000044268	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024R1Q0	SREBF2	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q3U1N2|ensembl:ENSMUSP00000023100	9606	Ensembl		P
UniProtKB	A0A024R5J8	LRRC54	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CBR6|ensembl:ENSMUSP00000091713	9606	Ensembl		P
UniProtKB	A0A024R7D5	LDLR	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35951|ensembl:ENSMUSP00000034713	9606	Ensembl		P
UniProtKB	A0A024RBS4	SCARB1	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61009|ensembl:ENSMUSP00000083242	9606	Ensembl		P
UniProtKB	A0A0S2Z3D5	APOE	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P08226|ensembl:ENSMUSP00000133302	9606	Ensembl		P
UniProtKB	A0A1B0GUD6	GRAMD1B	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q80TI0|ensembl:ENSMUSP00000048126	9606	Ensembl		P
UniProtKB	A0A384MDY5	A0A384MDY5	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P11404|ensembl:ENSMUSP00000070709	9606	Ensembl		P
UniProtKB	A4QPB2	LRP5L	involved_in	GO:0042632	cholesterol homeostasis	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000056265|UniProtKB:O75197	9606	GO_Central		P
