"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HDLBP",31783.1171915589,1.95319435419125,0.0546878596023654,35.7153190560555,2.28663162528969e-279,9.85611992810349e-278
"CAV1",23924.1687470041,5.89658843331744,0.0683387722931547,86.2846702604296,0,0
"ACLY",15159.4487082657,0.792698249330925,0.0569161772534657,13.9274682099746,4.31377694426258e-44,3.29878028591587e-43
"CD81",13726.7553237944,2.72071066736457,0.0593944286668727,45.8075063340418,0,0
"DHCR24",11740.9671342537,2.27363847630772,0.0598901479699852,37.9634806954758,0,0
"CYB5R3",11058.0235398218,4.21922759983389,0.065455282751739,64.4596955731857,0,0
"NFE2L1",10784.5976419633,1.24185859166052,0.0598612828426037,20.7456060526768,1.34321042119141e-95,1.93127449583497e-94
"LSS",10158.700419461,2.62562447913144,0.0614613546513482,42.7199252933135,0,0
"SREBF2",9288.18206847122,2.00517725762024,0.0620760745493294,32.301933912184,6.57085855189564e-229,2.36444736006543e-227
"ANXA6",8347.79426997883,2.73888143252546,0.0645519662037578,42.4290938540928,0,0
"CNBP",7232.43103626952,-0.584174418519424,0.0651566276669957,-8.96569450317531,3.08331588164483e-19,1.34257875767559e-18
"MBTPS1",6874.58083460332,1.38294194248312,0.06557237671066,21.0903129008941,9.76138403516413e-99,1.44389240012395e-97
"DHCR7",6849.01015606844,2.53119251771476,0.0669197866405346,37.8242765672771,0,0
"FDFT1",6824.2488352517,1.47297052861842,0.0657061930892167,22.417529602094,2.65518398293276e-111,4.40545137168223e-110
"DAG1",6633.32326101815,1.79385263071483,0.0665039852088613,26.9736110562561,3.01544695509048e-160,7.33478195641728e-159
"LDLR",6035.46888024466,3.73479338680005,0.0761260227002209,49.0606661733454,0,0
"INSIG1",5836.68435828925,2.83458996314868,0.0714459744960721,39.6745930493889,0,0
"SQLE",5702.86830983815,1.8076179790458,0.0705211496332411,25.6322817827938,6.66415778357058e-145,1.45184472234897e-143
"TGFBR2",5136.84825792747,5.62691086999006,0.0944174587430367,59.5960847167478,0,0
"CD24",5072.40678310062,-12.3457187461954,0.835917795111249,-14.769058415071,2.31930481896625e-49,1.93127654701041e-48
"G6PD",5020.84363592204,2.77229864618967,0.0733309156386254,37.8053188351221,0,0
"VDAC1",4718.70840358262,0.138557728509597,0.0709331317309091,1.95335698746854,0.0507773091844765,0.0778021258301707
"HMGCS1",4398.55831361897,1.67797861796034,0.0730914979338529,22.9572339518735,1.24765088475389e-116,2.15760713400538e-115
"SREBF1",4056.82345386426,1.50795616185991,0.0768921351938248,19.6113186096179,1.23780850109413e-85,1.60163949563781e-84
"EHD1",4004.73772002566,2.59139631862345,0.0795631827587578,32.5702948118702,1.0806438630027e-232,3.94523587361805e-231
"MSMO1",3905.11467947429,2.5562670848944,0.0770970987741498,33.1564627662942,4.57021043770762e-241,1.72181819178522e-239
"SNX17",3785.15276565172,-0.08500996872904,0.0813937060197642,-1.0444292671524,0.296286828701842,0.366776413295721
"XBP1",3747.69739919308,1.80219626450694,0.0763147155771633,23.6153178437087,2.6828399834563e-123,4.92870410526257e-122
"CLU",3348.70297929462,3.51357736017354,0.0853197424129237,41.1812935764481,0,0
"MVD",3109.29956370558,2.36764423756019,0.082280310506283,28.7753439795222,4.36562786111681e-182,1.20690040303951e-180
"SMPD1",3051.54278781606,3.94202326962518,0.0909630595773194,43.3365290035613,0,0
"GBA",2999.70551889223,2.83877560036666,0.0940050908283411,30.1981049680643,2.5082433595386e-200,7.65186022149653e-199
"OSBPL8",2966.60692238705,0.156039178442893,0.0948276223659887,1.645503436126,0.0998660346453409,0.143433531522506
"ABCA2",2869.49462555553,0.0170808292840674,0.0820085059535548,0.2082811909016,0.835009417090641,0.873096219158466
"SCAP",2770.84081180176,-0.0532653092371816,0.082669160852325,-0.64431897805678,0.519368611638831,0.594432679481333
"LBR",2675.27312589946,-1.91303929284329,0.0993687062437444,-19.2519291551481,1.36003006445872e-82,1.71333014342842e-81
"LRP5",2485.06396892738,0.22425904653774,0.0884401561576507,2.53571518053385,0.0112217962151363,0.0192564433085331
"SMAD2",2464.33944424763,0.322943490559924,0.0863612488255106,3.73944905790348,0.000184424016316137,0.000386407615573459
"TSPO",2428.77935290375,2.66470387486461,0.0911680357673228,29.2284883889066,8.42858057173663e-188,2.41334343427596e-186
"PPARD",2408.03486752634,1.69886924302525,0.0903866092762842,18.7955855035155,8.20694583665453e-79,9.91511846920234e-78
"HMGCR",2362.86558666981,0.999436387257655,0.106892733934674,9.34990013323491,8.77305219418821e-21,4.01365635992044e-20
"FABP3",2238.87275151165,5.84240784974381,0.135952692243472,42.9738297442531,0,0
"VDAC2",2200.4572169372,-0.680669963708329,0.0900719111466856,-7.55696148824723,4.12594063234289e-14,1.492981189638e-13
