"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",395505.532882888,-6.90077408389576,0.0536860923163719,-128.539325291726,0,0
"FN1",392975.830211097,-6.47876152321351,0.0507396316306147,-127.686412277862,0,0
"COL1A2",317275.852031021,-13.7513948367833,0.141838982235073,-96.950743865271,0,0
"MT-CO1",234923.163327275,-1.62472970017091,0.0504562528965058,-32.2007602011885,1.72218497621995e-227,5.1315069537052e-226
"COL6A3",151246.350692609,-8.68065204381128,0.0610913659120979,-142.092944137172,0,0
"IGFBP5",128650.059098414,-7.38351411187051,0.0568851078345775,-129.796960802849,0,0
"COL6A1",108214.096251115,-6.46782243356549,0.0542253481833401,-119.27673404138,0,0
"COL6A2",103991.65979828,-6.20332157095904,0.0545981215184845,-113.617857142922,0,0
"FLNA",93151.2989995689,-2.90694719121004,0.054298356469385,-53.5365594877455,0,0
"AHNAK",96948.7872833974,-5.68459907886664,0.0527103153505974,-107.846045713369,0,0
"SPARC",77286.1598673375,-5.29756990064055,0.0536593944606259,-98.7258606603881,0,0
"COL3A1",73269.7473923512,-3.90644779575993,0.0524215252982197,-74.5199185551473,0,0
"LRP1",71644.908488193,-5.13215781350583,0.0534824256126693,-95.9597055427884,0,0
"COL12A1",67359.3411048347,-19.8652520706457,1.44371419613221,-13.7598231865184,4.44612923974162e-43,2.81135737184556e-42
"FBLN1",65282.5374050091,-4.51212424664717,0.0585067937902243,-77.1213726533257,0,0
"THBS1",61980.8780451253,-12.0927573611667,0.177199531840911,-68.2437319982514,0,0
"FTL",49762.7458654814,-3.81308356034245,0.0555997601424062,-68.5809354316655,0,0
"SCD",43454.9124250561,-2.26492354433162,0.0520639234208473,-43.5027442327695,0,0
"LAMC1",43881.2789505755,-3.90861299354358,0.0534776259579377,-73.0887529790096,0,0
"APP",39002.4736655207,-1.9519583743271,0.0524113324141196,-37.2430595525414,1.37240426365208e-303,5.49738538062898e-302
"ANXA2",39053.2090049237,-3.56958754239098,0.0535235485705797,-66.6919073514696,0,0
"FBN1",39782.560969271,-4.317901506191,0.0544750182234028,-79.2638836481563,0,0
"MYH9",34995.2629037016,-2.76659814262416,0.06490109304222,-42.6279129201169,0,0
"SEPTIN11",35387.3577602012,-3.12845558374456,0.0543784381042959,-57.5311776653883,0,0
"COL5A2",36791.926713641,-4.47363145674802,0.0547161736664401,-81.7606780039134,0,0
"COL5A1",36528.1534310567,-4.97064367909762,0.056971054492795,-87.2485812901049,0,0
"HDLBP",31759.3303428689,-1.94324357215887,0.0550445828130826,-35.3030847514574,5.26600197822906e-273,1.87108321335235e-271
"PSAP",31745.4430402611,-2.21318697858611,0.053145226828657,-41.6441345846832,0,0
"MMP2",31830.0859914298,-2.43749995667228,0.053123291258595,-45.8838279580034,0,0
"MRC2",33731.4900818223,-3.91714215538351,0.0543456038619951,-72.07836286686,0,0
"FAT1",32673.8381473774,-5.1159586454391,0.057662864172671,-88.7218961257181,0,0
"ITGB1",29135.1446734035,-2.27007724970971,0.0536538931733264,-42.3096464291291,0,0
"TPM4",27984.7885500965,-1.74805085553365,0.0551202408466517,-31.7134110570533,1.0150899033049e-220,2.90729964885843e-219
"SULF1",31225.5599443646,-18.7561026579034,1.44381764478875,-12.9906312792345,1.38281719216024e-38,8.06239862397856e-38
"PLEC",27462.1661555885,-3.00127816479225,0.0594983212590544,-50.4430730360399,0,0
"LUM",29169.8557315905,-7.73678911385631,0.0846993063173936,-91.3441850971512,0,0
"CALU",26061.783406643,-2.53300521903854,0.0587425201229188,-43.1204724233524,0,0
"CAVIN1",27790.3737245046,-5.12954254234858,0.0615847819175331,-83.2923716319633,0,0
"APLP2",25384.9027415057,-2.36382682540114,0.054393216556681,-43.4581180345878,0,0
"TIMP2",24922.054878212,-2.20662445268781,0.0551936666051157,-39.9796677483878,0,0
"B2M",26118.9396955684,-4.05529339207446,0.058778423415662,-68.9928915479195,0,0
"LAMB1",23519.9262177409,-1.98338516681426,0.0542969162372926,-36.5285048260626,3.91330559662233e-292,1.49692752822148e-290
"AEBP1",25578.3717884751,-3.86858557355302,0.0565879343703771,-68.3641418722322,0,0
"UBC",22478.7099417852,-1.53004815157282,0.0601284640636867,-25.4463202311676,7.7536267374903e-143,1.38472761839679e-141
"PDGFRB",25119.9851495924,-4.39842019175674,0.0590432191210262,-74.4949251960822,0,0
"CTSB",24434.6957245033,-3.51063470905197,0.0553588938326578,-63.4159114462101,0,0
"FADS2",22818.4020315998,-2.20517672413855,0.0591193201680035,-37.300441173409,1.6142951863398e-304,6.55913623081222e-303
"VIM",24289.9214363935,-3.6460922893982,0.061391811674986,-59.3905309180474,0,0
"EPAS1",23293.5450861068,-3.13289582062517,0.0554006234222214,-56.5498297148864,0,0
"CAV1",23872.2489154614,-5.88646565339655,0.0678401923281178,-86.7695896987719,0,0
"DCN",23872.3446739038,-8.79870964342808,0.103084912692756,-85.3540000528744,0,0
"IGFBP4",22792.2767513858,-3.94325360691944,0.0569625087265433,-69.2254202821297,0,0
"LOXL2",22848.7411149306,-6.30752521868814,0.0666434721204897,-94.6458072785328,0,0
"COL4A2",21586.7576923236,-3.41170639187803,0.0614906233083735,-55.4833600363495,0,0
"TLN1",20075.2278770615,-2.18446472245638,0.0560398502279923,-38.9805596119389,0,0
"LGALS1",20744.3950900246,-3.11704418940659,0.0558828318507754,-55.7782074775679,0,0
"WNT5A",22050.0689414471,-7.61434608338562,0.0821781004120928,-92.6566329131786,0,0
"TNS3",21374.8142309306,-5.58589613595239,0.0626998013745693,-89.0895347910622,0,0
