"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EEF1A1",231326.818698928,-0.897038222658405,0.0496970757235033,-18.0501208491462,7.87183044899319e-73,7.45235052094205e-72
"MT-RNR2",107119.139323822,0.290744186804038,0.0770521956697136,3.77334071115016,0.00016107607569689,0.000300133414112559
"MT-ND4",112483.210760283,-1.15046057753726,0.0645937822287819,-17.8107015542532,5.83735582896973e-71,5.37936252844394e-70
"ACTB",100740.673183965,-0.8535702159284,0.051966507133241,-16.4253913340734,1.25869163182774e-60,1.01076211229136e-59
"MT-CO2",92295.6363762604,-0.589595230607028,0.0629645894213638,-9.36391765634191,7.6833711990435e-21,2.9943638468232e-20
"EEF2",93873.1751543701,-1.12394019469665,0.0516844332926204,-21.7462033168337,7.50388826442102e-105,9.85661548978551e-104
"MT-CO3",92722.6109616574,-1.15507939301585,0.0513425070221493,-22.4975261242608,4.38867243907154e-112,6.13475001688815e-111
"ACTG1",67011.0079098122,-1.24737866660768,0.0529051433670422,-23.5776445770819,6.53664041896785e-123,1.00106673467764e-121
"MT-ND5",61510.7950940695,-1.1978496423121,0.0704501365772635,-17.0028008533157,7.82883352335242e-65,6.62836034698991e-64
"MT-ATP6",57046.8717195165,-1.2377079555458,0.0678439441974811,-18.2434551850797,2.33237773769766e-74,2.24564078781503e-73
"PKM",51487.0008353071,-1.06908825771937,0.0513267468104871,-20.8290671853165,2.36012925593308e-96,2.88169915763964e-95
"MT-CYB",52953.1081485519,-1.4658361112302,0.0733402266187681,-19.986795498326,7.17587796985596e-89,8.08190394164679e-88
"HSP90AB1",40373.5265356351,1.41506301519934,0.053356444936828,26.5209388832918,5.55916067944469e-155,1.100428729367e-153
"RPL4",43667.4423557353,-0.124374984642005,0.0517935354469377,-2.40136116541854,0.0163342060198832,0.0249545880221009
"RPL13A",43891.2413989379,-0.356824511495114,0.0535330021469893,-6.66550533660256,2.63756225240473e-11,7.24625643721157e-11
