"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RGS5",51095.7963344996,10.125893091244,0.13348190009167,75.8596714932135,0,0
"HSP90AA1",39607.6214105811,1.71021433633329,0.0846715236342004,20.1982232388044,1.01483399078528e-90,1.16853833894896e-89
"HNRNPA2B1",30500.2366494648,2.11648441134774,0.0546690332943923,38.7145022292691,0,0
"PTMA",29251.4182407802,2.38814605385691,0.0608695423273678,39.2338427815509,0,0
"MT-RNR1",25414.2560642708,1.66890922224018,0.200061596549844,8.34197692621321,7.30587115672449e-17,2.50318571163625e-16
"NUCKS1",16757.6775981098,1.619807889211,0.056950268744135,28.4424977253125,6.03393889246738e-178,1.37557608254585e-176
"STMN2",12818.9806324889,5.58941039917709,0.0804164173000755,69.5058370770248,0,0
"GATA2",12980.4373900007,3.03461323814393,0.0619544832586073,48.9813340138275,0,0
"STMN1",12638.5498371791,3.1480817408336,0.0655201877804929,48.0475079128339,0,0
"RPS7",12421.6127367589,1.80480484238594,0.0613128894926714,29.4359776112274,1.90335650550751e-190,4.65131034381864e-189
"HMGB1",11852.4133615225,2.5054010337743,0.0663483690068609,37.7613055343565,0,0
"RPS27",12273.7264869845,1.55450325527085,0.0697019206040071,22.3021581299366,3.52103963231025e-110,4.84221353159168e-109
"YWHAG",11851.4915453764,1.77389796026711,0.0596678928093172,29.729522474273,3.19055410097673e-194,7.92227644020304e-193
"H3-3B",11943.3635047003,1.56062630234942,0.0608215936145238,25.6590827303932,3.34803331068825e-145,6.10773337795158e-144
"RGS4",10636.157895007,4.91361630571485,0.074374087092872,66.0662402427763,0,0
"CHGA",10458.0591969744,16.4206653615244,1.44399888479518,11.3716606947751,5.78758218536339e-30,2.85330321730658e-29
"HSPD1",11146.8293166766,2.35758234489274,0.0667068403304581,35.3424376452781,1.31010364179527e-273,4.67453786811991e-272
"HNRNPA3",10672.9378068162,2.0183833759722,0.0666774216465882,30.2708672010487,2.77274460575321e-201,7.17870341221228e-200
"MT-ND3",10919.5717256481,1.59032560237275,0.0614946513616637,25.8612020258428,1.82047724535158e-147,3.41269156016018e-146
"FUS",10705.5544493277,1.51116479460656,0.0602810200381928,25.0686666159451,1.09277992540617e-138,1.89772742874216e-137
"PARP1",10183.5920461649,2.39819028320577,0.0622537711013491,38.5228114020838,0,0
"MCM7",9826.70680232871,3.25682285661622,0.0652703677473572,49.8974185226356,0,0
"RPS25",10194.4452211808,2.12747780909434,0.0744281117785272,28.5843313535213,1.05217762430128e-179,2.41815761449702e-178
"HNRNPD",9991.24319560799,1.94174350411357,0.0651670301848301,29.7964092978658,4.34830960345968e-195,1.08925796910264e-193
"TOP2A",9312.52348877713,3.68005286991192,0.0695039337467999,52.9474041471985,0,0
"CENPF",8785.94141305944,4.47996478583108,0.0761363880884518,58.8413096327405,0,0
"VGF",8459.93694171461,12.3499136906875,0.648364571378521,19.0477923006029,6.85320721837314e-81,7.11025481959984e-80
"DCAF7",9184.21125598026,1.99627525685048,0.062676430003789,31.8504939852158,1.29573683101914e-222,3.76184518598788e-221
"HNRNPA0",9275.46591710906,1.6318765328768,0.0622221121568833,26.2266335280017,1.32072463832624e-151,2.53746462187024e-150
"TOMM20",8999.6602085396,1.80494128908004,0.0799792725728272,22.5676132204941,9.01843793893434e-113,1.27005928652455e-111
"CBX3",8437.13174610542,2.6671309127839,0.0838181403890024,31.8204496115717,3.37534725849071e-222,9.76608140344229e-221
"MDK",8600.83016143411,2.09212146732419,0.0642922006186312,32.5408283927664,2.82287612320278e-232,8.66975191256348e-231
"RBMX",8642.12723133393,1.97563130462708,0.063629207977223,31.0491261392768,1.17226875990876e-211,3.24793028030837e-210
"DBH",7744.0040897743,9.78810365426603,0.285073054884325,34.3354220490526,2.32456987192596e-258,7.80246930924713e-257
"HMGB2",7902.22991287789,4.23347112521926,0.0749358564292739,56.4945985399514,0,0
"CCT6A",8352.98398966278,2.04006604964262,0.06439697513446,31.679532235528,2.97392617270974e-220,8.50322594567378e-219
"SRSF3",8208.40785858287,1.89917622872073,0.0667352373532931,28.4583722788995,3.83897520175158e-178,8.76359607883721e-177
"CBX1",7873.03600918833,2.65264842711934,0.0691556765748907,38.3576382807376,0,0
"MARCKSL1",7614.92531769719,3.37478534416683,0.0710150900487417,47.522087796418,0,0
"CCT5",7872.33630347986,1.68406103733359,0.0641897360835593,26.2356747368668,1.04151411198561e-151,2.00556413582354e-150
"SMC1A",7590.80044142775,2.10398875975145,0.068059715308443,30.9138636595274,7.77836828704737e-210,2.12051054554113e-208
"SMARCA4",7598.01025664623,1.55625782209659,0.0739687906785172,21.0393844190369,2.86067265618243e-98,3.53864999217789e-97
"KIF21A",6798.97344764698,6.36199616779568,0.112169127292784,56.7178895061701,0,0
"MKI67",7119.00819803005,2.66146277594028,0.07070211590551,37.6433256891095,0,0
"DDX21",7293.84152985566,1.93047101344048,0.0898864368048218,21.4767776103115,2.5670855948617e-102,3.30048309940433e-101
"NASP",6863.67485690877,2.7912108037307,0.0759254082518226,36.7625392868888,7.3304054458214e-296,2.84245676008746e-294
"LMNB2",7185.90946408423,1.64459195662928,0.0678246688445553,24.2476960764594,6.99274352472092e-130,1.13541831762773e-128
