"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EEF1A1",231326.818698928,-0.897038222658405,0.0496970757235033,-18.0501208491462,7.87183044899319e-73,7.45235052094205e-72
"MT-CO1",234923.163327275,-1.62472970017091,0.0504562528965058,-32.2007602011885,1.72218497621995e-227,5.1315069537052e-226
"MT-ND4",112483.210760283,-1.15046057753726,0.0645937822287819,-17.8107015542532,5.83735582896973e-71,5.37936252844394e-70
"ACTB",100740.673183965,-0.8535702159284,0.051966507133241,-16.4253913340734,1.25869163182774e-60,1.01076211229136e-59
"MT-CO2",92295.6363762604,-0.589595230607028,0.0629645894213638,-9.36391765634191,7.6833711990435e-21,2.9943638468232e-20
"EEF2",93873.1751543701,-1.12394019469665,0.0516844332926204,-21.7462033168337,7.50388826442102e-105,9.85661548978551e-104
"MT-CO3",92722.6109616574,-1.15507939301585,0.0513425070221493,-22.4975261242608,4.38867243907154e-112,6.13475001688815e-111
"ACTG1",67011.0079098122,-1.24737866660768,0.0529051433670422,-23.5776445770819,6.53664041896785e-123,1.00106673467764e-121
"MT-ND5",61510.7950940695,-1.1978496423121,0.0704501365772635,-17.0028008533157,7.82883352335242e-65,6.62836034698991e-64
"MT-ATP6",57046.8717195165,-1.2377079555458,0.0678439441974811,-18.2434551850797,2.33237773769766e-74,2.24564078781503e-73
"COL12A1",67359.3411048347,-19.8652520706457,1.44371419613221,-13.7598231865184,4.44612923974162e-43,2.81135737184556e-42
"PKM",51487.0008353071,-1.06908825771937,0.0513267468104871,-20.8290671853165,2.36012925593308e-96,2.88169915763964e-95
"MT-CYB",52953.1081485519,-1.4658361112302,0.0733402266187681,-19.986795498326,7.17587796985596e-89,8.08190394164679e-88
"MT-ND1",37053.3334855508,-0.808348057448342,0.0596569084876219,-13.549948831426,7.92853890362047e-42,4.90201327772443e-41
"APP",39002.4736655207,-1.9519583743271,0.0524113324141196,-37.2430595525414,1.37240426365208e-303,5.49738538062898e-302
"HDLBP",31759.3303428689,-1.94324357215887,0.0550445828130826,-35.3030847514574,5.26600197822906e-273,1.87108321335235e-271
"PABPC1",28585.0658211759,-0.787687676813708,0.0543912443697687,-14.4818837285421,1.57714898847175e-47,1.06888660894669e-46
"TPM4",27984.7885500965,-1.74805085553365,0.0551202408466517,-31.7134110570533,1.0150899033049e-220,2.90729964885843e-219
"SULF1",31225.5599443646,-18.7561026579034,1.44381764478875,-12.9906312792345,1.38281719216024e-38,8.06239862397856e-38
"PXDN",25438.737825962,-1.2474185697609,0.0540082925698749,-23.0967969992203,4.98619959897915e-118,7.31309274516941e-117
"CALR",23933.3544143206,-1.49618657867678,0.0556250709870628,-26.897701919783,2.33645738940611e-159,4.72972494656416e-158
"SRRM2",22253.8535758029,-0.748525677767801,0.0542751917040539,-13.7913041716975,2.8751468857559e-43,1.82343146779978e-42
"LAMB1",23519.9262177409,-1.98338516681426,0.0542969162372926,-36.5285048260626,3.91330559662233e-292,1.49692752822148e-290
"UBC",22478.7099417852,-1.53004815157282,0.0601284640636867,-25.4463202311676,7.7536267374903e-143,1.38472761839679e-141
"FADS2",22818.4020315998,-2.20517672413855,0.0591193201680035,-37.300441173409,1.6142951863398e-304,6.55913623081222e-303
"HSPA5",20239.6964441439,-0.856191762208346,0.0548503401384922,-15.6095980452726,6.26303194131957e-55,4.69423364922204e-54
"CCND1",19690.7949514465,-0.848000599829105,0.054886067048201,-15.4501979361063,7.5212135948387e-54,5.5684521227001e-53
"CANX",19562.2452156827,-0.984376705405726,0.0610706539338471,-16.1186534284048,1.88675810657027e-58,1.48080867292003e-57
"DYNC1H1",17511.0611296742,-0.955260194336018,0.0588101499050803,-16.2431178270725,2.49893971809396e-59,1.9860548512919e-58
"GANAB",17657.6511986752,-1.20201474944897,0.0557284578354654,-21.5691371363234,3.50164658674403e-103,4.52258293758635e-102
"MXRA5",20701.1371922913,-18.1630910466727,1.44391627568237,-12.5790472429498,2.75330433189454e-36,1.54585523216188e-35
"RTN4",18146.7415545715,-1.98478811242248,0.0657026341917413,-30.208653531763,1.82327054628029e-200,4.69900257329657e-199
"MACF1",17679.3954297758,-1.80656509356649,0.0568250683639184,-31.7916923917611,8.43217502948404e-222,2.43557926361832e-220
"P4HB",17633.5252211081,-2.0042414380729,0.0560267628487394,-35.7729295102045,2.91194270693028e-280,1.05676143022444e-278
"SLC38A2",17522.1119308754,-2.04179446588991,0.189471178937597,-10.7762799457873,4.45541757842062e-27,2.05571345155925e-26
"ACLY",15164.7199050646,-0.782716235506757,0.0570026088477361,-13.7312353123614,6.59985503753965e-43,4.15617122571648e-42
"MT-ND6",15918.913054056,-1.46082473471094,0.0646315070506371,-22.6023622436411,4.1079834560647e-113,5.79966675127206e-112
"BSG",15160.088779688,-1.03980140831553,0.0565374143020259,-18.391385972497,1.53992592035183e-75,1.50483900064761e-74
"SPTAN1",15242.2067381037,-1.10344854242807,0.0589853075841934,-18.7071762040581,4.32702647772203e-78,4.3485335915758e-77
"SEPTIN9",14605.7239683492,-0.683444011926908,0.0573355101300992,-11.9200825173809,9.30163676380431e-33,4.87288706960063e-32
"ATP2A2",14827.6055295397,-1.10337184805268,0.0568559467383271,-19.4064457871192,6.80763162343328e-84,7.29468867459879e-83
"PLXNB2",15780.9484528841,-2.12360556497861,0.0574462658046073,-36.9668164716163,3.9104025908701e-299,1.53028289408613e-297
"PCOLCE",14367.2327164983,-1.40236018625992,0.0577995250650903,-24.2624863211362,4.88186107579079e-130,7.93430894844313e-129
"TMBIM6",14524.6046972104,-1.81513596899213,0.0594886374383274,-30.5123137317426,1.78911558598175e-204,4.69649754440712e-203
"TKT",14778.5614479547,-2.15976846896526,0.057625467298586,-37.479409195494,1.99425999300743e-307,8.20109242644991e-306
"MAGED1",13940.3803859867,-1.39169784666003,0.0572747121688478,-24.2986440954476,2.026096756833e-130,3.30559340231043e-129
"FBN2",16402.252327302,-17.8272707941288,1.44390059294254,-12.3466053558427,5.08105075542058e-35,2.78017287467987e-34
"HUWE1",13076.1267182502,-0.892517599529063,0.057911389822799,-15.4117800014824,1.364022857054e-53,1.00724192192196e-52
"RHOA",13110.7853341696,-1.15526694781756,0.0587575533277336,-19.661590423512,4.60075474969754e-86,5.0412399141202e-85
"NORAD",12408.9465755187,-0.794428576203207,0.0582203609701384,-13.6452018325801,2.15615715277164e-42,1.34435290318185e-41
"DDR2",13386.7609142333,-1.9838782469218,0.0683797910707215,-29.012639785196,4.5580782212684e-185,1.07969875188316e-183
"MAP4K4",12117.6552582986,-0.823560229754927,0.0584077287639372,-14.10019268312,3.78734202259601e-45,2.4816441709788e-44
"EGR1",12998.3486881339,-1.68775247208015,0.0893266713449576,-18.8941605756523,1.27397801615884e-79,1.30187982108555e-78
"DDX17",13062.8954662291,-1.79406942136901,0.0594634143578014,-30.1709789245163,5.69316630725043e-200,1.46504146306578e-198
"ARF1",12048.7781111428,-0.808685945492296,0.0596938155750681,-13.5472316135552,8.22749559637962e-42,5.08499946175078e-41
"CLIC4",13120.6713743891,-2.04966959064019,0.0595383025769273,-34.4260669506304,1.02741799185812e-259,3.45537963836006e-258
"AP2M1",12392.5406686694,-1.32239718150889,0.0582612157702999,-22.6977271933795,4.71761260219479e-114,6.70493158457542e-113
"UBR4",12110.2250829228,-1.16830292217889,0.0584482862591331,-19.9886600096224,6.91273217199947e-89,7.79069961574246e-88
"EMILIN1",11515.685328231,-0.706080913413689,0.0587525868098382,-12.0178693697186,2.86257652602207e-33,1.51269445295454e-32
"PEA15",12926.4343259697,-2.23329999794348,0.0597834642575538,-37.3564835306661,1.98975065275778e-305,8.10405877372616e-304
"IGF2R",12242.6527198997,-1.76409525119368,0.0614831169179153,-28.6923523013462,4.75277444221631e-181,1.09974279464035e-179
"SLC38A1",11068.8532602712,-0.594147912105561,0.061197929260932,-9.70862771471024,2.77041779666163e-22,1.1243196143011e-21
"NDST1",12603.3855506854,-2.26485920577548,0.060511212713776,-37.4287525270479,1.33154176580339e-306,5.46253752425235e-305
"TXNRD1",12127.7573974818,-1.76886164752435,0.0591988581195486,-29.8799960626307,3.58048533435004e-196,8.99570457375755e-195
"PDIA3",11539.0676415884,-1.27541737696004,0.060168362143874,-21.197475409257,1.00758424381649e-99,1.26667733508359e-98
"TTC3",10903.2798382036,-0.632042337025526,0.0758187196836215,-8.3362306784252,7.66962249416123e-17,2.62516865056095e-16
"SLC25A3",11119.6507605981,-0.893517978004106,0.0599422404179418,-14.906316009781,2.99846007943532e-50,2.11926117308071e-49
"CTNNA1",11215.8366780224,-1.33276799439404,0.0618949509161527,-21.5327417611092,7.68499288099099e-103,9.91807895826376e-102
"HMGA1",10594.4991945549,-0.781127259050059,0.0607329277042347,-12.861676335679,7.39552186105358e-38,4.26504391470744e-37
"TRIO",10287.8854730337,-0.603320835518056,0.0605582463477915,-9.96265367482953,2.22055035082119e-23,9.33510573226413e-23
"MYL6",11306.5967210799,-1.75675003075889,0.0668308753909846,-26.2865033636216,2.73605086882266e-152,5.29864172817377e-151
"NFE2L1",10782.9414955378,-1.23182333293733,0.0596228134519007,-20.6602684714145,7.89243078600797e-95,9.45977730907265e-94
"ALDH1A1",12760.9209209991,-17.4651036262987,1.44445837162854,-12.0911090062138,1.17687291442854e-33,6.26387012806466e-33
"ATF4",11137.4442217191,-1.99418198032165,0.0618290074876155,-32.2531779395147,3.17494617661363e-228,9.51027969375765e-227
"SEPTIN2",10023.2682482075,-0.721720692217039,0.0605681914028371,-11.915836935214,9.78783652571112e-33,5.12443327844259e-32
"COPA",10013.1531652161,-0.817757023247118,0.0616716206526896,-13.2598594717075,3.95636452338636e-40,2.36768481554594e-39
"AKAP12",10664.111683646,-1.70412986229714,0.0629183722706598,-27.0847735056842,1.48824925366913e-161,3.07499091536697e-160
"CAP1",9955.19972051267,-0.973039105503501,0.0602725445599634,-16.1439858331425,1.25189250250591e-58,9.85727504059357e-58
"ITM2C",9956.95681045782,-1.07016774017525,0.060947982675609,-17.5587065099617,5.10247323245065e-69,4.59493135630656e-68
"DPYSL3",10265.0807025262,-1.60721668596482,0.0603331380323475,-26.639036827541,2.39781924553226e-156,4.76868408268383e-155
"TMSB4X",9430.6511368287,-0.61076790389513,0.075499533004078,-8.0896911489789,5.98162126374554e-16,1.98499131581583e-15
"LAPTM4A",10381.8194107685,-1.83422238478415,0.0672504003331121,-27.2745199388952,8.50923665874335e-164,1.78420833842095e-162
"PRKCSH",9528.71225290792,-0.894928093788406,0.0613750060345909,-14.5813117033997,3.69351154527837e-48,2.53252321699668e-47
"TEAD1",10316.6588691665,-1.94286646153922,0.0644483422003308,-30.1461045421467,1.20644684934022e-199,3.09054197423745e-198
"WDR1",10273.8963335669,-1.89999247741251,0.0635458958169597,-29.8995309293511,1.99561785561151e-196,5.02127017180828e-195
"PTK7",10189.2074658901,-1.83291776947601,0.062073540311881,-29.5281654673914,1.25256728231748e-191,3.07866899028656e-190
"VCP",9212.33605257568,-0.635738741264315,0.0618489804868939,-10.2788879664562,8.77339991831051e-25,3.82168310368263e-24
"CTTN",9802.98545561235,-1.47170275437517,0.0718493590393114,-20.4831716532077,3.04191954278871e-93,3.58777510518912e-92
"GARS1",9741.77034559572,-1.39730123683222,0.0620081889905823,-22.5341404027206,1.92130757415476e-112,2.69681717681359e-111
"TGOLN2",10189.7864197574,-2.0173053865893,0.0616856625470987,-32.7029864524684,1.41631679669928e-234,4.39757303019024e-233
"RPN2",9686.65287331418,-1.34925715486872,0.0605806715108961,-22.2720732738336,6.89368283052336e-110,9.41176118919685e-109
"SEC31A",9992.67976563042,-1.88344426003306,0.060897727604701,-30.9279891732392,5.02344894190121e-210,1.3716761548111e-208
"NCOR2",9613.66128314006,-1.45379465971071,0.062207257383567,-23.3701777068659,8.59446576291123e-121,1.29519437903535e-119
"IARS1",9303.56861852717,-1.10382796968383,0.0634471851729713,-17.3975877207877,8.60511807958493e-68,7.58823081327468e-67
"SON",8866.64406166147,-0.748140498463169,0.0615319837495363,-12.1585629598494,5.1659434524204e-34,2.7782895375525e-33
"GLG1",9634.02022539891,-1.89581012090697,0.0609945569430819,-31.0816278684682,4.26654141147439e-212,1.18597282049887e-210
"CHD3",8996.10062210463,-1.12397976345313,0.0627155294389311,-17.9218731549991,7.96020856628184e-72,7.44472369436844e-71
"POLR2A",8586.80538163283,-0.715367268908945,0.0616301065312588,-11.6074319707059,3.7779188338535e-31,1.90624401289863e-30
"SURF4",9051.06024678669,-1.41784784084458,0.0645649480202128,-21.9600245074264,6.94615784437657e-107,9.28194687874835e-106
"NID1",9607.54518492784,-2.29485372234404,0.0626107569683891,-36.6527068743581,4.1434762423882e-294,1.59938182956185e-292
"PLXNA1",8993.0183399867,-1.48252200280292,0.0614338629928986,-24.1320003427798,1.15388169280084e-128,1.85582638925468e-127
"IQGAP1",9395.41560929876,-2.1251850366738,0.0615023820958032,-34.5545158456361,1.21928088320218e-261,4.14165330406117e-260
"PLD3",9522.18934930822,-2.34661693373022,0.0631136995391317,-37.1807856434604,1.39512220803807e-302,5.56214919749261e-301
"SREBF2",9280.71635692192,-1.99519408924479,0.0621022012879655,-32.1275904535679,1.81615898896891e-226,5.40203927647075e-225
"ADD1",8418.0592753406,-0.790992542310022,0.0618813487424908,-12.7824063047108,2.05608257079647e-37,1.17775738220598e-36
"PTTG1IP",8600.20040631127,-1.14574673529012,0.0627619308772006,-18.2554411452363,1.87291900360615e-74,1.80429134187447e-73
"AKR1B1",8136.4354281671,-0.600522784402187,0.0622259714563545,-9.65067752816677,4.88320208957274e-22,1.96904806004994e-21
"MFAP4",8849.18627112056,-2.11937950481816,0.0725613825456715,-29.2080915559206,1.5306620065862e-187,3.67705283166336e-186
"WNK1",8038.03169793954,-0.880239157026931,0.0634549647385985,-13.8718721325125,9.37963102143054e-44,5.99336543521356e-43
"GNAI2",8803.12236722203,-2.18178972233508,0.0641759914494616,-33.9969772660736,2.46914170139648e-253,8.15873592539258e-252
"VAT1",8669.95785209372,-1.97144568505354,0.0630082612453785,-31.2886857387791,6.65122190493415e-215,1.87027074227486e-213
"ANKRD11",7794.0240638624,-0.726193274465305,0.0659961945964906,-11.0035628403326,3.67325944398396e-28,1.73827356914527e-27
"EIF4A2",7711.09446208821,-0.674053284005272,0.0629068930412383,-10.715094187904,8.64691999437874e-27,3.95740472068253e-26
"RAB7A",7831.06064483359,-0.857367243937605,0.0627775006579756,-13.6572376241723,1.82787092264314e-42,1.14176387459254e-41
"XPOT",7622.81206511183,-0.58756180999359,0.072899746830797,-8.05986077506336,7.63813918050537e-16,2.52287350917353e-15
"SHC1",7683.85378279555,-0.680195597568253,0.0687815908759295,-9.88921001834942,4.63672315099314e-23,1.92873147187038e-22
"TPM1",8822.53655812429,-2.52672450315782,0.0856018889336055,-29.5171582617481,1.7341706190909e-191,4.25009434266086e-190
"CTDSP2",8460.259719312,-1.94130678598194,0.0638964863126704,-30.3820585138652,9.48119229529299e-203,2.47736261451163e-201
"SEMA3C",8392.70792054524,-1.8331398465189,0.0625660730219011,-29.2992632904612,1.05978658708815e-188,2.56037203344313e-187
"DDOST",7699.66129157057,-1.02575352727545,0.0648033036521125,-15.8287227574394,1.97183271430584e-56,1.515366824424e-55
"MASP1",9414.08500529071,-17.0262766286105,1.44408816057846,-11.7903304613967,4.37819727132055e-32,2.25262958061521e-31
"ARPC2",7584.98528795776,-0.900269839451576,0.065321954809242,-13.7820406949028,3.268990782799e-43,2.07088920011407e-42
"DPYSL2",7474.43234462928,-0.828309205913344,0.0679700217840316,-12.1863901786764,3.67335482834223e-34,1.98372840714036e-33
"ARCN1",7778.78641874254,-1.37428978477023,0.0660327210959242,-20.8122543181862,3.35206044630999e-96,4.08110355699849e-95
"TNFRSF11B",9251.57207030964,-17.0011568180826,1.44416734829247,-11.7722899899268,5.42320743682597e-32,2.78607849688604e-31
"MPRIP",7224.77317362265,-0.589319912449832,0.0649280419648841,-9.07650831005441,1.12113760339327e-19,4.21083614684462e-19
"LAMA2",9076.2501367561,-14.530824971606,1.02208979485835,-14.2167792347636,7.2095478470654e-46,4.77562248964738e-45
"ATN1",7242.67896518855,-1.00605888082991,0.0644463126242385,-15.6108059540326,6.1455727638841e-55,4.61026536315404e-54
"CLSTN1",7234.82642317253,-1.01612199252453,0.0638828239727615,-15.9060280891432,5.7550732650427e-57,4.44291656061296e-56
"RPN1",7526.57802730449,-1.54838880339762,0.0636848684471151,-24.3132920135248,1.41832799498695e-130,2.32070160567036e-129
"CORO1C",7213.01499290113,-1.11839813128389,0.0651981171025823,-17.1538409540909,5.88321225129683e-66,5.06953205865172e-65
"EIF5",6920.79873784835,-0.671950924094499,0.0658028916339245,-10.2115713672996,1.75991280974268e-24,7.61537813010693e-24
"GLUL",6878.47188068374,-0.723768514051986,0.0680398241182759,-10.6374248233481,1.9956882708872e-26,9.04584189825147e-26
"MAGED2",7104.18663202371,-1.2581911606752,0.0642169321900338,-19.5928257200438,1.78029663881195e-85,1.93699923853826e-84
"SLC7A5",7664.97664388812,-2.36037385664652,0.0677044247212034,-34.8629187289631,2.71297927803196e-266,9.40351837920302e-265
"ARHGEF12",6697.73396444424,-0.777345583545291,0.065685378259869,-11.8343778195187,2.59258842034566e-32,1.34368391001375e-31
"MPZL1",6909.54094531944,-1.21298799407807,0.069130094373107,-17.5464536115251,6.33119472863183e-69,5.69539254613787e-68
"MYL12B",7141.40662401843,-1.6664370845818,0.064621964962718,-25.7874715747688,1.22556281193071e-146,2.27984214653135e-145
"ERGIC1",6925.60657005888,-1.32324482767578,0.0682884841890083,-19.3772763210457,1.20034106444045e-83,1.28217563763878e-82
"BRD2",6624.01198905092,-0.868270806675088,0.0698791219797837,-12.4253250767272,1.90450676206015e-35,1.04985857990359e-34
"ASAP1",6771.23936822232,-1.1720378184871,0.0688038144307281,-17.0344889768738,4.55704905038484e-65,3.8814905251623e-64
"MBTPS1",6872.79031265058,-1.37297164246535,0.065548645377258,-20.9458431148861,2.04742743106813e-97,2.51981938327979e-96
"COPB2",6851.02843910618,-1.4538162640883,0.0657477739830497,-22.1120225981051,2.42170212600119e-108,3.27469656910862e-107
"FDFT1",6821.88435974375,-1.46299965948719,0.0656731375584722,-22.2769874240378,6.17757213335041e-110,8.46128105748576e-109
"SDC1",6626.39506173185,-1.11224105042208,0.0660872825447779,-16.8298802370709,1.47399932309856e-63,1.23322189672443e-62
"HSPB1",6731.66394756257,-1.48619393425414,0.0660147661358672,-22.5130530826293,3.09225579064595e-112,4.32966795946668e-111
"FTH1",6778.94492613824,-1.63130962131823,0.068772340919569,-23.7204317826856,2.21934470736571e-124,3.45177202471605e-123
"HLA-B",7818.99683936327,-10.6144026954327,0.290336687940126,-36.5589439307154,1.2855575042483e-292,4.92864755127612e-291
"EIF4G3",6179.0012240734,-0.78122008210239,0.0670257386252959,-11.6555236559162,2.15054279508193e-31,1.09127035648854e-30
"DSTN",6664.2739195619,-1.71907096395113,0.0736113525450563,-23.3533402731449,1.27456324226624e-120,1.91060742335833e-119
"TMED2",6449.87564493988,-1.30801188495519,0.069339151664991,-18.8639730014983,2.25612260449841e-79,2.29999917855948e-78
"MEGF8",6124.23624248881,-0.717867002667297,0.0699275851476787,-10.2658629087684,1.00419135874137e-24,4.36528948985499e-24
"ACTR3",6259.27080048281,-0.9754778421522,0.0669452154856378,-14.5712854171255,4.27765647503026e-48,2.92950474080298e-47
"SUPT6H",6113.27730614951,-0.719633679830589,0.066263830156881,-10.8601280385822,1.78498758093491e-27,8.30126754507079e-27
"DAG1",6629.15550196252,-1.78388129642165,0.0664896490986653,-26.8294587293506,1.46497847719102e-158,2.94800882187348e-157
"MAP7D1",6026.8566938026,-0.652037693943626,0.0666275940697716,-9.78630105209592,1.2892633095694e-22,5.28143947171412e-22
"ARF4",6043.16426788409,-0.693400459363834,0.0807618059460007,-8.58574732500978,9.02478257854567e-18,3.19260377658862e-17
"FLNB",6200.93550480453,-1.07019254153612,0.0660032978203913,-16.2142283321712,4.00070894071256e-59,3.17069718381064e-58
"SDF4",6686.18625355053,-2.05635202777287,0.0658255232759872,-31.2394330562506,3.10690313096219e-214,8.72192442582839e-213
"PHGDH",6034.21171017096,-0.786168707731993,0.0663926287826997,-11.8412046961582,2.38995102919139e-32,1.24017501618657e-31
"OGT",6805.59454134527,-2.40198713673035,0.0733108037138843,-32.7644360046136,1.89136563432914e-235,5.9158294536733e-234
"STAT1",6846.81328669442,-2.59029474509287,0.0915437337526722,-28.295707842671,3.90277803010796e-176,8.83797094178047e-175
"ADH5",6055.51563664828,-0.885728888341931,0.0730421619449065,-12.1262687844592,7.6663587455771e-34,4.10225069108007e-33
"SERINC1",6147.06161464787,-1.14173106674749,0.0662211734203468,-17.241178429446,1.30352365989169e-66,1.13185305928428e-65
"ITM2B",6460.99041200007,-1.81142133387151,0.0870671727640606,-20.8048714155471,3.91007278941736e-96,4.74347687539031e-95
"ABL1",5955.17343504331,-0.804914114537312,0.0665877207771441,-12.0880262177947,1.22186948111717e-33,6.50132558499185e-33
"AARS1",6175.29422261179,-1.24539750128427,0.069677559268133,-17.8737245443936,1.88947292525583e-71,1.75743746782831e-70
"DDX24",5944.37420486171,-0.809250780300961,0.0677662275157257,-11.9418006574612,7.16549339058906e-33,3.75961506783332e-32
"ELOVL5",5934.23440762607,-0.807795880770587,0.0682815599480987,-11.8303665203988,2.71951697804415e-32,1.40903832687925e-31
"SARS1",6258.92701470757,-1.61030090339,0.0662550498304493,-24.304576141907,1.75366801119755e-130,2.86387475982492e-129
"PKD1",5883.32868642856,-0.942983776133808,0.0681747853620521,-13.831855445176,1.63741795391311e-43,1.04117957803296e-42
"SLC39A7",6212.20349423598,-1.72718113180887,0.0675994804577904,-25.5502131098084,5.46080051658759e-144,9.8561355976327e-143
"CDC42",5686.72184241234,-0.694759709790056,0.0814495842700382,-8.52993561620459,1.4642918835912e-17,5.14471107797122e-17
"RNF150",5753.16071739532,-0.825396635818588,0.0670049013566667,-12.3184516222926,7.20646550378682e-35,3.93425297705932e-34
"SEC16A",5870.23372103442,-1.06404827118559,0.0679025845913708,-15.6702175269012,2.41750595044159e-55,1.82646446006672e-54
"LMAN1",6007.62906249005,-1.34854365298682,0.0680854591011951,-19.8066322940187,2.60966136582449e-87,2.8818263093084e-86
"TBX3",5844.64315206933,-1.04999929635376,0.0668816374947768,-15.6993658601101,1.52761439954817e-55,1.15774221159867e-54
"AFF4",5819.38230017471,-1.00524410715279,0.0725029558001555,-13.8648706947012,1.03412287488107e-43,6.60283567931582e-43
"TNRC18",6169.90207383393,-1.75038974083119,0.0666811994827268,-26.2501237891591,7.12440774340389e-152,1.37657498423176e-150
"ACACA",5663.61451316166,-0.727092523848108,0.0673452598483068,-10.7964914752109,3.57608470603718e-27,1.65268633053974e-26
"PLOD3",5740.60009864113,-0.884974913793333,0.0680547311965568,-13.0038705352804,1.16304553640059e-38,6.79269786458996e-38
"TPD52L2",5815.48389763925,-1.07505133652345,0.0696937683732193,-15.4253581291,1.10540263136189e-53,8.17333839401405e-53
"COPG1",6145.68170464022,-1.77164396655588,0.0672861183160823,-26.3300070043189,8.6967286364782e-153,1.68999129475911e-151
"JAK1",6132.20486209571,-1.80298565697114,0.0686731899063256,-26.2545785251934,6.33702936450611e-152,1.2258326506466e-150
"ST13",5723.36803765275,-1.00726106185093,0.0673300860276659,-14.9600441834731,1.33937088431495e-50,9.53789312335646e-50
"ERGIC3",5698.14138358434,-0.964683220261025,0.0673655195346394,-14.3201333104094,1.63808689619291e-46,1.09403334034371e-45
"SETD5",5445.44412910178,-0.638705625685228,0.0687910723993181,-9.28471680129759,1.62137774842354e-20,6.25567462045104e-20
"EIF3D",5401.43192159162,-0.649730976012561,0.074278430934786,-8.74723614696443,2.18641835913949e-18,7.9008785982181e-18
"CDV3",5637.03482167431,-1.16819629060352,0.0831564970517354,-14.0481661929162,7.90546900078085e-45,5.15418370477013e-44
"ATP8B2",5707.9152228628,-1.43711783322225,0.0678145733203032,-21.19187311604,1.13491478573182e-99,1.42569472787495e-98
"CAPZB",6005.49319137357,-2.2457363981707,0.0683000409428832,-32.8804546405576,4.18256950114684e-237,1.3179361856675e-235
