"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",395505.532882888,-6.90077408389576,0.0536860923163719,-128.539325291726,0,0
"FN1",392975.830211097,-6.47876152321351,0.0507396316306147,-127.686412277862,0,0
"COL1A2",317275.852031021,-13.7513948367833,0.141838982235073,-96.950743865271,0,0
"COL6A3",151246.350692609,-8.68065204381128,0.0610913659120979,-142.092944137172,0,0
"MT-RNR2",107119.139323822,0.290744186804038,0.0770521956697136,3.77334071115016,0.00016107607569689,0.000300133414112559
"IGFBP5",128650.059098414,-7.38351411187051,0.0568851078345775,-129.796960802849,0,0
"COL6A1",108214.096251115,-6.46782243356549,0.0542253481833401,-119.27673404138,0,0
"COL6A2",103991.65979828,-6.20332157095904,0.0545981215184845,-113.617857142922,0,0
"FLNA",93151.2989995689,-2.90694719121004,0.054298356469385,-53.5365594877455,0,0
"AHNAK",96948.7872833974,-5.68459907886664,0.0527103153505974,-107.846045713369,0,0
"RGS5",51095.7963344996,10.125893091244,0.13348190009167,75.8596714932135,0,0
"SPARC",77286.1598673375,-5.29756990064055,0.0536593944606259,-98.7258606603881,0,0
"COL3A1",73269.7473923512,-3.90644779575993,0.0524215252982197,-74.5199185551473,0,0
"LRP1",71644.908488193,-5.13215781350583,0.0534824256126693,-95.9597055427884,0,0
"FBLN1",65282.5374050091,-4.51212424664717,0.0585067937902243,-77.1213726533257,0,0
"THBS1",61980.8780451253,-12.0927573611667,0.177199531840911,-68.2437319982514,0,0
"RPL4",43667.4423557353,-0.124374984642005,0.0517935354469377,-2.40136116541854,0.0163342060198832,0.0249545880221009
"RPL13A",43891.2413989379,-0.356824511495114,0.0535330021469893,-6.66550533660256,2.63756225240473e-11,7.24625643721157e-11
"RPL3",43552.5670039794,-0.469837906311302,0.0535466641908962,-8.77436369586553,1.71872912388587e-18,6.24003750322309e-18
"RPS2",38289.9327271352,0.300675946377796,0.0521938433890597,5.76075504033145,8.37384949750789e-09,2.03638974607208e-08
"RPLP0",38390.8294868621,0.0972833937573443,0.0521378129923465,1.86588942216707,0.0620568378288249,0.087112433563498
"FTL",49762.7458654814,-3.81308356034245,0.0555997601424062,-68.5809354316655,0,0
"GAPDH",38260.6858035832,-0.292185555358398,0.0555763452285592,-5.25737261341632,1.46128046876196e-07,3.34164366250883e-07
"SCD",43454.9124250561,-2.26492354433162,0.0520639234208473,-43.5027442327695,0,0
"MT-ND2",36235.8425679646,-0.223868528954432,0.0736743823311217,-3.03862104942093,0.0023766360227403,0.00399098143268946
"HNRNPA2B1",30500.2366494648,2.11648441134774,0.0546690332943923,38.7145022292691,0,0
"PTMA",29251.4182407802,2.38814605385691,0.0608695423273678,39.2338427815509,0,0
"LAMC1",43881.2789505755,-3.90861299354358,0.0534776259579377,-73.0887529790096,0,0
"ANXA2",39053.2090049237,-3.56958754239098,0.0535235485705797,-66.6919073514696,0,0
"FBN1",39782.560969271,-4.317901506191,0.0544750182234028,-79.2638836481563,0,0
"MYH9",34995.2629037016,-2.76659814262416,0.06490109304222,-42.6279129201169,0,0
"SEPTIN11",35387.3577602012,-3.12845558374456,0.0543784381042959,-57.5311776653883,0,0
"COL5A2",36791.926713641,-4.47363145674802,0.0547161736664401,-81.7606780039134,0,0
"DDX5",28231.7992614823,-0.0679165956270869,0.0531687370455114,-1.2773783881485,0.201468690969723,0.254726736204108
"COL5A1",36528.1534310567,-4.97064367909762,0.056971054492795,-87.2485812901049,0,0
"RPS6",26313.2646065532,0.463301836874006,0.0546312927431197,8.48052121066373,2.24187359433092e-17,7.82008238367558e-17
"RACK1",27342.4332031092,-0.120073527327623,0.0550776689317045,-2.18007642038214,0.0292517973002902,0.0431523082904654
"PSAP",31745.4430402611,-2.21318697858611,0.053145226828657,-41.6441345846832,0,0
"MMP2",31830.0859914298,-2.43749995667228,0.053123291258595,-45.8838279580034,0,0
"MRC2",33731.4900818223,-3.91714215538351,0.0543456038619951,-72.07836286686,0,0
"RPL7A",26260.6424600972,-0.134232392823082,0.0568240584166755,-2.36224579101324,0.0181645944521082,0.0276118743555541
"FAT1",32673.8381473774,-5.1159586454391,0.057662864172671,-88.7218961257181,0,0
"ITGB1",29135.1446734035,-2.27007724970971,0.0536538931733264,-42.3096464291291,0,0
"RPL10",23675.1103665989,-0.10649657494607,0.0539394044907723,-1.97437431783824,0.04833919606737,0.0689157144303041
"RPL13",22823.644780765,-0.0378626334162114,0.0547029653490644,-0.692149560350278,0.488843410724906,0.551845562495966
"FASN",23872.2523471771,-0.557958584363067,0.0539771554443126,-10.3369393916785,4.7961087730977e-25,2.09832847507191e-24
"RPSA",21295.4440728198,0.503768788090995,0.0558210658833985,9.02470743112089,1.80176169723445e-19,6.71813845572555e-19
"PLEC",27462.1661555885,-3.00127816479225,0.0594983212590544,-50.4430730360399,0,0
"RPS11",20927.3957561521,0.483629358924286,0.0549030139748517,8.80879434316324,1.26499022807298e-18,4.60845002865541e-18
"LUM",29169.8557315905,-7.73678911385631,0.0846993063173936,-91.3441850971512,0,0
"LDHA",22658.9681793498,-0.534931652063397,0.0561222327859423,-9.53154615397605,1.54957875687955e-21,6.16492049820621e-21
"CALU",26061.783406643,-2.53300521903854,0.0587425201229188,-43.1204724233524,0,0
"RPS8",20243.2116304539,0.482812918695133,0.0717000283186016,6.73378979084551,1.65299945035743e-11,4.5888431946503e-11
"CAVIN1",27790.3737245046,-5.12954254234858,0.0615847819175331,-83.2923716319633,0,0
"APLP2",25384.9027415057,-2.36382682540114,0.054393216556681,-43.4581180345878,0,0
