"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSP90AB1",40373.5265356351,1.41506301519934,0.053356444936828,26.5209388832918,5.55916067944469e-155,1.100428729367e-153
"HSP90AA1",39607.6214105811,1.71021433633329,0.0846715236342004,20.1982232388044,1.01483399078528e-90,1.16853833894896e-89
"GNAS",36836.3018432907,0.678557337113258,0.0536549878499942,12.6466776772056,1.16706465274921e-36,6.59395411253912e-36
"HSPA8",36435.0000126097,0.619925940989813,0.0541677440137102,11.4445589765176,2.50374492446547e-30,1.24447186997722e-29
"ENO1",27937.0382657287,0.795897975954556,0.0535850414955713,14.8529879559828,6.65357315149569e-50,4.68314489867396e-49
"TUBB",26885.0285146103,1.11838999503249,0.0617141394415201,18.1221030569869,2.13284409622038e-73,2.03164465116135e-72
"RPL8",27413.0018692187,0.819458942345146,0.0534447724856466,15.3328174905268,4.61525780485891e-53,3.38014396540421e-52
"MT-RNR1",25414.2560642708,1.66890922224018,0.200061596549844,8.34197692621321,7.30587115672449e-17,2.50318571163625e-16
"YBX1",24464.961148149,1.33372474294234,0.0571722342934343,23.3281899758727,2.29493461554421e-120,3.42505883219709e-119
"RPS3",24633.1213419386,1.13287808346171,0.05579129816998,20.3056412132615,1.14638103616453e-91,1.33174661547322e-90
"RPL6",23689.7977410494,0.774096739608291,0.0560004298433523,13.8230499618242,1.85059702931612e-43,1.17541286259929e-42
"RPS18",22079.5559879261,1.14247681491567,0.0633299376411202,18.0400748440634,9.4415967611625e-73,8.93348631707988e-72
"HNRNPU",20355.4194562416,1.42745467505719,0.0554247266763875,25.7548347219063,2.84553794882842e-146,5.27029624022922e-145
"PPIA",20632.8573931862,0.628735376276994,0.0599370116200705,10.4899353384922,9.60941321601095e-26,4.28925818819264e-25
"RPS14",19985.8799995463,0.755576886213062,0.0554334584080959,13.6303400132566,2.6434581564303e-42,1.64576588448725e-41
"NCL",18240.9230545565,1.05889417324871,0.0598105644643102,17.7041327520086,3.89636247936221e-70,3.5559280144808e-69
"NUCKS1",16757.6775981098,1.619807889211,0.056950268744135,28.4424977253125,6.03393889246738e-178,1.37557608254585e-176
"ILF3",15949.0939498732,1.39413580313086,0.0638473888280923,21.8354396118616,1.06909348615863e-105,1.41083789968284e-104
"FSCN1",16034.0162314807,1.01247243389149,0.0568023381602848,17.8244851652848,4.56271733047232e-71,4.2138766253802e-70
"NONO",16226.5979833253,0.841328451453687,0.0565622343296265,14.8743850278385,4.83406559206913e-50,3.41095845516004e-49
"YWHAE",15945.4898397517,0.818520670360295,0.057338996459893,14.2751132893096,3.12779110031011e-46,2.08323153128106e-45
"RPL27A",15898.1714309663,0.738257137836123,0.0651291212993533,11.3352847867065,8.77462086387485e-30,4.3046840194122e-29
"HNRNPK",15558.6592442243,0.852591379096027,0.0597300038485544,14.2740888023007,3.17409407893375e-46,2.11324240833441e-45
"RPL23",14710.6572252806,0.908459084190374,0.069424497220783,13.0855695115991,3.98164628731103e-39,2.34888088029491e-38
"HNRNPC",14638.7328625212,0.954029242896771,0.057304650697347,16.648373758274,3.10937436837405e-62,2.55489183708103e-61
"YWHAQ",13954.4163502501,1.48849338899608,0.0583686322925137,25.5015978708652,1.89242114713004e-143,3.39038826612411e-142
"RPL18A",14749.3570211557,0.606521828540193,0.0575443999390321,10.5400669601699,5.64586854404926e-26,2.53407588139885e-25
"SLC25A6",14258.870833344,0.825617506537034,0.0580279572457309,14.2279264293381,6.14777782894257e-46,4.07707374645688e-45
"RPS9",14087.0415817436,0.929902716364947,0.0574784209301383,16.1782926760495,7.17567611362477e-59,5.66845037738619e-58
"SFPQ",14189.0502650357,0.817415338286019,0.0643037847268903,12.7117764803072,5.08656125524996e-37,2.89317335429221e-36
"SNRNP200",13243.1635219709,1.13804420842289,0.0580443837554041,19.6064482865137,1.36218656110435e-85,1.4868493929175e-84
"RPS5",13085.9913901636,1.16182259712761,0.0585925609993935,19.8288413633198,1.67861986450795e-87,1.85730812891225e-86
"TPI1",13057.4720806966,1.12191978393865,0.0582011652478688,19.276586287587,8.44705119395688e-83,8.94418438143165e-82
"RPS7",12421.6127367589,1.80480484238594,0.0613128894926714,29.4359776112274,1.90335650550751e-190,4.65131034381864e-189
"RPL29",13121.9835709988,0.815098541018917,0.0582492769311495,13.9932817017173,1.71320466029077e-44,1.10888216274308e-43
"SET",12870.8699646114,1.05974616391726,0.0741239932995861,14.2969383696598,2.2864954391408e-46,1.5252882379563e-45
"RPLP1",13311.6175207519,0.601358658598289,0.0647942720587785,9.28104660320533,1.6782187314915e-20,6.46763488442289e-20
"HNRNPH1",12868.6610991937,0.955560524788865,0.0599866906666949,15.9295422729395,3.9523971006181e-57,3.05402694981337e-56
"RPS27",12273.7264869845,1.55450325527085,0.0697019206040071,22.3021581299366,3.52103963231025e-110,4.84221353159168e-109
"ATP5F1B",13032.7771607673,0.590240138726141,0.0583759376955576,10.1110176902744,4.93687536395139e-24,2.11523438903508e-23
"RPS20",12320.0767518818,1.32062319105888,0.0667396275126812,19.787691964687,3.80051710251336e-87,4.18599108100434e-86
"RPS16",12442.35719214,1.09702874555924,0.0607174616968908,18.0677636202209,5.7185185887284e-73,5.42891669709129e-72
"RPL37A",12313.5991932923,1.19688653471475,0.0694997636749924,17.2214475478198,1.83344658572384e-66,1.5887375924456e-65
"YWHAG",11851.4915453764,1.77389796026711,0.0596678928093172,29.729522474273,3.19055410097673e-194,7.92227644020304e-193
"KPNB1",12331.9222294616,1.09867145530904,0.0700739482885551,15.6787434152398,2.11394938721552e-55,1.5985448082132e-54
"H3-3B",11943.3635047003,1.56062630234942,0.0608215936145238,25.6590827303932,3.34803331068825e-145,6.10773337795158e-144
"PRKDC",12576.3837954519,0.688387496069465,0.0616786597899829,11.1608698764441,6.33684739605577e-29,3.05059569655928e-28
"SERBP1",11855.7075437333,1.36001412972017,0.0654295205725857,20.7859406246361,5.8016110506922e-96,7.02313343442312e-95
"RPL37",11856.4495312572,1.32482726819679,0.0634282770385985,20.8870133330373,7.0279348677206e-97,8.62445417582129e-96
"XRCC5",11992.0678519703,1.15228889704787,0.0588757730514388,19.5715289554013,2.70445113005622e-85,2.9406144681738e-84
"CHGA",10458.0591969744,16.4206653615244,1.44399888479518,11.3716606947751,5.78758218536339e-30,2.85330321730658e-29
"HSPD1",11146.8293166766,2.35758234489274,0.0667068403304581,35.3424376452781,1.31010364179527e-273,4.67453786811991e-272
"HDGF",11809.8139488283,0.717511169165031,0.0587041066728744,12.2225038388426,2.35711288562261e-34,1.27616210549616e-33
"NAP1L1",11140.5257750118,1.47656955434255,0.200426520795082,7.36713658694006,1.74331850092176e-13,5.25160010990691e-13
"HNRNPA3",10672.9378068162,2.0183833759722,0.0666774216465882,30.2708672010487,2.77274460575321e-201,7.17870341221228e-200
"MT-ND3",10919.5717256481,1.59032560237275,0.0614946513616637,25.8612020258428,1.82047724535158e-147,3.41269156016018e-146
"RPS15",11292.3832899957,0.862675224564974,0.0688207128225667,12.5351102768889,4.7969373221477e-36,2.68438825302657e-35
"FUS",10705.5544493277,1.51116479460656,0.0602810200381928,25.0686666159451,1.09277992540617e-138,1.89772742874216e-137
"RPS25",10194.4452211808,2.12747780909434,0.0744281117785272,28.5843313535213,1.05217762430128e-179,2.41815761449702e-178
"HNRNPD",9991.24319560799,1.94174350411357,0.0651670301848301,29.7964092978658,4.34830960345968e-195,1.08925796910264e-193
"TCF4",10263.0668852943,1.0209098042271,0.0611712283941568,16.6893788309901,1.56591524003685e-62,1.29355566326779e-61
"BTF3",10198.3900885568,0.638708082352508,0.0651882751185278,9.79789818324208,1.14952623038448e-22,4.71811345984777e-22
"DHX9",9736.12608494832,1.12925031987055,0.0677173966519986,16.6759263601611,1.961469720946e-62,1.61873672208683e-61
"MAP1B",9964.02374761431,0.771138402295914,0.0608983894641176,12.6627060104813,9.51616547099959e-37,5.39101248697322e-36
"VGF",8459.93694171461,12.3499136906875,0.648364571378521,19.0477923006029,6.85320721837314e-81,7.11025481959984e-80
"RAN",9712.95201521807,1.1072554129783,0.0634860176680943,17.4409335102265,4.03430200911171e-68,3.58360801897246e-67
"DCAF7",9184.21125598026,1.99627525685048,0.062676430003789,31.8504939852158,1.29573683101914e-222,3.76184518598788e-221
"TRIM28",9636.77887914075,1.06539903204686,0.0703027837466477,15.1544359308199,7.0820831459032e-52,5.12711424339386e-51
"HNRNPA0",9275.46591710906,1.6318765328768,0.0622221121568833,26.2266335280017,1.32072463832624e-151,2.53746462187024e-150
"RPL9",9443.66274207622,1.26761972705971,0.069624687244307,18.2064692457682,4.5858384349787e-74,4.39288663167954e-73
"CCT3",9388.67839955256,1.29219650133265,0.065110797781747,19.8461168555195,1.19053555298333e-87,1.31984698641442e-86
"TOMM20",8999.6602085396,1.80494128908004,0.0799792725728272,22.5676132204941,9.01843793893434e-113,1.27005928652455e-111
"RPL31",9162.77410263103,1.39746503337352,0.0795692803263672,17.5628713448403,4.74149236243829e-69,4.27212234926535e-68
"RPL35",9097.80101777255,1.42909867029509,0.0689384247049502,20.7300743585525,1.85503188982317e-95,2.23604411758387e-94
