"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837827,0.154543285446828,-25.127068168318,2.51742333508006e-139,4.3852223510769e-138
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630827,-14.4434393582949,2.75732235407765e-47,1.85834773260535e-46
"ABCA8",72.9338912014894,90.3065015692768,0,0,40.8100981926916,-9.17661352155165,1.54012890352939,-5.95834121450636,2.5481106041585e-09,6.36802685418305e-09
"AKR1C1",881.718648989435,866.942415065057,37.4857435100762,29.209182894531,453.838997614775,-4.71224878874251,0.227606978282397,-20.7034460204288,3.22468159069328e-95,3.87600793604633e-94
"APOC1",62.5147638869909,42.5730650255162,8.41516691042528,6.14930166200652,29.9130743712347,-2.85069780144691,0.69788146990786,-4.08478792512328,4.41170913030408e-05,8.58287146266719e-05
"CAV1",45186.4527720656,48715.1972251066,794.085750274676,793.259914398841,23872.2489154614,-5.88646565339655,0.0678401923282108,-86.7695896986529,0,0
"CAV3",252.663837376588,188.35356041592,14.5352882998255,12.298603324013,116.962822354087,-4.0384397112588,0.405186772384294,-9.96685969656631,2.12852467869376e-23,8.95266546382735e-23
"CD36",317.783383092204,419.280185857357,3.0600606947001,2.30598812325244,185.607404441878,-7.1014413065856,0.607142966934684,-11.6964894486698,1.32835925802396e-31,6.77299718951634e-31
"CES1",32.5597728578078,50.3136223028828,0,0,20.7183487901726,-8.1986719296513,1.63271351936186,-5.02150060768512,5.12693416518292e-07,1.13943797253947e-06
"CETP",19.5358637146847,30.9622291094663,0,0,12.6245232060377,-7.48399973418135,1.74228981097572,-4.29549647081397,1.74302810344856e-05,3.49428580134211e-05
"CFTR",20.838254628997,19.3513931934165,0,0,10.0474119556034,-7.15440228309275,1.80433864103462,-3.96511060639391,7.33619215982724e-05,0.000140281341637588
"CLU",6101.70143355318,6187.28545037502,540.865727788243,542.675871672075,3343.13212084713,-3.50354499085737,0.084846418257195,-41.2927859869944,0,0
"EHD1",6642.19366299279,7065.83870135613,1151.34783638091,1139.15813288671,3999.63458340413,-2.58129398575024,0.0788833389850612,-32.722930075755,7.37150102576269e-235,2.2929958502116e-233
"FABP3",4537.52994546409,4245.69566663557,77.2665325411776,76.8662707750814,2234.33960385398,-5.83248171631819,0.135756735495096,-42.9627428432739,0,0
"GRAMD1B",1075.77489522197,1128.83126961596,262.400204570534,265.188634174031,683.048750895623,-2.06306015282002,0.146300916457298,-14.101484821677,3.71862317719041e-45,2.43755677504446e-44
"INSIG1",10475.1301238139,9956.93684445255,1440.52357203007,1443.54856515603,5829.03477636314,-2.82464689951796,0.0714772536069469,-39.5181229968723,0,0
"LCAT",565.237656811543,446.37213632814,117.047321572279,113.762080747121,310.60479886477,-2.13177014870612,0.221344371556113,-9.63101132285036,5.91444803930252e-22,2.37810098246956e-21
"LDLR",10822.8684979353,11581.16377982,852.991918647653,841.685664987142,6024.67746534752,-3.72468044814514,0.0755209334691089,-49.3198412287725,0,0
"LDLRAP1",1177.36138653833,1172.69442752104,221.089385192082,221.374859832235,698.130014770921,-2.40906111447223,0.146426190200918,-16.4523922337026,8.06200637484573e-61,6.49549887430644e-60
"LIMA1",11471.4591732628,12430.0448945712,1653.9628054854,1648.01284541775,6800.86992968429,-2.85571178057013,0.0719679754843136,-39.680312824592,0,0
"LIPC",87.2601912589248,96.7569659670823,0,0,46.0042893065018,-9.34941579628863,1.52846420209861,-6.11686932768965,9.543155617082e-10,2.43401344046435e-09
"MYLIP",1433.93239665785,1339.11640898442,384.037617184863,384.331353875407,885.354444175636,-1.85157352666497,0.130693278853743,-14.1673201782399,1.45965155090001e-45,9.6237274613687e-45
"NPC1",3388.82115904063,3318.11888623114,649.497882450097,652.594638880441,2002.25814165058,-2.36481765490274,0.095233151459386,-24.831874391044,4.05944029842884e-136,6.93617042540396e-135
"NPC2",3783.44560607726,3269.09535680782,377.152480621788,385.100016583158,1953.69836502251,-3.20977639062048,0.110233305846183,-29.1180271332817,2.12283067566874e-186,5.07090804438227e-185
"NR1D1",470.163120066744,522.487616222244,93.3318511883531,95.314175761101,295.324190809611,-2.39566148268671,0.219871048469672,-10.8957568509396,1.2075833295593e-27,5.64070276931658e-27
"NR1H3",544.399402182546,584.412074441177,84.9166842779278,83.015572437088,324.185933334685,-2.74886906893045,0.213707124977323,-12.862786251147,7.29007179256491e-38,4.20565826511285e-37
"OSBPL5",2305.23191833279,2242.18142467719,167.538323034831,166.799807581927,1220.43786840668,-3.76565335618933,0.127541928444994,-29.5248268714502,1.38248848392616e-191,3.39309023280374e-190
"PCSK9",1613.66234283295,1665.50990751338,3.0600606947001,3.07465083100326,821.326740468008,-9.06213593930153,0.526191227052184,-17.2221342230831,1.81182058874697e-66,1.57079943232662e-65
"PIP4K2A",2908.23891165939,2830.46377775705,729.824475685974,734.072885902028,1800.65001275111,-1.97090252982417,0.0977438015591873,-20.163964347455,2.02951384890805e-90,2.32900427093611e-89
"SOAT2",14.3263000574354,6.45046439780549,0.765015173675025,0.768662707750814,5.57761058416669,-3.75956533998842,1.72206551285221,-2.18317207558588,0.0290231403540486,0.0428261525432807
"SREBF2",15020.4744147639,14658.0352975732,3737.86413857617,3706.49157677443,9280.71635692192,-1.99519408924479,0.0621022012880773,-32.12759045351,1.81615899234655e-226,5.4020392865173e-225
"TSKU",2676.4133289118,2981.4046446657,716.054202559824,714.856318208257,1772.18212358639,-1.98334654197201,0.103561790187165,-19.1513350472945,9.43370259151512e-82,9.85375183359735e-81
"TTC39B",500.118111095927,505.71640878795,113.987260877579,113.762080747121,308.395965377144,-2.14287804835345,0.210369922968262,-10.1862377383517,2.28434167183218e-24,9.84951991733887e-24
"XBP1",5821.68738697603,5802.83777226581,1686.09344277976,1670.30406394252,3745.23066649103,-1.79218276208124,0.0759490518995817,-23.5971709620658,4.12069422221834e-123,6.3278364077899e-122
