"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.06601252558887,7.06217317027907,1.63918524467227e-12,4.7427465409734e-12
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404885,0.671486527237479,2.55754114846372,0.0105415085506897,0.0165011042603607
"APOB",0,0,6.88513656307523,6.91796436975733,3.45077523320814,4.85526217972449,2.33319293371614,2.08095186195827,0.0374383124265037,0.0543324188884678
"CD24",0,3.87027863868329,10160.9315367517,10220.9080249626,5096.42746008824,12.3557469783948,0.835884010716399,14.7816525020083,1.92387358751348e-49,1.34631516317795e-48
"DGAT2",2.60478182862462,9.03065015692768,71.1464111517774,69.9483064053241,38.1825373856634,3.59775584316686,0.732048104216151,4.91464402741566,8.89439183832756e-07,1.9481861101645e-06
"DISP3",2.60478182862462,6.45046439780549,348.846919195812,358.19682181188,179.02474680853,6.28427035193581,0.601976689390212,10.4393915290999,1.63857596005841e-25,7.25484205047757e-25
"FGFR4",45.5836820009309,36.1226006277107,306.00606947001,303.621769561572,172.833530415056,2.89981805505413,0.313366917173742,9.25374663416166,2.16758465769715e-20,8.31584771319819e-20
"HDAC9",1396.1630601428,1337.82631610486,8401.39663729913,8382.26682802263,4879.41321039235,2.61802199061917,0.0755196785195112,34.6667523212878,2.49831973066134e-263,8.57201258698025e-262
"LPL",0,1.2900928795611,11.4752276051254,11.5299406162622,6.07381527523717,4.1504222196759,1.96285635320319,2.11448087523207,0.0344742165240225,0.0503145220799173
"SLC37A4",208.38254628997,236.086996959681,647.967852102747,641.83336097193,433.567689081082,1.53685868722237,0.183030543234878,8.39673346349719,4.59070484914627e-17,1.58569312910108e-16
"STAR",6.51195457156155,6.45046439780549,30.600606947001,29.9778456022818,18.3852178796625,2.22448663789356,0.878454998929875,2.53227159114969,0.011332617595378,0.0176807989380764
"SYT7",53.3980274868048,67.084829737177,1039.65562102436,1033.08267921709,548.305289366359,4.10411845084252,0.212718032766781,19.2937025482094,6.06688336992068e-83,6.43195675123176e-82
