"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837827,0.154543285446828,-25.127068168318,2.51742333508006e-139,4.3852223510769e-138
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630827,-14.4434393582949,2.75732235407765e-47,1.85834773260535e-46
"ACAP1",53.3980274868048,55.4739938211272,17.5953489945256,17.6792422782687,36.0366531451816,-1.62595253101113,0.586151721541472,-2.77394481881785,0.00553810711047443,0.00894268978553885
"ACKR3",138.053436917105,170.292260102065,0,0,77.0864242547924,-10.0941610644074,1.49597062219741,-6.74756637237988,1.50345469537562e-11,4.18052955898159e-11
"ADPRH",154.984518803165,171.582352981626,47.4309407678516,48.4257505883013,105.605890785236,-1.76848669730604,0.348588142388284,-5.07328414899485,3.91007955334355e-07,8.75066426854484e-07
"ADRB2",67.7243275442402,61.9244582189327,6.1201213894002,6.14930166200652,35.4795522036449,-3.40143185502005,0.66074776756301,-5.14785220927089,2.63485953760878e-07,5.94848523019373e-07
"AMOTL2",14506.0300036105,14681.2569694053,945.558754662331,936.231178040492,7767.26922642966,-3.95515923017333,0.0687878705281765,-57.4979164175934,0,0
"ANKRD13A",2062.9872082707,2073.17925745468,279.995553565059,272.106598543788,1172.06715445856,-2.90527194578759,0.120784059476911,-24.0534384948616,7.68407402428503e-128,1.22887300591767e-126
"ANTXR1",20685.8748920224,22252.8120795494,3610.10660457244,3556.60234876302,12526.3489812268,-2.58290064923013,0.0640453917766877,-40.3292192861609,0,0
"ANTXR2",5531.25421308438,5884.11362367816,1732.75936837393,1728.72242973158,3719.21240871702,-1.72153190028437,0.0784920740569156,-21.9325571526631,1.27081263932949e-106,1.69415085293345e-105
"ANXA1",21058.3586935158,21818.0507791373,546.220834003968,539.601220841072,10990.5578818745,-5.30331914100082,0.0716985666823174,-73.9668780897506,0,0
"ANXA2",72700.7632278275,71376.9687474768,6078.81057002175,6056.29347436867,39053.2090049237,-3.56958754239099,0.053523548570719,-66.6919073512962,0,0
"ANXA6",14694.8766861858,14282.6182696209,2185.64835118955,2185.30807813557,8337.11284628295,-2.7289072454745,0.0645683673564074,-42.2638415249275,0,0
"AP1G2",40.3741183436816,14.1910216751721,2.29504552102508,0.768662707750814,14.4072120619074,-4.15331343385209,1.18005289601367,-3.5195993737928,0.000432199094249525,0.000775549807648094
"AP2A1",6324.41027990058,6240.17925843703,1905.65279762449,1902.44020168327,4093.17063441134,-1.72221871881757,0.0740120455243855,-23.2694381923296,9.043657598353e-120,1.34380997944381e-118
"AP5S1",514.444411153363,525.067801981367,154.533065082355,149.889228011409,335.983626557123,-1.77175739232995,0.199328411694357,-8.88863447648748,6.18644803008432e-19,2.27179747768545e-18
"APBB2",2139.82827221513,2037.05665682697,471.249346983816,469.652914435748,1279.44679761542,-2.15029052352189,0.112952644717277,-19.0370976164755,8.40585302022595e-81,8.70518339606814e-80
"APH1B",832.227794245567,828.239628678224,274.640447349334,272.106598543788,551.803617204228,-1.6026380163273,0.157581228673374,-10.1702342964285,2.69260201437987e-24,1.15921806368131e-23
"APP",62384.5247955597,61583.8736987285,16004.1174332815,16037.378734513,39002.4736655207,-1.9519583743271,0.0524113324142631,-37.2430595524395,1.3724042688645e-303,5.49738540150819e-302
"ARHGAP1",5703.16981377361,5560.30031090833,1419.86816234085,1409.72740601499,3523.26642325944,-1.99297419753021,0.0781200734643912,-25.5116784860507,1.46278247339388e-143,2.6289838654097e-142
"ARHGAP44",61.2123729726786,50.3136223028828,17.5953489945256,21.5225558170228,37.6609750217774,-1.51145572343797,0.57707522491729,-2.6191658525188,0.0088145080822778,0.0139222175457459
"ARRDC4",4080.39073454047,4328.26161092748,315.951266727785,318.995023716588,2260.89965897808,-3.72719096810545,0.100838050672902,-36.9621481497662,4.64749582124037e-299,1.81455331098727e-297
"ARSA",2658.17985611143,2813.69257032275,385.567647532213,382.794028459906,1560.05852560657,-2.83219202975466,0.108438930928782,-26.1178527443683,2.28593899531486e-150,4.3721157541022e-149
"ATG9A",1548.54279711734,1439.74365359018,462.83418007339,459.660299234987,977.695232503975,-1.69567333590816,0.125115556276323,-13.5528577450689,7.62045840774448e-42,4.71496778131629e-41
"ATP6AP1",5993.60298766525,6113.75015624004,1810.79091608879,1805.58870050666,3930.93319012519,-1.74327027395802,0.0750458255048446,-23.2294103267008,2.29749360307469e-119,3.39605146689474e-118
"ATP6V0A4",6.51195457156155,3.87027863868329,0,0,2.59555830256121,-5.20152279812939,2.59125931042745,-2.00733395426618,0.0447141160780834,0.0641676846193636
"ATP6V0E1",4054.34291625422,4481.78266359525,934.083527057206,932.387864501738,2600.6492428521,-2.19329488116563,0.0916801094209426,-23.9233449329262,1.75088177022793e-126,2.78697057034219e-125
"ATP8A2",19.5358637146847,29.6721362299052,2.29504552102508,2.30598812325244,13.4522583972169,-3.41904013094003,1.07452256932213,-3.18191560471079,0.00146304444402286,0.0025076543382061
"B2M",50603.0965846905,47945.0117760086,2959.84370694867,2967.80671462589,26118.9396955684,-4.05529339207445,0.0587784234157728,-68.9928915477894,0,0
"BACE2",2650.36551062555,2781.44024833373,2.29504552102508,1.53732541550163,1358.90953247395,-10.4683187527938,0.65395286983975,-16.007757188005,1.12803289935279e-57,8.78427820385503e-57
"BOK",1901.49073489597,2016.41517075399,156.063095429705,152.963878842412,1056.73321998052,-3.66428231900809,0.135293145978825,-27.0840203507545,1.51896155067719e-161,3.13463462657368e-160
"BST2",225.31362817603,256.728483032658,29.070576599651,30.7465083100326,135.464799029593,-3.01062384543771,0.332360119238204,-9.05831858629218,1.32476835430934e-19,4.9668577769514e-19
"CARMIL1",1841.58075283761,1604.875542174,137.702731261505,136.053299271894,930.053081386253,-3.65409809042957,0.147762584720167,-24.7295220055179,5.14971090476145e-135,8.71142330741718e-134
"CAV1",45186.4527720656,48715.1972251066,794.085750274676,793.259914398841,23872.2489154614,-5.88646565339655,0.0678401923282108,-86.7695896986529,0,0
"CD4",88.5625821732371,113.528173401377,21.4204248629007,21.5225558170228,61.2584340636343,-2.23462561519905,0.468811382485256,-4.76657713247679,1.87382014078303e-06,4.02541883013647e-06
"CD63",26938.6536716358,26175.9845262947,3851.08638428008,3842.54487604632,15202.0673645642,-2.78736939951672,0.0585452016779299,-47.6105525240251,0,0
"CD74",39.0717274293693,49.0235294233217,14.5352882998255,12.298603324013,28.7322871191324,-1.71504896519788,0.662202075820467,-2.58991783297106,0.0095998842647356,0.0150967068844694
"CFTR",20.838254628997,19.3513931934165,0,0,10.0474119556034,-7.15440228309275,1.80433864103462,-3.96511060639391,7.33619215982724e-05,0.000140281341637588
"CHMP2B",1179.96616836695,1266.871207729,408.518102742464,411.234548646686,816.647506871275,-1.57769109873799,0.134221169457526,-11.7544132949702,6.70246755888997e-32,3.43392787391213e-31
"CLIP1",5704.47220468792,5768.00526451766,1099.32680457101,1104.56831103792,3419.09314620363,-2.38005425332089,0.079414375101549,-29.9700683947643,2.41008679316914e-197,6.08215662632758e-196
"CRHBP",6.51195457156155,11.6108359160499,0,0,4.53069762190286,-6.00560720189629,2.17959858829546,-2.75537304627865,0.00586252507939179,0.00943336105621887
"CTNS",1621.47668831883,1572.62322018498,481.959559415266,478.108204221007,1038.54191803502,-1.73418531640121,0.120525149200103,-14.3885763918202,6.1039428569857e-47,4.08952132083018e-46
"CTSB",44950.7200165751,44904.2628588831,3947.47829616313,3936.32172639192,24434.6957245033,-3.51063470905197,0.0553588938328117,-63.4159114460337,0,0
"CTSK",22513.1293448026,22426.9746182901,194.313854113456,196.008990476458,11332.6067019207,-6.84720164362303,0.0876577863486096,-78.1128742675765,0,0
"CTSL",9575.17800202411,8838.42631787308,627.312442413521,629.534757647917,4917.61287998966,-3.87287821920323,0.0813903290682029,-47.5840098392755,0,0
"CTSS",179.729946175099,153.521052667771,44.3708800731515,45.3510997572981,105.74324466833,-1.89300880383215,0.35187885208286,-5.37971745851434,7.46028306194894e-08,1.72953108823561e-07
"CUBN",82.0506276016756,149.650774029087,36.7207283364012,36.8958099720391,76.3294849848008,-1.65441706009385,0.44158864300809,-3.74651179619115,0.000179310575314728,0.000332722693231218
"CYBA",2303.92952741848,2204.76873116992,705.343990128373,705.632365715248,1479.918653608,-1.67600000678113,0.104899228951511,-15.9772385701314,1.84123753744806e-57,1.42857827026121e-56
"DENND2B",2341.69886393353,2287.33467546183,465.89424076809,465.809600896994,1390.18434526511,-2.31275882197599,0.109215050511167,-21.17619147866,1.58327403441116e-99,1.98452591885159e-98
"DNAJC13",6372.59874373014,7060.67832983788,2000.51467916019,2009.28431806063,4360.76901769721,-1.74423328579384,0.0795784419019099,-21.9184146372685,1.73391257922151e-106,2.30970754866652e-105
"DTX3L",2286.99844553242,2955.60278707447,436.058648994764,448.130358618725,1531.6975600551,-2.5679224163221,0.130372626397061,-19.6967913225992,2.29725639017889e-86,2.52045235987069e-85
"DYSF",79.445845773051,51.6037151824439,1.53003034735005,1.53732541550163,33.5292291795866,-5.41681242923195,0.933468802617566,-5.80288533911634,6.51833682474557e-09,1.59589783236959e-08
"ECE1",21760.3473963301,22048.9774045787,2327.17615831943,2328.27934177722,12116.1950752514,-3.23424548164095,0.060664353663029,-53.3137713723309,0,0
"EEA1",2349.51320941941,2736.28699754909,554.636000914393,564.198427489098,1551.158658843,-2.18452987223731,0.113918926102461,-19.1761803501598,5.85250507612311e-82,6.1243959465727e-81
"EGFR",11616.0245647515,11803.0597551045,703.813959781023,704.863703007497,6206.94049566113,-4.05527496812173,0.0734132748493758,-55.2389874507309,0,0
"EHBP1L1",4627.39491855164,4225.05418056259,1337.24652358394,1329.78648440891,2879.87052677677,-1.73081339646447,0.0870186455533606,-19.8901440657694,4.95325582013427e-88,5.52008509508927e-87
"EHD1",6642.19366299279,7065.83870135613,1151.34783638091,1139.15813288671,3999.63458340413,-2.58129398575024,0.0788833389850612,-32.722930075755,7.37150102576269e-235,2.2929958502116e-233
"EHD2",20351.1604270442,21103.3393238604,323.601418464536,328.218976209598,10526.5800363947,-5.99092838945876,0.0788708478852811,-75.958716687979,0,0
"EHD3",9358.98111024827,9785.35449147092,1059.54601553991,1060.75453669612,5316.15903848881,-3.17458623864311,0.0737671274317857,-43.0352427858701,0,0
"EHD4",2255.74106358892,2101.56130080503,676.273413528722,672.579869281963,1426.53891180116,-1.69167278444558,0.107829209698731,-15.6884464717123,1.81441915837537e-55,1.37326626496646e-54
"EPHA3",9.11673640018618,5.16037151824439,0,0,3.56927697960764,-5.66109890082937,2.33762890945893,-2.42172693789097,0.0154469527651612,0.0236736190004961
"EPHA4",1527.70454248834,1528.7600622799,0,0,764.11615119206,-13.4033237518086,1.44881970738391,-9.25120198427631,2.21982139275617e-20,8.51432848567541e-20
"ERBB2",5304.63819399404,5401.61888672231,143.822852650905,143.739926349402,2748.45496492917,-5.21843724119629,0.110388397663245,-47.2734214071648,0,0
"FCGRT",3327.60878606795,3132.34551157434,566.111228519519,560.355113950344,1896.60516002804,-2.51969569477549,0.0994857943402398,-25.3271907962877,1.60316290232808e-141,2.84812957459624e-140
"FCHSD1",1512.07585151659,1350.72724490047,396.277859963663,396.62995719942,913.927728395036,-1.85215903661933,0.131845593794672,-14.0479403468254,7.93071673421036e-45,5.16866051472865e-44
"FKBP15",2621.71291051068,2728.54644027172,820.861281353302,817.857121046867,1747.24443829564,-1.70705451577075,0.0985078687939663,-17.329118340192,2.83643414949231e-67,2.48191641396071e-66
"FLT1",9935.94028528862,10583.9219839192,13.7702731261505,13.8359287395147,5136.86711776838,-9.53783042124955,0.251363439579306,-37.9443821950102,0,0
"FURIN",5437.4820672539,5516.43715300325,725.999399817599,720.236957162513,3100.03889430932,-2.92107194057225,0.0839507294916966,-34.7950751382234,2.88732718313406e-265,9.94692999560831e-264
"FYCO1",4773.26270095462,4505.00433542735,485.019620109966,482.720180467512,2561.50170923986,-3.26114578864123,0.0931481488254946,-35.0103123868915,1.56763797162926e-268,5.46709718894277e-267
"FZD7",7716.66616730044,8141.77616291008,1051.13084862948,1048.45593337211,4489.50727805303,-2.91708442113251,0.0768277133888792,-37.9691688384254,0,0
"GFRA1",854.368439788876,901.774922813207,150.70798921398,152.195216134661,514.761641987681,-2.53550968689472,0.169960949409479,-14.918189711838,2.50990767568762e-50,1.77840099974462e-49
"GPC1",18882.0634756999,18686.9953604425,1116.15713839186,1115.32958894643,9950.13639087017,-4.07346602753165,0.0654216043172943,-62.2648446188413,0,0
"GPNMB",19030.5360399315,21067.2167232327,216.499294150032,214.456895462477,10132.1772381942,-6.53983598131133,0.0921096632596815,-71.0005416356132,0,0
"GRIA1",2715.48505634117,2968.50371587008,6.88513656307523,7.68662707750815,1424.64013396296,-8.60778703456128,0.347960584842574,-24.7378220681393,4.19257482593205e-135,7.10645617201895e-134
"GRIN2B",1.30239091431231,14.1910216751721,0,0,3.87335314737109,-5.77977435040277,2.38202109012376,-2.42641611124546,0.015248775219232,0.0233888917478043
"GRN",25197.3570192003,28091.7724524429,1507.84490731348,1507.34756989935,14076.080487214,-4.14352746582858,0.0705395217818953,-58.7405097335387,0,0
"HAP1",36.4669456007447,14.1910216751721,5.35510621572518,5.3806389542557,15.3484281114744,-2.23797300733513,0.955413721181467,-2.34241246249598,0.0191595278994574,0.0290462752695157
"HFE",875.206694417873,740.51331286807,1.53003034735005,1.53732541550163,404.696840762199,-9.04091486285016,0.744342006347943,-12.1461838586925,6.0106236688567e-34,3.22643591630411e-33
"HLA-A",19142.5416585623,18361.8919547931,2017.34501298104,1980.84379787385,10375.6556060526,-3.22963150907065,0.0639860631251056,-50.4739837291766,0,0
"HLA-B",15813.6304815801,15442.4117683463,8.41516691042528,11.5299406162622,7818.99683936327,-10.6144026954327,0.290336687940154,-36.5589439307118,1.2855575044134e-292,4.92864755190906e-291
"HLA-C",18616.3757291802,17564.6145552243,748.94985502785,744.834163810539,9418.69357581072,-4.59817780907121,0.0713561507689631,-64.439824170998,0,0
"HLA-DPA1",160.194082460414,119.978637799182,3.0600606947001,3.07465083100326,71.5768579463249,-5.51307294733239,0.653083063195996,-8.44161065876221,3.12994410733243e-17,1.08642899486887e-16
"HLA-DPB1",182.334728003724,185.773374656798,3.82507586837513,3.84331353875407,93.9441230169127,-5.58507345441465,0.574069305209163,-9.72891844893139,2.26993532976811e-22,9.22752073738189e-22
"HLA-E",14710.5053771576,15184.3931924341,260.105159049509,257.502007096523,7603.12643393442,-5.85189205523144,0.0850283644110687,-68.8228227811195,0,0
"HLA-F",296.945128463207,221.895975284509,0,1.53732541550163,130.094607290804,-8.40190420577565,1.06773965310338,-7.86886970185622,3.57859644855921e-15,1.15351835419111e-14
"HLA-H",501.42050201024,455.402786485067,63.4962594150271,54.5750522503078,268.72365004016,-3.01845249705031,0.240927656422449,-12.5284599612661,5.21658047575252e-36,2.91633978934104e-35
"IFITM2",580.866347783291,615.374303550643,56.6111228519519,55.3437149580586,327.048872285986,-3.41752402190088,0.224123634995461,-15.248387444591,1.68749361251304e-52,1.22585079191281e-51
"IFNAR1",2593.06031039581,2536.32260121712,826.216387569027,816.319795631365,1692.97977370333,-1.64284761938172,0.0990005682314949,-16.5943251511468,7.6599921592232e-62,6.2757986894475e-61
"IGF2R",19444.6963506828,18387.6938123843,5580.02067678564,5558.20003974614,12242.6527198997,-1.76409525119369,0.061483116918011,-28.6923523013015,4.75277444830872e-181,1.09974279605007e-179
"IL15",283.921219320084,282.53034062388,29.070576599651,27.6718574790293,155.798498505661,-3.31941139211851,0.316456000792156,-10.4893299030808,9.67118329444077e-26,4.31456204551568e-25
"IL15RA",246.151882805027,338.004334445007,0.765015173675025,0.768662707750814,146.422473782865,-8.57331735377498,1.06348425495178,-8.0615367024533,7.53412656222059e-16,2.48900224728175e-15
"IL2RB",13.0239091431231,25.8018575912219,4.59009104205015,4.61197624650489,12.006958505725,-2.07730028362843,1.04340972134609,-1.99087687332309,0.0464944253010584,0.0664586197031792
"IRAK2",224.011237261717,236.086996959681,22.9504552102508,23.0598812325244,126.527142666043,-3.32193735204379,0.350584122065727,-9.47543583112128,2.6564940408371e-21,1.04998591551262e-20
"IRF7",520.956365724924,705.68080511992,123.932458135354,123.754695947881,368.58108123202,-2.30822481752715,0.214871527194668,-10.7423484519471,6.43854001932984e-27,2.95866243745395e-26
"ITGB1",48618.2528312786,47910.1792682605,9992.62819854318,10019.5183955319,29135.1446734035,-2.27007724970971,0.0536538931734523,-42.3096464290299,0,0
"ITM2B",9103.71249104305,11009.6526341744,2856.56665850254,2874.0298642803,6460.99041200007,-1.81142133387151,0.0870671727641456,-20.8048714155268,3.910072791074e-96,4.74347687740005e-95
"JAK1",9300.37351910421,9764.71300539794,2724.21903345677,2739.5138904239,6132.20486209571,-1.80298565697115,0.0686731899064057,-26.2545785251628,6.33702936960273e-152,1.22583265163249e-150
"JAK2",434.998565380312,451.532507846384,144.58786782458,149.889228011409,295.252042265671,-1.59004827139688,0.210859636934522,-7.54079014131392,4.6713233812602e-14,1.4427669814025e-13
"JAK3",209.684937204282,183.193188897676,29.070576599651,28.4405201867801,112.597305722097,-2.7720952610522,0.356946681717178,-7.76613259917803,8.09188402585096e-15,2.57171703396431e-14
"KIF13A",5289.00950302229,5387.42786504714,938.673618099256,942.380479702499,3139.3728664678,-2.50482376722636,0.08209048245354,-30.5129619459112,1.75403963183292e-204,4.6115493973762e-203
"LAMP1",17773.7288076201,17626.5390134433,3205.41357769836,3179.18895925737,10446.2175895048,-2.47108848203072,0.060880501186303,-40.5891612894059,0,0
"LAMP2",7461.39754809523,7744.42755600527,1103.15188043939,1108.41162457667,4354.34715227914,-2.78149597838808,0.0760108678357944,-36.5933985176557,3.64231733220478e-293,1.40274643016249e-291
"LAPTM4A",15467.194498373,16964.7213662284,4561.0204654505,4534.34131302206,10381.8194107685,-1.83422238478416,0.0672504003332,-27.2745199388597,8.50923666701129e-164,1.78420834015457e-162
"LDLR",10822.8684979353,11581.16377982,852.991918647653,841.685664987142,6024.67746534752,-3.72468044814514,0.0755209334691089,-49.3198412287725,0,0
"LDLRAP1",1177.36138653833,1172.69442752104,221.089385192082,221.374859832235,698.130014770921,-2.40906111447223,0.146426190200918,-16.4523922337026,8.06200637484573e-61,6.49549887430644e-60
"LGMN",3947.54686128061,3814.80464486216,649.497882450097,653.363301588192,2266.30317254527,-2.5748023380535,0.0923481806821589,-27.8814625153838,4.47738531488233e-171,9.82479485632578e-170
"LITAF",7118.86873763109,7430.93498627192,1548.39071151825,1531.94477654737,4407.53480299216,-2.2398474130671,0.0747135444723407,-29.9791346921883,1.83602390348105e-197,4.64033184177413e-196
"LPAR1",6414.27525298813,6796.20928952786,223.384430713107,225.218173370989,3414.77178665002,-4.88012191026268,0.0984115805404853,-49.5888988212628,0,0
"LRP1",137605.414442582,141029.08331498,3980.37394863116,3964.7622465787,71644.908488193,-5.13215781350583,0.053482425612813,-95.9597055425305,0,0
"LRPAP1",5574.23311325669,5579.65170410175,1481.83439140852,1477.36972429707,3528.27223326601,-1.91426450914503,0.0774675348541323,-24.7105385856088,8.2398054821575e-135,1.38834182846193e-133
"LRRK2",471.465510981057,572.801238525127,71.1464111517774,72.2542945285766,296.916863796634,-2.86445191866178,0.231093316995836,-12.3952174640922,2.77392197742818e-35,1.52466960726991e-34
"LY96",52.0956365724924,68.3749226167381,1.53003034735005,1.53732541550163,30.8844787380206,-5.29564772531294,0.942405404480321,-5.61928836585266,1.91745593259429e-08,4.57196006727241e-08
"MAGEL2",3.90717274293693,7.74055727736658,0,0,2.91193250507588,-5.36787910745654,2.49785496344048,-2.14899551255889,0.031634755668198,0.0463536097203584
"MAPK3",2468.03078262183,2644.69040310025,882.062495247304,877.81281225143,1718.1491233052,-1.53864242212404,0.100274298004214,-15.3443350165302,3.86499598493776e-53,2.83188489250142e-52
"MCOLN2",246.151882805027,185.773374656798,1.53003034735005,1.53732541550163,108.748153306169,-7.13754581005249,0.796800759001154,-8.9577547830149,3.31356399257324e-19,1.22502330974889e-18
"MCTP1",31.2573819434955,19.3513931934165,3.0600606947001,3.07465083100326,14.1858716656538,-3.04410973364746,1.01447782957418,-3.0006665940893,0.00269389347969349,0.00450148434269129
"MICALL1",2814.4667658289,2633.0795671842,921.078269104731,924.70123742423,1823.33145988552,-1.5613530347405,0.0980758237892484,-15.9198564377663,4.61434436239238e-57,3.56389379949396e-56
"MLC1",13.0239091431231,6.45046439780549,0,0,4.86859338523215,-6.10893390129628,2.14105263318883,-2.85323854565769,0.00432761225504806,0.00706528564257775
"MME",8429.07399742928,9647.31455335788,258.575128702159,258.270669804274,4648.3085873234,-5.1282477417418,0.0989892093141429,-51.8061289434818,0,0
"MMP14",36684.4448834349,37786.8204423445,278.465523217709,272.875261251539,18755.6515275622,-7.07757561166747,0.0786886235759392,-89.9440769203083,0,0
"MR1",1849.39509832348,1844.83281777237,25.2455007312758,26.1345320635277,936.401987222663,-6.16796859508645,0.21379286757706,-28.8502075162224,5.03658746364043e-183,1.18151107019985e-181
"MYO1D",5397.10794891022,5297.12136347786,567.641258866869,562.661102073596,2956.13291833214,-3.24204186127866,0.0869720211634512,-37.2768370552838,3.89500900172516e-304,1.57882656050836e-302
"NBR1",7617.68445781271,7825.70340741761,2240.72944369415,2247.56975746338,4982.92176659696,-1.78275587294564,0.0707405853865704,-25.2013163759326,3.87475915443059e-140,6.82665036087647e-139
"NCSTN",6450.74219858888,6856.84365486723,2317.23096106165,2330.58532990047,4488.85053610456,-1.51764074298914,0.0744581551900998,-20.3824650115818,2.39295621871616e-92,2.79903363764981e-91
"NDRG1",4252.30633522969,4404.37709082159,329.721539853936,322.838337255342,2327.31082579014,-3.729627071164,0.0987270462612765,-37.7771564368867,0,0
"NPC1",3388.82115904063,3318.11888623114,649.497882450097,652.594638880441,2002.25814165058,-2.36481765490274,0.095233151459386,-24.831874391044,4.05944029842884e-136,6.93617042540396e-135
"NRP1",11243.5407632582,11534.7204361558,828.511433090052,847.834966649148,6113.65189978829,-3.76428231129403,0.0727483446996365,-51.7438895254044,0,0
"NTRK2",127.634309602606,169.002167222504,46.6659255941765,47.6570878805505,97.7398725749593,-1.65315750675899,0.368799676782135,-4.48253512905212,7.37614956122002e-06,1.52034616684176e-05
"OPTN",7659.3609670707,7545.75325255286,410.048133089814,406.622572400181,4005.44623127839,-4.21864869293789,0.084878129049567,-49.7024232293609,0,0
"PCSK9",1613.66234283295,1665.50990751338,3.0600606947001,3.07465083100326,821.326740468008,-9.06213593930153,0.526191227052184,-17.2221342230831,1.81182058874697e-66,1.57079943232662e-65
"PHETA2",1265.92396871157,1470.70588269965,185.133672029356,180.635736321441,775.599814940504,-2.90343158968527,0.151233704869113,-19.1983102721584,3.82328637940116e-82,4.0132692130871e-81
"PI4K2A",2214.06455433093,2266.69318938885,615.837214808395,618.004817031655,1428.64994388996,-1.86059538405986,0.10625450836578,-17.5107429574167,1.18635526667974e-68,1.06439819594763e-67
"PIP5K1C",7655.45379432776,7434.8052649106,1207.95895923287,1211.41242741528,4377.40761147163,-2.64090749045323,0.0750903632201498,-35.1697258769494,5.80643756877518e-271,2.05023982677916e-269
"PLA2G3",36.4669456007447,49.0235294233217,1.53003034735005,1.53732541550163,22.1394576967295,-4.80081370629009,1.01266745497487,-4.7407603381598,2.12917671434276e-06,4.56014341947004e-06
"PLD1",824.413448759693,754.704334543242,58.1411531993019,57.6497030813111,423.727159895887,-3.76948426906508,0.206780234806046,-18.2294225200041,3.01487689835229e-74,2.89947164448558e-73
