"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA2",2847.02653868671,2913.02972204896,2869.57191645502,2862.49992366403,2873.03202521368,-0.00703659412785412,0.0813621336890775,-0.0864848770405187,0.93108097739927,0.944031957503982
"ABCA7",437.603347208936,420.570278736918,227.209506581483,220.606197124484,326.497332412955,-0.938333244797027,0.198421757065226,-4.72898364914979,2.25646553065105e-06,4.82424604387934e-06
"ABCB9",256.571010119525,278.660061985197,101.747018098778,103.000802838609,184.994723260527,-1.38636096887286,0.26264962429282,-5.27836646485072,1.30340597784051e-07,2.98785897255275e-07
"ABCC5",1400.07023288573,1443.61393222887,1759.53489945256,1756.39428721061,1589.90333794444,0.306126293043302,0.100344079641335,3.05076586618267,0.00228258493699143,0.00383911889184614
"ABHD17A",2464.12360987889,2519.55139378282,1605.0018343702,1604.19907107595,2048.21897727697,-0.635005619969719,0.0910187391569763,-6.97664707126464,3.02307855644504e-12,8.66564830424685e-12
"ABHD17B",563.935265897231,398.638699784379,851.461888300303,853.984268311155,667.005030573267,0.825391250953746,0.171102530883906,4.82395699636832,1.40737773902983e-06,3.04650822325805e-06
"ABHD17C",556.120920411357,568.930959886444,337.371691590686,344.360893072365,451.696116240213,-0.72273212547527,0.170105905880961,-4.24871859523227,2.14996789024807e-05,4.28479871485252e-05
"ABHD6",269.594919262648,238.667182718803,205.789081718582,206.770268384969,230.205363021251,-0.300894031919313,0.235229861304951,-1.27914895774748,0.200844606141057,0.253975488846676
"ACAP2",3099.6903760633,2943.99195115842,1294.40567385814,1303.65195234538,2160.43498835631,-1.2179767360725,0.091051630730615,-13.3767701500702,8.26620473722309e-41,5.02301328289793e-40
"ACE",434.998565380312,411.53962857999,188.958747897731,186.785037983448,305.57049496037,-1.17179245679406,0.205588071194619,-5.69971034790625,1.2001116104559e-08,2.89485805879605e-08
"ADRB1",1.30239091431231,3.87027863868329,0,0,1.2931673882489,-4.1969183927403,3.37527475940714,-1.24343014773632,0.213709366601974,0.267751540452046
"AKT2",5985.78864217938,5740.91331404688,3538.96019342067,3524.31851503748,4697.4951661711,-0.731373934164006,0.0716550708791697,-10.2068691746507,1.84729448795353e-24,7.98738533182353e-24
"ALS2",2750.6496110276,2960.76315859272,1383.91244917812,1388.20485019797,2120.8825172491,-1.04288794047645,0.092811732306138,-11.2365960053035,2.69577684999906e-29,1.30851883453513e-28
"AMN",33.8621637721201,18.0613003138554,7.65015173675025,9.99261520076059,17.3915577558716,-1.5571041510714,0.860009868275045,-1.81056544641114,0.0702081449839396,0.0975709953692194
"ANK2",855.670830703188,824.369350039541,2233.84430713107,2242.95778121688,1539.21056727267,1.41400599414503,0.104482808294474,13.5333842689201,9.93427391186135e-42,6.12649630061921e-41
"ANKFY1",716.315002871771,699.230340722115,485.019620109966,487.332156714016,596.974280104467,-0.54179492727283,0.149764909749791,-3.61763598814967,0.000297306131373032,0.000540973573520418
"ANKRD13D",1219.03789579632,1228.16842134216,1101.62185009204,1105.33697374567,1163.54128524405,-0.149080949299639,0.112553203140854,-1.32453759768234,0.185324564952919,0.236871794939824
"ANKRD27",966.374058419735,1131.41145537508,950.148845704382,943.149142410249,997.770875477362,-0.148046210170148,0.128275714011006,-1.15412501354267,0.248448919696986,0.305993941416506
"ANKRD50",1771.25164346474,1995.77368468102,1534.6204383921,1543.47471716364,1711.28012092537,-0.291442726783338,0.103152588002955,-2.82535545084908,0.00472281919467024,0.00767949843966294
"ANXA8",7.81434548587387,0,0,0,1.95358637146847,-4.79120068610047,3.16286878493658,-1.51482752269679,0.129816088577078,0.171967588206309
"AOC3",1.30239091431231,11.6108359160499,7.65015173675025,7.68662707750815,7.06250141115515,0.247018237459164,1.38379272158079,0.178508120187957,0.858323944626939,0.884338538383944
"AP1G1",2849.63132051534,3133.6356044539,1942.37352596089,1963.93321830333,2472.39341730837,-0.615166044007479,0.0899844904169178,-6.83635636716149,8.12327233225049e-12,2.28344351689742e-11
"AP2A2",4003.54967059604,3847.05696685119,2682.90821407831,2675.71488568059,3302.30743430153,-0.550926238142135,0.0786006006233357,-7.00918611019584,2.3970842303604e-12,6.89801398990867e-12
"AP2B1",5743.54393211729,5468.70371645949,4152.50236270804,4173.83850308692,4884.64712859294,-0.429305924488006,0.0713719218119312,-6.01505344943983,1.79827356084542e-09,4.52405245999091e-09
"AP2M1",17631.7681979601,17778.7699732315,7074.86032614664,7084.76417733926,12392.5406686694,-1.32239718150889,0.0582612157704121,-22.6977271933358,4.71761260688302e-114,6.70493159123859e-113
"AP2S1",2134.61870855788,1833.22198185632,2405.20770603428,2432.81747003133,2201.46646661995,0.286132231773013,0.099208397476762,2.8841533484102,0.00392467587306825,0.00644586548962298
"AP3D1",7305.11063837775,6803.94984680523,5106.47628428079,5109.30101841966,6081.20944697086,-0.465804062965467,0.0698741561984862,-6.66632827224836,2.62282254261231e-11,7.20781964302233e-11
"AP4B1",154.984518803165,138.039938113037,166.008292687481,176.023760074937,158.764127419655,0.223185115286501,0.281607024393641,0.792541009113909,0.428045289852634,0.490349467345011
"AP4E1",746.269993900954,819.208978521297,829.276448263728,820.93177187787,803.921798140962,0.0759874597289914,0.134258763179824,0.565977653370865,0.571408971658341,0.629807485599592
"AP4M1",448.022474523435,442.501857689456,681.628519744448,697.177075929989,567.332481971832,0.630698111385962,0.154883487031231,4.07208104282148,4.65949603655609e-05,9.04524867811962e-05
"AP4S1",195.358637146847,125.139009317426,162.94823199278,159.113180504419,160.639764740368,0.00729197074860432,0.303034429556676,0.0240631757892069,0.980802216274473,0.984221260927955
"AP5M1",1380.53436917105,1531.34024803902,1289.81558281609,1299.80863880663,1375.3747097082,-0.169260049105651,0.109649547930954,-1.54364566292816,0.122674196464728,0.163297748208332
"APH1A",3298.95618595308,3616.13034140976,5514.22937184958,5509.00562645009,4484.58038141563,0.672688705626611,0.0767916545134797,8.75991941947975,1.95390000667647e-18,7.08022993671714e-18
"APOA1",2.60478182862462,0,0,0,0.651195457156155,-3.20616294597292,4.88215350673419,-0.656710802220886,0.511366887313928,NA
"APOA2",0,0,0.765015173675025,0.768662707750814,0.38341947035646,1.68530489777293,4.89226936254131,0.344483259788765,0.730482883291038,NA
"APOA5",0,0,0.765015173675025,0.768662707750814,0.38341947035646,1.68530489777293,4.89226936254131,0.344483259788765,0.730482883291038,NA
"APOE",192.753855318222,185.773374656798,209.614157586957,209.076256508222,199.30441101755,0.145514906119561,0.250184867523356,0.581629526837694,0.560816249877717,0.619747751182455
"APPL1",584.773520526228,620.534675068888,843.046721389878,867.051534342919,728.851612831978,0.504628376320157,0.139328661429985,3.62185620059044,0.000292496706625485,0.000532678969046455
"APPL2",5294.21906667954,5144.89040368965,2208.5988063998,2219.89789998435,3716.90154418834,-1.23710178780488,0.0759084338082925,-16.2972903765765,1.03165388337373e-59,8.22997160883953e-59
"ARF6",3358.86616801145,3356.82167261797,2341.71144661925,2314.4434130377,2842.96067507159,-0.528393735865311,0.081333379364054,-6.49664061664256,8.21333470349554e-11,2.19989396947119e-10
"ARFGEF2",3534.68894144361,3251.03405649396,1405.33287404102,1418.951358508,2402.50180762165,-1.26459097541103,0.0903310887223053,-13.9995099505401,1.56949214568415e-44,1.01663823807398e-43
"ARHGAP32",936.419067390552,1061.74643987878,1378.5573429624,1376.67490958171,1188.34943995336,0.463418911838128,0.117734796021453,3.93612532146984,8.28077417896001e-05,0.000157739646316125
"ARL8A",1411.79175111455,1506.82848332736,1702.15876142693,1721.80446536182,1585.64586530767,0.230340848850629,0.101817292312423,2.2622959579777,0.0236791239948491,0.0353801567633076
