"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837827,0.154543285446828,-25.127068168318,2.51742333508006e-139,4.3852223510769e-138
"ABCA2",2847.02653868671,2913.02972204896,2869.57191645502,2862.49992366403,2873.03202521368,-0.00703659412785412,0.0813621336890775,-0.0864848770405187,0.93108097739927,0.944031957503982
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.119814594684699,35.1384114046803,1.74735389667747e-270,6.14431854682612e-269
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630827,-14.4434393582949,2.75732235407765e-47,1.85834773260535e-46
"ABCA7",437.603347208936,420.570278736918,227.209506581483,220.606197124484,326.497332412955,-0.938333244797027,0.198421757065226,-4.72898364914979,2.25646553065105e-06,4.82424604387934e-06
"ABCB9",256.571010119525,278.660061985197,101.747018098778,103.000802838609,184.994723260527,-1.38636096887286,0.26264962429282,-5.27836646485072,1.30340597784051e-07,2.98785897255275e-07
"ABCC5",1400.07023288573,1443.61393222887,1759.53489945256,1756.39428721061,1589.90333794444,0.306126293043302,0.100344079641335,3.05076586618267,0.00228258493699143,0.00383911889184614
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.06601252558887,7.06217317027907,1.63918524467227e-12,4.7427465409734e-12
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404885,0.671486527237479,2.55754114846372,0.0105415085506897,0.0165011042603607
"ABHD17A",2464.12360987889,2519.55139378282,1605.0018343702,1604.19907107595,2048.21897727697,-0.635005619969719,0.0910187391569763,-6.97664707126464,3.02307855644504e-12,8.66564830424685e-12
"ABHD17B",563.935265897231,398.638699784379,851.461888300303,853.984268311155,667.005030573267,0.825391250953746,0.171102530883906,4.82395699636832,1.40737773902983e-06,3.04650822325805e-06
"ABHD17C",556.120920411357,568.930959886444,337.371691590686,344.360893072365,451.696116240213,-0.72273212547527,0.170105905880961,-4.24871859523227,2.14996789024807e-05,4.28479871485252e-05
"ABHD6",269.594919262648,238.667182718803,205.789081718582,206.770268384969,230.205363021251,-0.300894031919313,0.235229861304951,-1.27914895774748,0.200844606141057,0.253975488846676
