"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.119814594684699,35.1384114046803,1.74735389667747e-270,6.14431854682612e-269
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.06601252558887,7.06217317027907,1.63918524467227e-12,4.7427465409734e-12
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404885,0.671486527237479,2.55754114846372,0.0105415085506897,0.0165011042603607
"ADCYAP1R1",0,0,3221.47889634553,3220.69674547591,1610.54391045536,13.7216755973639,1.44602132819272,9.48926224657672,2.32675122143597e-21,9.20725599833841e-21
"ADRA2C",7.81434548587387,7.74055727736658,422.288375868614,426.607802801702,216.112770358389,5.77017319822213,0.476207564581407,12.1169288927491,8.59187124220275e-34,4.58881576030099e-33
"AGAP2",37.769336515057,46.4433436641995,1097.79677422366,1107.64296186892,572.41310406796,4.71035411590962,0.232128410911354,20.2920189623339,1.51254502538365e-91,1.75351977550279e-90
"AP1AR",341.226419549825,434.76130041209,1463.47402724032,1475.06373617381,928.631370844013,1.92074661725038,0.142980391761356,13.4336365538586,3.84077284728384e-41,2.34730788190964e-40
"APOB",0,0,6.88513656307523,6.91796436975733,3.45077523320814,4.85526217972449,2.33319293371614,2.08095186195827,0.0374383124265037,0.0543324188884678
"ARC",5.20956365724924,7.74055727736658,375.622450274437,383.562691167656,193.033815594177,5.87223653683414,0.517610071039675,11.3449039448539,7.86125186739701e-30,3.86217823881605e-29
"ARRB2",203.172982632721,198.674303452409,1310.47099250532,1317.4878810849,757.451539918836,2.70925803836588,0.152087925309302,17.8137615649372,5.52675906756515e-71,5.09589989161382e-70
"ASTN1",49.4908547438678,29.6721362299052,248.629931444383,243.666078357008,142.864750193791,2.63740924357828,0.34533736291504,7.63719633843134,2.2200283224749e-14,6.94638191394873e-14
"ATG9B",2.60478182862462,0,72.6764414991274,76.0976080673306,37.8447078487707,5.84182588172533,1.15738098499771,5.04745278991853,4.47739359989569e-07,9.9756070970259e-07
"ATP13A2",0,0,11.4752276051254,16.9105795705179,7.09645179391083,5.89540274832541,1.92935206642117,3.05563865244202,0.00224581737303996,0.0037802737625085
"ATP6V0E2",0,2.58018575912219,17.5953489945256,17.6792422782687,9.46369425797913,3.76866454728145,1.49453667928432,2.52162733743419,0.0116813387928304,0.0181997851625934
"C9orf72",112.005618630859,103.207430364888,794.850765448351,810.939156677109,455.250742780302,2.8995834503282,0.196185713317036,14.7797890137009,1.97784782096396e-49,1.38351595515864e-48
"CACNG7",0,5.16037151824439,1428.28332925127,1426.63798558551,715.020421588757,9.1050433367909,0.733999354180924,12.4047021089702,2.46427519864476e-35,1.35579041055337e-34
