"","Fibroblast_1","Fibroblast_2","SHSY5Y_1","SHSY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BACE1",2073.4063355852,2292.49504698007,953.208906399082,953.910420318761,1568.25517732078,-1.19492359913828,0.105289906582721,-11.3488902965214,7.51098850576785e-30,3.6943709464802e-29
"CD79A",6.51195457156155,7.74055727736658,3.82507586837513,3.84331353875407,5.48022531401433,-0.894325322304768,1.44573238295423,-0.618596728446581,0.536182057623227,0.597344445173689
"CHMP1A",3121.83102160661,3119.44458277873,2871.10194680237,2873.26120157254,2996.40968819006,-0.119693693979205,0.0799392287448508,-1.49730859127052,0.134312980440579,0.177178381343906
"CHMP2A",1775.15881620768,1612.61609945137,1976.79920877627,1975.46315891959,1835.00932083873,0.222392419106976,0.0987397090437066,2.25230984839681,0.0243026982363134,0.0362608299082445
"CHMP3",2564.40771028094,2776.27987681548,1390.03257056752,1385.13019936697,2028.96258925773,-0.94448321960575,0.0945115592660054,-9.99330904008764,1.63046122183904e-23,6.88849586858562e-23
"CHMP4B",3848.56515179288,3724.49814329289,1889.58747897731,1887.835610236,2837.62159607477,-1.00346242274319,0.0822048541963664,-12.2068511957478,2.85734918640047e-34,1.54502446933542e-33
"CHMP4C",0,1.2900928795611,0,0,0.322523219890274,-2.19797152948353,4.99713882615333,-0.439846001071672,0.660048647867275,NA
"CHMP5",2000.47244438371,2091.24055776854,2481.70922340178,2488.92984769714,2265.58801831279,0.280701709435431,0.0888775391119278,3.15829749833565,0.00158693519135157,0.00271097438039781
"CHMP6",761.898684872702,639.886068262304,616.602229982071,614.930166200652,658.329287329432,-0.186712686350785,0.15176548607604,-1.2302710660923,0.218595615426141,0.273308887838455
"CHMP7",1315.41482345543,1287.51269380197,1917.89304040329,1911.66415417628,1608.12117795924,0.557057288494554,0.100088660469383,5.56563836384797,2.61194432794553e-08,6.17930943945213e-08
