GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024F8H3	HLA-B	located_in	GO:0055038	recycling endosome membrane	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00025061	9606	UniProt		C
UniProtKB	A0A024F8H3	HLA-B	located_in	GO:0031901	early endosome membrane	ECO:0000501	IEA	GO_REF:0000117	ARBA:ARBA00024371	9606	UniProt		C
UniProtKB	A0A024F8Q5	HLA-DRB4	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F8Q5	HLA-DRB4	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F8R0	HLA-DRB5	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F8R0	HLA-DRB5	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F8R8	HLA-DRB1	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F8R8	HLA-DRB1	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F8S3	HLA-DRB3	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F8S3	HLA-DRB3	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F8S6	HLA-DRB5	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F8S6	HLA-DRB5	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F979	HLA-DRB3	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F979	HLA-DRB3	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F986	HLA-DRB4	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F986	HLA-DRB4	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F9R7	HLA-DRB1	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F9R7	HLA-DRB1	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F9S2	HLA-DRB3	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F9S2	HLA-DRB3	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F9S8	HLA-DRB4	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F9S8	HLA-DRB4	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F9U8	HLA-DRB4	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F9U8	HLA-DRB4	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024F9V3	HLA-DRB5	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024F9V3	HLA-DRB5	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024QZ29	ANKRD13B	located_in	GO:0005770	late endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0152	9606	UniProt		C
UniProtKB	A0A024QZ29	ANKRD13B	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0101	9606	UniProt		C
UniProtKB	A0A024QZ62	hCG_1998851	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024QZ62	hCG_1998851	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0101	9606	UniProt		C
UniProtKB	A0A024QZB8	CLN3	located_in	GO:0005769	early endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		C
UniProtKB	A0A024QZB8	CLN3	located_in	GO:0005770	late endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		C
UniProtKB	A0A024R0J7	hCG_1995540	located_in	GO:0005768	endosome	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001376777	9606	UniProt		C
UniProtKB	A0A024R0K8	hCG_1995540	located_in	GO:0005768	endosome	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001376777	9606	UniProt		C
UniProtKB	A0A024R0Q4	PLD3	located_in	GO:0031902	late endosome membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35405|ensembl:ENSMUSP00000112942	9606	Ensembl		C
UniProtKB	A0A024R0S6	EHD2	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024R0S6	EHD2	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024R176	SLC9A7	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024R176	SLC9A7	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024R1U4	RAB5C	located_in	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024R1V3	NBR1	located_in	GO:0005770	late endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97432|ensembl:ENSMUSP00000099388	9606	Ensembl		C
UniProtKB	A0A024R1X3	VPS25	part_of	GO:0000814	ESCRT II complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008570	9606	InterPro		C
UniProtKB	A0A024R1X5	BECN1	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024R1X5	BECN1	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024R1X5	BECN1	located_in	GO:0010008	endosome membrane	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001453755	9606	UniProt		C
UniProtKB	A0A024R215	SH3GL3	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024R215	SH3GL3	located_in	GO:0031901	early endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0093	9606	UniProt		C
UniProtKB	A0A024R230	NTRK2	located_in	GO:0005769	early endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15209|ensembl:ENSMUSP00000078757	9606	Ensembl		C
UniProtKB	A0A024R230	NTRK2	located_in	GO:0005768	endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15209|ensembl:ENSMUSP00000078757	9606	Ensembl		C
UniProtKB	A0A024R2C5	VPS4B	located_in	GO:0010008	endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	UniProt		C
UniProtKB	A0A024R2C5	VPS4B	located_in	GO:0031902	late endosome membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0151	9606	UniProt		C
UniProtKB	A0A024R2K1	RAB5A	located_in	GO:0005769	early endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CQD1|ensembl:ENSMUSP00000017975	9606	Ensembl		C
UniProtKB	A0A024R2K1	RAB5A	located_in	GO:0005768	endosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CQD1|ensembl:ENSMUSP00000017975	9606	Ensembl		C
UniProtKB	A0A024R2L1	WDR48	located_in	GO:0005770	late endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0152	9606	UniProt		C
UniProtKB	A0A024R2L1	WDR48	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0101	9606	UniProt		C
UniProtKB	A0A024R2W8	HYAL3	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0967	9606	UniProt		C
UniProtKB	A0A024R2W8	HYAL3	located_in	GO:0005768	endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0101	9606	UniProt		C
UniProtKB	A0A024R2W8	HYAL3	located_in	GO:0005769	early endosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0094	9606	UniProt		C
UniProtKB	A0A024R323	ABHD6	located_in	GO:0031902	late endosome membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R2Y0|ensembl:ENSMUSP00000129169	9606	Ensembl		C
