"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL1A1",395505.532882888,-6.90077408389576,0.0536860923165132,-128.539325291388,0,0
"FN1",392975.830211097,-6.47876152321351,0.0507396316307451,-127.686412277534,0,0
"COL1A2",317275.852031021,-13.7513948367833,0.141838982235128,-96.9507438652337,0,0
"MT-CO1",234923.163327275,-1.6247297001709,0.0504562528966521,-32.200760201095,1.72218498141164e-227,5.13150696917462e-226
"COL6A3",151246.350692609,-8.68065204381128,0.0610913659122324,-142.09294413686,0,0
"IGFBP5",128650.059098414,-7.3835141118705,0.056885107834711,-129.796960802545,0,0
"COL6A1",108214.096251115,-6.46782243356548,0.0542253481834716,-119.276734041091,0,0
"COL6A2",103991.65979828,-6.20332157095905,0.0545981215186002,-113.617857142681,0,0
"FLNA",93151.2989995689,-2.90694719121004,0.0542983564695192,-53.5365594876131,0,0
"AHNAK",96948.7872833974,-5.68459907886664,0.052710315350725,-107.846045713108,0,0
"SPARC",77286.1598673375,-5.29756990064054,0.0536593944607638,-98.7258606601341,0,0
"COL3A1",73269.7473923512,-3.90644779575993,0.0524215252983418,-74.5199185549739,0,0
"LRP1",71644.908488193,-5.13215781350583,0.053482425612813,-95.9597055425305,0,0
"COL12A1",67359.3411048347,-19.8652520706457,1.44371419613221,-13.7598231865183,4.44612923974523e-43,2.81135737184784e-42
"FBLN1",65282.5374050091,-4.51212424664717,0.0585067937903291,-77.1213726531876,0,0
"THBS1",61980.8780451253,-12.0927573611667,0.17719953184096,-68.2437319982323,0,0
"FTL",49762.7458654814,-3.81308356034244,0.055599760142539,-68.5809354315015,0,0
"SCD",43454.9124250561,-2.26492354433162,0.0520639234209686,-43.5027442326681,0,0
"LAMC1",43881.2789505755,-3.90861299354358,0.0534776259580464,-73.0887529788609,0,0
"APP",39002.4736655207,-1.9519583743271,0.0524113324142631,-37.2430595524395,1.3724042688645e-303,5.49738540150819e-302
"ANXA2",39053.2090049237,-3.56958754239099,0.053523548570719,-66.6919073512962,0,0
"FBN1",39782.560969271,-4.31790150619099,0.0544750182235272,-79.2638836479752,0,0
"MYH9",34995.2629037016,-2.76659814262415,0.0649010930423267,-42.6279129200466,0,0
"SEPTIN11",35387.3577602012,-3.12845558374457,0.0543784381044164,-57.5311776652609,0,0
"COL5A2",36791.926713641,-4.47363145674802,0.0547161736665353,-81.7606780037713,0,0
