"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EEF1A1",231326.818698928,-0.897038222658407,0.0496970757237146,-18.0501208490695,7.8718304599255e-73,7.45235053129179e-72
"MT-RNR2",107119.139323822,0.29074418680404,0.0770521956698338,3.77334071114429,0.000161076075700682,0.000300133414119624
"MT-ND4",112483.210760283,-1.15046057753726,0.0645937822288872,-17.8107015542242,5.83735583199617e-71,5.37936253123293e-70
"ACTB",100740.673183965,-0.853570215928395,0.0519665071333604,-16.4253913340356,1.25869163261265e-60,1.01076211292166e-59
"MT-CO2",92295.6363762604,-0.589595230607035,0.0629645894214895,-9.36391765632333,7.6833712003955e-21,2.99436384735009e-20
"EEF2",93873.1751543701,-1.12394019469666,0.0516844332927555,-21.7462033167771,7.50388827368495e-105,9.856615501954e-104
"MT-CO3",92722.6109616574,-1.15507939301585,0.0513425070223077,-22.4975261241915,4.38867244593424e-112,6.13475002648125e-111
"ACTG1",67011.0079098122,-1.24737866660769,0.0529051433671723,-23.5776445770241,6.53664042789228e-123,1.00106673604439e-121
"MT-ND5",61510.7950940695,-1.1978496423121,0.0704501365773769,-17.0028008532883,7.82883352700775e-65,6.62836035008473e-64
"MT-ATP6",57046.8717195165,-1.2377079555458,0.067843944197604,-18.2434551850466,2.3323777391088e-74,2.24564078917369e-73
"PKM",51487.0008353071,-1.06908825771936,0.0513267468106451,-20.8290671852523,2.36012925909902e-96,2.88169916150523e-95
"MT-CYB",52953.1081485519,-1.4658361112302,0.0733402266188777,-19.9867954982961,7.17587797415748e-89,8.08190394649142e-88
"HSP90AB1",40373.5265356351,1.41506301519934,0.0533564449369471,26.5209388832325,5.55916068819444e-155,1.100428731099e-153
"RPL4",43667.4423557353,-0.12437498464201,0.0517935354470525,-2.40136116541332,0.0163342060201166,0.0249545880224575
"RPL13A",43891.2413989379,-0.356824511495109,0.0535330021471228,-6.66550533658585,2.63756225270491e-11,7.24625643803627e-11
"RPL3",43552.5670039794,-0.469837906311302,0.0535466641910158,-8.77436369584592,1.71872912418537e-18,6.24003750431045e-18
"RPS2",38289.9327271352,0.300675946377797,0.052193843389194,5.76075504031664,8.3738494982426e-09,2.03638974625075e-08
"GNAS",36836.3018432907,0.678557337113264,0.0536549878501243,12.646677677175,1.16706465320295e-36,6.59395411510275e-36
"RPLP0",38390.8294868621,0.0972833937573461,0.0521378129925238,1.86588942216076,0.062056837829708,0.0871124335647376
"HSPA8",36435.0000126097,0.619925940989816,0.0541677440138393,11.4445589764903,2.50374492525159e-30,1.24447187036795e-29
"GAPDH",38260.6858035832,-0.292185555358392,0.0555763452286903,-5.25737261340381,1.46128046886128e-07,3.34164366273595e-07
"MT-ND2",36235.8425679646,-0.22386852895444,0.0736743823312287,-3.03862104941663,0.00237663602277426,0.00399098143274649
"MT-ND1",37053.3334855508,-0.808348057448337,0.0596569084877376,-13.5499488313997,7.92853890646678e-42,4.90201327948423e-41
"ENO1",27937.0382657287,0.795897975954558,0.0535850414956864,14.8529879559509,6.65357315466166e-50,4.68314490090234e-49
"TUBB",26885.0285146103,1.11838999503249,0.0617141394416136,18.1221030569594,2.13284409728396e-73,2.03164465217447e-72
