"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RGS5",51095.7963344996,10.125893091244,0.133481900091723,75.8596714931834,0,0
"HSP90AA1",39607.6214105811,1.71021433633328,0.0846715236343086,20.1982232387786,1.01483399131584e-90,1.16853833955988e-89
"HNRNPA2B1",30500.2366494648,2.11648441134774,0.0546690332945187,38.7145022291796,0,0
"PTMA",29251.4182407802,2.38814605385691,0.0608695423274873,39.233842781474,0,0
"MT-RNR1",25414.2560642708,1.66890922224018,0.200061596549844,8.34197692621321,7.30587115672449e-17,2.50318571163625e-16
"NUCKS1",16757.6775981098,1.619807889211,0.0569502687442084,28.4424977252759,6.03393889876437e-178,1.3755760839814e-176
"STMN2",12818.9806324889,5.58941039917709,0.0804164173001606,69.5058370769513,0,0
"GATA2",12980.4373900007,3.03461323814393,0.0619544832586937,48.9813340137592,0,0
"STMN1",12638.5498371791,3.1480817408336,0.0655201877806025,48.0475079127536,0,0
"RPS7",12421.6127367589,1.80480484238594,0.0613128894927873,29.4359776111718,1.9033565086282e-190,4.65131035144479e-189
"HMGB1",11852.4133615225,2.5054010337743,0.0663483690069834,37.7613055342867,0,0
"RPS27",12273.7264869845,1.55450325527085,0.0697019206041278,22.302158129898,3.52103963534803e-110,4.84221353576931e-109
"YWHAG",11851.4915453764,1.77389796026711,0.0596678928094397,29.7295224742121,3.19055410676631e-194,7.9222764545788e-193
"H3-3B",11943.3635047003,1.56062630234943,0.0608215936146362,25.6590827303459,3.34803331476248e-145,6.1077333853841e-144
"RGS4",10636.157895007,4.91361630571486,0.0743740870929823,66.0662402426784,0,0
"CHGA",10458.0591969744,16.4206653615244,1.44399888479542,11.3716606947732,5.78758218549368e-30,2.85330321737082e-29
"HSPD1",11146.8293166766,2.35758234489274,0.066706840330597,35.3424376452046,1.31010364520443e-273,4.67453788028403e-272
"HNRNPA3",10672.9378068162,2.01838337597219,0.0666774216467118,30.2708672009925,2.77274461047812e-201,7.17870342444519e-200
"MT-ND3",10919.5717256481,1.59032560237275,0.0614946513617996,25.8612020257856,1.82047724804799e-147,3.41269156521491e-146
"FUS",10705.5544493277,1.51116479460656,0.0602810200383011,25.0686666159001,1.09277992664025e-138,1.89772743088528e-137
