"","Fibroblast_1","Fibroblast_2","SH.SY5Y_1","SH.SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA2",2847.02653868671,2913.02972204896,2869.57191645502,2862.49992366403,2873.03202521368,-0.00703659412785665,0.0813621336890133,-0.0864848770406182,0.931080977399191,0.944031957503901
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404886,0.671486527237711,2.55754114846283,0.0105415085507164,0.0165011042604025
"ABCG5",3.90717274293693,3.87027863868329,8.41516691042528,7.68662707750815,5.96981134238841,1.04987947982151,1.41892212213964,0.739913391609091,0.45935254812896,0.522268287416137
"ABCG8",1.30239091431231,0,1.53003034735005,1.53732541550163,1.092436669291,1.23916868037014,3.34791636040766,0.370131313620767,0.711284651438562,0.758632160263285
"ACOX1",1100.5203225939,1055.29597548098,833.101524132103,840.917002279391,957.458706121594,-0.364897281956323,0.122542169592873,-2.97772826422641,0.00290393317858856,0.00483680723466391
"ACSM3",13.0239091431231,6.45046439780549,8.41516691042528,9.99261520076059,9.47053891302862,-0.0808152999093947,1.12567994648157,-0.0717924310209056,0.942767096448611,0.951902762385305
"APOA1",2.60478182862462,0,0,0,0.651195457156155,-3.20616294597292,4.88215350673629,-0.656710802220604,0.51136688731411,NA
"APOA2",0,0,0.765015173675025,0.768662707750814,0.38341947035646,1.68530489777293,4.89226936254131,0.344483259788765,0.730482883291038,NA
"APOA5",0,0,0.765015173675025,0.768662707750814,0.38341947035646,1.68530489777293,4.89226936254131,0.344483259788765,0.730482883291038,NA
"APOB",0,0,6.88513656307523,6.91796436975733,3.45077523320814,4.85526217972449,2.33319293371686,2.08095186195763,0.0374383124265619,0.0543324188885523
"APOE",192.753855318222,185.773374656798,209.614157586957,209.076256508222,199.30441101755,0.145514906119562,0.250184867523424,0.58162952683754,0.560816249877821,0.619747751182569
"APOM",59.9099820583663,65.7947368576159,41.3108193784514,44.5824370495472,52.8994938359952,-0.549502430732407,0.477282501297164,-1.15131484862521,0.24960273061665,0.307259025642762
"ARL8B",59.9099820583663,54.1839009415661,123.932458135354,108.381441792865,86.6019457320378,1.02597638475714,0.385738549575768,2.65977145889489,0.00781936897704238,0.012422052446552
"ARV1",384.205319722132,439.921671930334,560.756122303794,562.661102073596,486.886054007464,0.446855479135376,0.16928197983872,2.63971085145098,0.00829767887862317,0.0131437957540138
"CAV1",45186.4527720656,48715.1972251066,794.085750274676,793.259914398841,23872.2489154614,-5.88646565339655,0.0678401923281178,-86.7695896987719,0,0
"CEL",22.1406455433093,45.1532507846384,41.3108193784514,46.1197624650489,38.681119542862,0.377136438617169,0.59084851174608,0.638296333357349,0.523280798372727,0.584543612178532
