"","Fibroblast_1","Fibroblast_2","SH.SY5Y_1","SH.SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837826,0.15454328544682,-25.1270681683191,2.51742333500804e-139,4.38522235095144e-138
"ABCA2",2847.02653868671,2913.02972204896,2869.57191645502,2862.49992366403,2873.03202521368,-0.00703659412785665,0.0813621336890133,-0.0864848770406182,0.931080977399191,0.944031957503901
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.11981459468466,35.1384114046918,1.74735389597102e-270,6.14431854434198e-269
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630852,-14.4434393582929,2.75732235415654e-47,1.85834773265852e-46
"ABCA7",437.603347208936,420.570278736918,227.209506581483,220.606197124484,326.497332412955,-0.938333244797026,0.19842175706526,-4.72898364914897,2.25646553066015e-06,4.82424604389879e-06
"ABCB9",256.571010119525,278.660061985197,101.747018098778,103.000802838609,184.994723260527,-1.38636096887286,0.262649624292896,-5.27836646484918,1.30340597785149e-07,2.9878589725779e-07
"ABCC5",1400.07023288573,1443.61393222887,1759.53489945256,1756.39428721061,1589.90333794444,0.306126293043298,0.100344079641287,3.0507658661841,0.00228258493698056,0.00383911889182787
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.0660125255889,7.06217317027884,1.63918524467501e-12,4.74274654098132e-12
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404886,0.671486527237711,2.55754114846283,0.0105415085507164,0.0165011042604025
"ABHD17A",2464.12360987889,2519.55139378282,1605.0018343702,1604.19907107595,2048.21897727697,-0.635005619969717,0.091018739156925,-6.97664707126855,3.02307855636095e-12,8.6656483040058e-12
"ABHD17B",563.935265897231,398.638699784379,851.461888300303,853.984268311155,667.005030573267,0.825391250953752,0.171102530883909,4.82395699636829,1.40737773903002e-06,3.04650822325846e-06
"ABHD17C",556.120920411357,568.930959886444,337.371691590686,344.360893072365,451.696116240213,-0.722732125475269,0.170105905880989,-4.24871859523157,2.14996789025483e-05,4.284798714866e-05
"ABHD6",269.594919262648,238.667182718803,205.789081718582,206.770268384969,230.205363021251,-0.300894031919311,0.235229861305016,-1.27914895774712,0.200844606141183,0.253975488846836
"ACAP1",53.3980274868048,55.4739938211272,17.5953489945256,17.6792422782687,36.0366531451816,-1.62595253101113,0.586151721541688,-2.77394481881683,0.0055381071104917,0.00894268978556675
"ACAP2",3099.6903760633,2943.99195115842,1294.40567385814,1303.65195234538,2160.43498835631,-1.2179767360725,0.0910516307305719,-13.3767701500765,8.26620473652273e-41,5.02301328247235e-40
"ACE",434.998565380312,411.53962857999,188.958747897731,186.785037983448,305.57049496037,-1.17179245679405,0.205588071194663,-5.699710347905,1.20011161046473e-08,2.89485805881734e-08
"ACKR3",138.053436917105,170.292260102065,0,0,77.0864242547924,-10.0941610644074,1.49597062219745,-6.74756637237968,1.50345469537764e-11,4.18052955898721e-11
"ADCYAP1R1",0,0,3221.47889634553,3220.69674547591,1610.54391045536,13.7216755973639,1.44602132819268,9.48926224657704,2.32675122142883e-21,9.20725599831018e-21
"ADPRH",154.984518803165,171.582352981626,47.4309407678516,48.4257505883013,105.605890785236,-1.76848669730603,0.348588142388397,-5.07328414899318,3.91007955337769e-07,8.75066426862125e-07
"ADRA2C",7.81434548587387,7.74055727736658,422.288375868614,426.607802801702,216.112770358389,5.77017319822213,0.476207564581443,12.1169288927482,8.59187124229863e-34,4.5888157603522e-33
"ADRB1",1.30239091431231,3.87027863868329,0,0,1.2931673882489,-4.1969183927403,3.37527475940841,-1.24343014773585,0.213709366602147,0.267751540452262
"ADRB2",67.7243275442402,61.9244582189327,6.1201213894002,6.14930166200652,35.4795522036449,-3.40143185502005,0.660747767563208,-5.14785220926935,2.6348595376304e-07,5.94848523024256e-07
"AGAP2",37.769336515057,46.4433436641995,1097.79677422366,1107.64296186892,572.41310406796,4.71035411590962,0.232128410911367,20.2920189623327,1.51254502541874e-91,1.75351977554347e-90
"AKT2",5985.78864217938,5740.91331404688,3538.96019342067,3524.31851503748,4697.4951661711,-0.73137393416401,0.0716550708790824,-10.2068691746632,1.84729448771555e-24,7.98738533079454e-24
"ALS2",2750.6496110276,2960.76315859272,1383.91244917812,1388.20485019797,2120.8825172491,-1.04288794047646,0.0928117323060881,-11.2365960053096,2.6957768498136e-29,1.30851883444511e-28
"AMN",33.8621637721201,18.0613003138554,7.65015173675025,9.99261520076059,17.3915577558716,-1.5571041510714,0.86000986827536,-1.81056544641048,0.0702081449840426,0.0975709953693625
"AMOTL2",14506.0300036105,14681.2569694053,945.558754662331,936.231178040492,7767.26922642966,-3.95515923017333,0.0687878705280769,-57.4979164176767,0,0
"ANK2",855.670830703188,824.369350039541,2233.84430713107,2242.95778121688,1539.21056727267,1.41400599414504,0.104482808294429,13.533384268926,9.93427391107402e-42,6.12649630013367e-41
"ANKFY1",716.315002871771,699.230340722115,485.019620109966,487.332156714016,596.974280104467,-0.541794927272832,0.149764909749792,-3.61763598814965,0.000297306131373051,0.000540973573520452
"ANKRD13A",2062.9872082707,2073.17925745468,279.995553565059,272.106598543788,1172.06715445856,-2.90527194578759,0.12078405947689,-24.0534384948658,7.68407402351215e-128,1.22887300579407e-126
