"","Fibroblast_1","Fibroblast_2","SH.SY5Y_1","SH.SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",15.6286909717477,11.6108359160499,14.5352882998255,16.1419168627671,14.4791830125975,0.171672831558446,0.906873525800737,0.189301844936828,0.849856249417799,0.877071066422306
"A2M-AS1",5.20956365724924,1.2900928795611,0,0,1.62491413420259,-4.52558738900601,3.10644996052261,-1.45683575995689,0.145161722177149,0.189984333008916
"A2ML1",5.20956365724924,1.2900928795611,0.765015173675025,0.768662707750814,2.00833360455904,-2.08271746759796,2.45265135515577,-0.849169802801295,0.395786813633724,0.457967246406538
"A2ML1-AS1",2.60478182862462,1.2900928795611,0,0,0.97371867704643,-3.78697079264565,3.76875071058628,-1.00483451505779,0.314976541087874,0.377287648905879
"A2MP1",1.30239091431231,1.2900928795611,12.2402427788004,11.5299406162622,6.59066679723401,3.19676606757519,1.60838850402498,1.98755839125641,0.046860551968114,0.066942519524472
"AAAS",965.071667505422,1037.23467516712,1311.23600767899,1315.18189296164,1157.1810608283,0.391385914079247,0.115220308324804,3.39684834878184,0.000681667331874527,0.00120410171238242
"AACSP1",0,0,6.1201213894002,8.45528978525896,3.64385279366479,4.93377102620081,2.29737633899366,2.1475676154835,0.031748120382279,0.0465116946927134
"AADACL2",0,0,0.765015173675025,0.768662707750814,0.38341947035646,1.68530489777293,4.89226936254131,0.344483259788765,0.730482883291038,NA
"AADACL2-AS1",0,0,11.4752276051254,12.298603324013,5.9434577322846,5.63964191840218,2.00608530867428,2.81126724472607,0.00493467797403327,0.00801171692103824
"AAGAB",1480.8184695731,1571.33312730542,2042.59051371232,2050.02344157142,1786.19138804056,0.423159513221221,0.0973820922210882,4.34535245207625,1.39052213628803e-05,2.80983081055513e-05
"AAMDC",70.3291093728648,56.7640867006883,96.3919118830532,92.2395249300977,78.931158221676,0.569872518215925,0.399382121427371,1.42688540032596,0.153612929736435,0.200196592897761
"AANAT",1.30239091431231,1.2900928795611,2.29504552102508,2.30598812325244,1.79837935953773,0.827628010716514,2.48539420359239,0.332996676953805,0.739136791558747,0.78425059460447
"AAR2",1471.70173317291,1611.32600657181,1177.35835228586,1176.05394285875,1359.11000872233,-0.389638299522117,0.109128432507785,-3.57045630151723,0.000356359903417018,0.000644079663683584
"AASDH",330.807292235327,446.37213632814,546.985849177643,546.519185210829,467.671115737985,0.492449177539494,0.186837257347549,2.63571187315951,0.00839609908988065,0.0132873040386259
