"","Fibroblast_1","Fibroblast_2","SH.SY5Y_1","SH.SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",4050.43574351129,3956.71486161388,12.2402427788004,12.298603324013,2007.922362807,-8.35007857535498,0.271046344694842,-30.8068296761423,2.1228156037355e-208,5.76862403421498e-207
"A4GALT",237.035146404841,247.697832875731,7.65015173675025,8.45528978525896,125.209605200645,-4.91170586894364,0.436312107554032,-11.2573219580788,2.13137587149328e-29,1.03752616226546e-28
"A4GNT",18.2334728003724,29.6721362299052,1.53003034735005,1.53732541550163,12.7432411982823,-3.96532418926852,1.17646284485823,-3.37054774538704,0.000750189047557167,0.00131841999003631
"AACS",2305.23191833279,2190.57770949474,865.997176600129,860.902232680912,1555.67725927714,-1.38037455748508,0.102572372077099,-13.4575668821182,2.77917834082309e-41,1.70095729515457e-40
"AADACL4",20.838254628997,11.6108359160499,0,0,8.11227263626171,-6.84557711722154,1.89139083490543,-3.61933503688772,0.00029536102783729,0.000537549474580854
"AAK1",2702.46114719805,2426.66470645442,1381.6174036571,1367.4509570887,1969.54855359957,-0.899727418530519,0.0979542198975457,-9.18518282797392,4.10828826533519e-20,1.55852508149325e-19
"AARD",65.1195457156155,94.1767802079601,0,1.53732541550163,40.2084128347693,-6.69828718090909,1.15933795608312,-5.77768298343269,7.57363356799136e-09,1.84707915736308e-08
"AARS1",8979.98535418338,8393.3442744245,3669.01277294542,3658.83448889388,6175.29422261179,-1.24539750128427,0.069677559268133,-17.8737245443936,1.88947292525583e-71,1.75743746782831e-70
"AASS",988.514703963044,958.539009513895,84.9166842779278,86.858885975842,529.707320932677,-3.50270163664051,0.179949603670562,-19.4649033128908,2.1790539325203e-84,2.34978107872538e-83
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837826,0.15454328544682,-25.1270681683191,2.51742333500804e-139,4.38522235095144e-138
"ABCA10",87.2601912589248,86.4362229305935,0,0,43.4241035473796,-9.26610153724047,1.53301080392548,-6.04438110515162,1.49984607384968e-09,3.78899088476319e-09
"ABCA13",44.2812910866186,36.1226006277107,0,0,20.1009729285823,-8.15479845694163,1.63332624029726,-4.99275543106288,5.95239131129751e-07,1.31892255748307e-06
"ABCA4",224.011237261717,194.804024813726,1.53003034735005,1.53732541550163,105.470654459574,-7.09312520266793,0.79512805916976,-8.9207331081666,4.63211656230414e-19,1.70654810616428e-18
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630852,-14.4434393582929,2.75732235415654e-47,1.85834773265852e-46
"ABCA6",109.400836802234,122.558823558304,0,0,57.9899150901346,-9.68345298246499,1.51136439577643,-6.40709349083902,1.48319877926164e-10,3.91706547457311e-10
"ABCA7",437.603347208936,420.570278736918,227.209506581483,220.606197124484,326.497332412955,-0.938333244797026,0.19842175706526,-4.72898364914897,2.25646553066015e-06,4.82424604389879e-06
"ABCA8",72.9338912014894,90.3065015692768,0,0,40.8100981926916,-9.17661352155166,1.54012890352947,-5.95834121450604,2.54811060416351e-09,6.36802685419558e-09
"ABCB9",256.571010119525,278.660061985197,101.747018098778,103.000802838609,184.994723260527,-1.38636096887286,0.262649624292896,-5.27836646484918,1.30340597785149e-07,2.9878589725779e-07
"ABCC1",5983.18386035076,6167.9340571816,3479.28900987402,3481.27340340344,4777.92008270245,-0.803822555828845,0.0707755870455367,-11.357342120125,6.81877082333777e-30,3.3568117003933e-29
"ABCC10",1467.79456042997,1453.93467526536,742.82973363845,737.916199440782,1100.61879219364,-0.980491916770305,0.115525708985115,-8.4872183463218,2.11641891433473e-17,7.39158109008041e-17
"ABCC3",2332.58212753335,2320.87709033041,236.389688665583,237.516776695002,1281.84142080609,-3.29563068723943,0.119515102406991,-27.575014545163,2.21884029211532e-167,4.77627167570172e-166
"ABCC4",1681.38667037719,1704.21269390021,843.046721389878,846.297641233647,1268.73593172523,-1.0029550296241,0.109141306013521,-9.18950914422675,3.94638017194352e-20,1.49877729964868e-19
"ABCC6",286.526001148708,336.714241565446,57.3761380256269,49.9630760038029,182.644864185896,-2.53760158815279,0.282133759073882,-8.99432097910789,2.37696957189316e-19,8.82414234077234e-19
"ABCC9",416.76509257994,439.921671930334,16.0653186471755,14.6045914472655,221.839168651179,-4.80378140943029,0.323812415566907,-14.8350748102731,8.69069895617701e-50,6.10433544548016e-49
"ABCD1",459.743992752246,469.593808160239,301.41597842796,300.547118730568,382.825224517753,-0.626539526178237,0.183307791771945,-3.41796450724649,0.000630913338002697,0.00111782100277882
"ABCF3",1458.67782402979,1496.50774029087,949.383830530707,946.992455949003,1212.89046270009,-0.640015716131265,0.110957702519754,-5.76810533741292,8.01676941975102e-09,1.95206898673909e-08
"ABCG2",61.2123729726786,61.9244582189327,1.53003034735005,1.53732541550163,31.5510467386157,-5.3271280768243,0.934640499332636,-5.69965465933484,1.200503693639e-08,2.89539260618641e-08
"ABHD11-AS1",13.0239091431231,30.9622291094663,0.765015173675025,0.768662707750814,11.3799540335038,-4.84229046408442,1.43642343209095,-3.37107454243883,0.000748755947089209,0.00131617377410092
"ABHD17A",2464.12360987889,2519.55139378282,1605.0018343702,1604.19907107595,2048.21897727697,-0.635005619969717,0.091018739156925,-6.97664707126855,3.02307855636095e-12,8.6656483040058e-12
"ABHD17C",556.120920411357,568.930959886444,337.371691590686,344.360893072365,451.696116240213,-0.722732125475269,0.170105905880989,-4.24871859523157,2.14996789025483e-05,4.284798714866e-05
"ABHD4",2883.49348428746,2985.27492330438,156.82811060338,159.113180504419,1546.17742467491,-4.21535290590676,0.121577049526552,-34.6722750907535,2.06264189178597e-263,7.09147973483661e-262
"ABI1",2210.15738158799,2288.62476834139,1019.00021133513,1015.40343693883,1633.29644955083,-1.14494223426012,0.09966128597592,-11.4883349441905,1.50994164071558e-30,7.53373937306505e-30
"ABI3BP",664.219366299279,696.650154962992,16.8303338208506,13.0672660317638,347.691780278721,-5.50804302432522,0.297931559918388,-18.4876118053221,2.59808606959368e-76,2.56844550675082e-75
"ABL1",7624.19641238427,7525.11176647988,4331.51591334799,4339.8696479611,5955.17343504331,-0.804914114537312,0.0665877207771441,-12.0880262177947,1.22186948111717e-33,6.50132558499185e-33
"ABL2",4339.56652648862,3511.63281816531,2147.3975925058,2144.56895462477,3035.79147294612,-0.871225316834278,0.10108820818103,-8.61846631284704,6.78568369943541e-18,2.41054281429013e-17
"ABLIM3",44.2812910866186,42.5730650255162,4.59009104205015,3.07465083100326,23.629774496297,-3.50193517613911,0.818726493794252,-4.27729553481282,1.89177580243655e-05,3.78310611428027e-05
"ABTB1",1035.40077687829,1006.27244605766,200.433975502857,197.546315891959,609.91337858269,-2.35896345850475,0.155417961007126,-15.1781907523326,4.93198759887083e-52,3.57358691890879e-51
"ABTB2",915.580812761555,881.133436740229,221.854400365757,222.912185247736,560.370208778819,-2.01422567920126,0.159117980035745,-12.6586931203424,1.00152716909105e-36,5.66808978335303e-36
"ACAA1",1183.87334110989,1054.00588260142,462.83418007339,462.73495006599,790.862088462672,-1.27366755441986,0.137880229178621,-9.23749229318333,2.52341737017098e-20,9.65481428587159e-20
"ACACA",7108.44961031659,7014.23498617368,4271.84472980134,4259.92872635501,5663.61451316166,-0.727092523848108,0.0673452598483068,-10.7964914752109,3.57608470603718e-27,1.65268633053974e-26
"ACADS",237.035146404841,214.155418007142,97.1569270567282,93.0081876378486,160.33891977664,-1.2464143028018,0.28115697085163,-4.43316165708567,9.2861185347999e-06,1.89995707981016e-05
"ACAP2",3099.6903760633,2943.99195115842,1294.40567385814,1303.65195234538,2160.43498835631,-1.2179767360725,0.0910516307305719,-13.3767701500765,8.26620473652273e-41,5.02301328247235e-40
"ACAT2",3395.33311361219,3133.6356044539,1708.27888281633,1744.86434659435,2495.5279868692,-0.918920195610814,0.0887830613555153,-10.3501747020321,4.17722867985013e-25,1.83181130644396e-24
"ACBD4",355.552719607261,343.164705963252,121.637412614329,126.829346778884,236.796046240932,-1.49165406321452,0.233432595512216,-6.39008472634861,1.65793865900507e-10,4.36903493941694e-10
"ACCS",812.691930530882,646.33653266011,334.311630895986,335.905603287106,532.311424343521,-1.12220938905867,0.172236280028014,-6.51552268126171,7.24369763330334e-11,1.94539785901366e-10
"ACE",434.998565380312,411.53962857999,188.958747897731,186.785037983448,305.57049496037,-1.17179245679405,0.205588071194663,-5.699710347905,1.20011161046473e-08,2.89485805881734e-08
"ACKR3",138.053436917105,170.292260102065,0,0,77.0864242547924,-10.0941610644074,1.49597062219745,-6.74756637237968,1.50345469537764e-11,4.18052955898721e-11
"ACLY",19395.2054959389,18965.6554224277,11148.5661259661,11149.4525759256,15164.7199050646,-0.782716235506757,0.0570026088477361,-13.7312353123614,6.59985503753965e-43,4.15617122571648e-42
"ACO1",6230.6381340701,5606.74365457253,871.352282815854,865.514208927417,3393.56207009647,-2.76876500198217,0.0874402827310203,-31.6646391743644,4.76857075019207e-220,1.36116648102962e-218
