"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837826,0.15454328544682,-25.1270681683191,2.51742333500804e-139,4.38522235095144e-138
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630852,-14.4434393582929,2.75732235415654e-47,1.85834773265852e-46
"ABCA8",72.9338912014894,90.3065015692768,0,0,40.8100981926916,-9.17661352155166,1.54012890352947,-5.95834121450604,2.54811060416351e-09,6.36802685419558e-09
"AKR1C1",881.718648989435,866.942415065057,37.4857435100762,29.209182894531,453.838997614775,-4.71224878874251,0.227606978282414,-20.7034460204272,3.22468159079693e-95,3.87600793617092e-94
"APOC1",62.5147638869909,42.5730650255162,8.41516691042528,6.14930166200652,29.9130743712347,-2.85069780144691,0.697881469908088,-4.08478792512195,4.41170913032934e-05,8.58287146271633e-05
"CAV3",252.663837376588,188.35356041592,14.5352882998255,12.298603324013,116.962822354087,-4.0384397112588,0.405186772384389,-9.96685969656396,2.12852467874407e-23,8.95266546403896e-23
"CD36",317.783383092204,419.280185857357,3.0600606947001,2.30598812325244,185.607404441878,-7.1014413065856,0.607142966934721,-11.6964894486691,1.32835925803486e-31,6.77299718957191e-31
"CES1",32.5597728578078,50.3136223028828,0,0,20.7183487901726,-8.1986719296513,1.63271351936203,-5.02150060768461,5.12693416519648e-07,1.13943797254249e-06
"CETP",19.5358637146847,30.9622291094663,0,0,12.6245232060377,-7.48399973418135,1.74228981097598,-4.29549647081333,1.74302810345356e-05,3.49428580135213e-05
"CFTR",20.838254628997,19.3513931934165,0,0,10.0474119556034,-7.15440228309275,1.80433864103494,-3.96511060639322,7.33619215984843e-05,0.000140281341637993
"EHD1",6642.19366299279,7065.83870135613,1151.34783638091,1139.15813288671,3999.63458340413,-2.58129398575024,0.0788833389850007,-32.7229300757801,7.37150101970852e-235,2.29299584832838e-233
"GRAMD1B",1075.77489522197,1128.83126961596,262.400204570534,265.188634174031,683.048750895623,-2.06306015282002,0.146300916457297,-14.1014848216771,3.71862317718452e-45,2.4375567750406e-44
"LCAT",565.237656811543,446.37213632814,117.047321572279,113.762080747121,310.60479886477,-2.13177014870611,0.221344371556151,-9.63101132284867,5.91444803939956e-22,2.37810098250857e-21
"LDLRAP1",1177.36138653833,1172.69442752104,221.089385192082,221.374859832235,698.130014770921,-2.40906111447223,0.146426190200913,-16.4523922337031,8.06200637477052e-61,6.49549887424585e-60
"LIPC",87.2601912589248,96.7569659670823,0,0,46.0042893065018,-9.34941579628863,1.52846420209869,-6.11686932768935,9.54315561709966e-10,2.43401344046885e-09
"LIPG",96.376927659111,107.077709003571,43.6058648994765,43.0451116340456,72.526403299051,-1.23147172912298,0.41230048917701,-2.98683062826609,0.00281885845303954,0.00470104987887112
"MYLIP",1433.93239665785,1339.11640898442,384.037617184863,384.331353875407,885.354444175636,-1.85157352666497,0.130693278853734,-14.1673201782408,1.45965155088096e-45,9.62372746124311e-45
"NFE2L1",15025.6839784211,15225.6761645801,6464.37821755396,6416.02762159605,10782.9414955378,-1.23182333293733,0.0596228134519007,-20.6602684714145,7.89243078600797e-95,9.45977730907265e-94
"NPC1",3388.82115904063,3318.11888623114,649.497882450097,652.594638880441,2002.25814165058,-2.36481765490274,0.095233151459336,-24.831874391057,4.0594402971106e-136,6.93617042315155e-135
"NPC2",3783.44560607726,3269.09535680782,377.152480621788,385.100016583158,1953.69836502251,-3.20977639062048,0.110233305846151,-29.11802713329,2.12283067515559e-186,5.07090804315647e-185
"NR1D1",470.163120066744,522.487616222244,93.3318511883531,95.314175761101,295.324190809611,-2.39566148268671,0.219871048469714,-10.8957568509375,1.20758332958692e-27,5.6407027694456e-27
"NR1H2",2563.10531936663,2380.22136279022,1136.81254808109,1138.38947017896,1804.63217510422,-1.11945870302714,0.0981276036044936,-11.4081936367177,3.80549941580571e-30,1.88543179924283e-29
"NR1H3",544.399402182546,584.412074441177,84.9166842779278,83.015572437088,324.185933334685,-2.74886906893045,0.21370712497736,-12.8627862511447,7.29007179277403e-38,4.2056582652335e-37
"OSBPL5",2305.23191833279,2242.18142467719,167.538323034831,166.799807581927,1220.43786840668,-3.76565335618933,0.127541928444972,-29.5248268714552,1.38248848372088e-191,3.39309023229991e-190
"PCSK9",1613.66234283295,1665.50990751338,3.0600606947001,3.07465083100326,821.326740468008,-9.06213593930153,0.526191227052179,-17.2221342230833,1.81182058874174e-66,1.57079943232209e-65
"PIP4K2A",2908.23891165939,2830.46377775705,729.824475685974,734.072885902028,1800.65001275111,-1.97090252982417,0.0977438015591355,-20.1639643474657,2.02951384846922e-90,2.32900427043251e-89
"SCARB1",2399.00406416328,2378.93126991066,1060.31103071359,1086.1204060519,1731.09169270986,-1.15445004335577,0.0972469149133809,-11.8713281998103,1.66798246447149e-32,8.68721685881133e-32
"SCP2",2723.29940182704,2865.2962855052,1097.03175904999,1101.49366020692,1946.78027664729,-1.3459699539659,0.0945122221947129,-14.2412264013108,5.08271659085996e-46,3.37602106293178e-45
"SEC24A",1871.53574386679,2039.63684258609,876.707389031579,887.805427452191,1418.92135073416,-1.14837001588093,0.10789956183915,-10.642953468086,1.88071563439009e-26,8.5292588343074e-26
"SREBF2",15020.4744147639,14658.0352975732,3737.86413857617,3706.49157677443,9280.71635692192,-1.99519408924479,0.0621022012879655,-32.1275904535679,1.81615898896891e-226,5.40203927647075e-225
"STARD4",2995.49910291832,2942.70185827886,1175.82832193851,1169.13597848899,2070.79131540617,-1.34045152393384,0.0912918167927997,-14.6831509222365,8.26583972570074e-49,5.72774467161572e-48
"TSKU",2676.4133289118,2981.4046446657,716.054202559824,714.856318208257,1772.18212358639,-1.98334654197201,0.103561790187128,-19.1513350473014,9.43370259027555e-82,9.85375183230257e-81
"TTC39B",500.118111095927,505.71640878795,113.987260877579,113.762080747121,308.395965377144,-2.14287804835346,0.2103699229683,-10.1862377383499,2.28434167187453e-24,9.84951991752147e-24
"XBP1",5821.68738697603,5802.83777226581,1686.09344277976,1670.30406394252,3745.23066649103,-1.79218276208124,0.0759490518994934,-23.5971709620932,4.1206942195522e-123,6.32783640369571e-122
