"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA1",1656.64124300526,1500.37801892956,107.867139488179,106.075453669612,842.740463773152,-3.88321966837826,0.15454328544682,-25.1270681683191,2.51742333500804e-139,4.38522235095144e-138
"ABCA5",730.641302929206,757.284520302364,117.047321572279,114.530743454871,429.87597206468,-2.68373397415838,0.185809896630852,-14.4434393582929,2.75732235415654e-47,1.85834773265852e-46
"ABCB9",256.571010119525,278.660061985197,101.747018098778,103.000802838609,184.994723260527,-1.38636096887286,0.262649624292896,-5.27836646484918,1.30340597785149e-07,2.9878589725779e-07
"ACAP2",3099.6903760633,2943.99195115842,1294.40567385814,1303.65195234538,2160.43498835631,-1.2179767360725,0.0910516307305719,-13.3767701500765,8.26620473652273e-41,5.02301328247235e-40
"ACE",434.998565380312,411.53962857999,188.958747897731,186.785037983448,305.57049496037,-1.17179245679405,0.205588071194663,-5.699710347905,1.20011161046473e-08,2.89485805881734e-08
"ACKR3",138.053436917105,170.292260102065,0,0,77.0864242547924,-10.0941610644074,1.49597062219745,-6.74756637237968,1.50345469537764e-11,4.18052955898721e-11
"ADPRH",154.984518803165,171.582352981626,47.4309407678516,48.4257505883013,105.605890785236,-1.76848669730603,0.348588142388397,-5.07328414899318,3.91007955337769e-07,8.75066426862125e-07
"ADRB2",67.7243275442402,61.9244582189327,6.1201213894002,6.14930166200652,35.4795522036449,-3.40143185502005,0.660747767563208,-5.14785220926935,2.6348595376304e-07,5.94848523024256e-07
"ALS2",2750.6496110276,2960.76315859272,1383.91244917812,1388.20485019797,2120.8825172491,-1.04288794047646,0.0928117323060881,-11.2365960053096,2.6957768498136e-29,1.30851883444511e-28
"ANKRD13A",2062.9872082707,2073.17925745468,279.995553565059,272.106598543788,1172.06715445856,-2.90527194578759,0.12078405947689,-24.0534384948658,7.68407402351215e-128,1.22887300579407e-126
"ANTXR2",5531.25421308438,5884.11362367816,1732.75936837393,1728.72242973158,3719.21240871702,-1.72153190028436,0.0784920740568396,-21.9325571526843,1.27081263873751e-106,1.69415085214426e-105
"AP1G2",40.3741183436816,14.1910216751721,2.29504552102508,0.768662707750814,14.4072120619074,-4.15331343385209,1.18005289601397,-3.51959937379189,0.000432199094250996,0.000775549807646288
"AP2A1",6324.41027990058,6240.17925843703,1905.65279762449,1902.44020168327,4093.17063441134,-1.72221871881757,0.0740120455243071,-23.2694381923542,9.04365759315111e-120,1.34380997867085e-118
"AP2M1",17631.7681979601,17778.7699732315,7074.86032614664,7084.76417733926,12392.5406686694,-1.32239718150889,0.0582612157702999,-22.6977271933795,4.71761260219479e-114,6.70493158457542e-113
"AP5S1",514.444411153363,525.067801981367,154.533065082355,149.889228011409,335.983626557123,-1.77175739232995,0.199328411694394,-8.88863447648585,6.18644803017529e-19,2.27179747771886e-18
"APBB2",2139.82827221513,2037.05665682697,471.249346983816,469.652914435748,1279.44679761542,-2.15029052352189,0.112952644717253,-19.0370976164796,8.40585301957436e-81,8.70518339539334e-80
"APH1B",832.227794245567,828.239628678224,274.640447349334,272.106598543788,551.803617204228,-1.60263801632729,0.15758122867339,-10.1702342964275,2.69260201440825e-24,1.15921806369353e-23
"APP",62384.5247955597,61583.8736987285,16004.1174332815,16037.378734513,39002.4736655207,-1.9519583743271,0.0524113324141196,-37.2430595525414,1.37240426365208e-303,5.49738538062898e-302
"APPL2",5294.21906667954,5144.89040368965,2208.5988063998,2219.89789998435,3716.90154418834,-1.23710178780488,0.0759084338082498,-16.2972903765857,1.03165388321916e-59,8.22997160760649e-59
"ARFGEF2",3534.68894144361,3251.03405649396,1405.33287404102,1418.951358508,2402.50180762165,-1.26459097541103,0.0903310887222548,-13.9995099505479,1.56949214551124e-44,1.01663823796197e-43
"ARHGAP1",5703.16981377361,5560.30031090833,1419.86816234085,1409.72740601499,3523.26642325944,-1.99297419753021,0.0781200734643074,-25.5116784860781,1.46278247237078e-143,2.62898386357094e-142
"ARRDC4",4080.39073454047,4328.26161092748,315.951266727785,318.995023716588,2260.89965897808,-3.72719096810545,0.100838050672854,-36.9621481497838,4.64749581821478e-299,1.81455330980597e-297
"ARSA",2658.17985611143,2813.69257032275,385.567647532213,382.794028459906,1560.05852560657,-2.83219202975466,0.108438930928734,-26.1178527443798,2.28593899462682e-150,4.37211575278626e-149
"ASAH1",4211.93221688601,4219.89380904435,1698.33368555856,1711.04318745331,2960.30072473556,-1.30633941160397,0.0807889244381731,-16.1697834287137,8.23874508785359e-59,6.49613958087769e-58
"ATG9A",1548.54279711734,1439.74365359018,462.83418007339,459.660299234987,977.695232503975,-1.69567333590816,0.125115556276315,-13.5528577450697,7.62045840766093e-42,4.7149677812646e-41
"ATP6AP1",5993.60298766525,6113.75015624004,1810.79091608879,1805.58870050666,3930.93319012519,-1.74327027395801,0.0750458255047841,-23.2294103267194,2.29749360208198e-119,3.39605146542736e-118
"ATP6AP2",4717.25989163919,4920.41424264602,1836.03641682006,1837.10387152445,3327.70360565743,-1.39168432532914,0.079167632307092,-17.5789560047822,3.57090898646382e-69,3.22597437372881e-68
"ATP6V0D1",3595.90131441629,3409.71548067998,1287.52053729507,1289.81602360587,2395.7383389993,-1.44261305855404,0.0883844935559673,-16.3220153277287,6.88254274215684e-60,5.5086289317998e-59
"ATP6V0E1",4054.34291625422,4481.78266359525,934.083527057206,932.387864501738,2600.6492428521,-2.19329488116563,0.091680109420882,-23.923344932942,1.75088176956292e-126,2.78697056928366e-125
"ATP8A2",19.5358637146847,29.6721362299052,2.29504552102508,2.30598812325244,13.4522583972169,-3.41904013094003,1.07452256932246,-3.18191560470983,0.00146304444402771,0.00250765433821441
"BACE1",2073.4063355852,2292.49504698007,953.208906399082,953.910420318761,1568.25517732078,-1.19492359913828,0.105289906582679,-11.3488902965258,7.51098850538366e-30,3.69437094629123e-29
"BACE2",2650.36551062555,2781.44024833373,2.29504552102508,1.53732541550163,1358.90953247395,-10.4683187527938,0.653952869839744,-16.0077571880052,1.12803289935002e-57,8.78427820383346e-57
"BECN1",1785.57794352218,1811.29040290378,746.654809506825,745.60282651829,1272.28149561277,-1.26925051198267,0.109466407902802,-11.594885922535,4.37448118981602e-31,2.20332706191683e-30
"BET1L",610.821338812474,629.565325225815,224.914461060457,243.666078357008,427.241800863939,-1.40446408526302,0.177787102999153,-7.8996961060202,2.79584236730761e-15,9.03951775487387e-15
"BOK",1901.49073489597,2016.41517075399,156.063095429705,152.963878842412,1056.73321998052,-3.66428231900809,0.135293145978819,-27.0840203507557,1.51896155063021e-161,3.13463462647672e-160
"BSG",20392.8369363022,20404.1089831383,9915.361666002,9928.04753330952,15160.088779688,-1.03980140831553,0.0565374143020259,-18.391385972497,1.53992592035183e-75,1.50483900064761e-74
