"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA2",2847.02653868671,2913.02972204896,2869.57191645502,2862.49992366403,2873.03202521368,-0.00703659412785665,0.0813621336890133,-0.0864848770406182,0.931080977399191,0.944031957503901
"ABCA7",437.603347208936,420.570278736918,227.209506581483,220.606197124484,326.497332412955,-0.938333244797026,0.19842175706526,-4.72898364914897,2.25646553066015e-06,4.82424604389879e-06
"ABCC5",1400.07023288573,1443.61393222887,1759.53489945256,1756.39428721061,1589.90333794444,0.306126293043298,0.100344079641287,3.0507658661841,0.00228258493698056,0.00383911889182787
"ABCG4",20.838254628997,9.03065015692768,48.9609711152016,49.1944132960521,32.0060722992946,1.71735442404886,0.671486527237711,2.55754114846283,0.0105415085507164,0.0165011042604025
"ABHD17A",2464.12360987889,2519.55139378282,1605.0018343702,1604.19907107595,2048.21897727697,-0.635005619969717,0.091018739156925,-6.97664707126855,3.02307855636095e-12,8.6656483040058e-12
"ABHD17B",563.935265897231,398.638699784379,851.461888300303,853.984268311155,667.005030573267,0.825391250953752,0.171102530883909,4.82395699636829,1.40737773903002e-06,3.04650822325846e-06
"ABHD17C",556.120920411357,568.930959886444,337.371691590686,344.360893072365,451.696116240213,-0.722732125475269,0.170105905880989,-4.24871859523157,2.14996789025483e-05,4.284798714866e-05
"ABHD6",269.594919262648,238.667182718803,205.789081718582,206.770268384969,230.205363021251,-0.300894031919311,0.235229861305016,-1.27914895774712,0.200844606141183,0.253975488846836
"ACAP1",53.3980274868048,55.4739938211272,17.5953489945256,17.6792422782687,36.0366531451816,-1.62595253101113,0.586151721541688,-2.77394481881683,0.0055381071104917,0.00894268978556675
"ADRB1",1.30239091431231,3.87027863868329,0,0,1.2931673882489,-4.1969183927403,3.37527475940841,-1.24343014773585,0.213709366602147,0.267751540452262
"AKT2",5985.78864217938,5740.91331404688,3538.96019342067,3524.31851503748,4697.4951661711,-0.73137393416401,0.0716550708790824,-10.2068691746632,1.84729448771555e-24,7.98738533079454e-24
"AMN",33.8621637721201,18.0613003138554,7.65015173675025,9.99261520076059,17.3915577558716,-1.5571041510714,0.86000986827536,-1.81056544641048,0.0702081449840426,0.0975709953693625
"AMOTL2",14506.0300036105,14681.2569694053,945.558754662331,936.231178040492,7767.26922642966,-3.95515923017333,0.0687878705280769,-57.4979164176767,0,0
"ANKFY1",716.315002871771,699.230340722115,485.019620109966,487.332156714016,596.974280104467,-0.541794927272832,0.149764909749792,-3.61763598814965,0.000297306131373051,0.000540973573520452
"ANKRD13D",1219.03789579632,1228.16842134216,1101.62185009204,1105.33697374567,1163.54128524405,-0.149080949299643,0.112553203140831,-1.32453759768265,0.185324564952818,0.236871794939695
"ANKRD27",966.374058419735,1131.41145537508,950.148845704382,943.149142410249,997.770875477362,-0.148046210170154,0.128275714010995,-1.15412501354282,0.248448919696925,0.30599394141643
"ANKRD50",1771.25164346474,1995.77368468102,1534.6204383921,1543.47471716364,1711.28012092537,-0.291442726783342,0.103152588002911,-2.82535545085032,0.00472281919465198,0.00767949843963325
"ANTXR1",20685.8748920224,22252.8120795494,3610.10660457244,3556.60234876302,12526.3489812268,-2.58290064923013,0.0640453917765885,-40.3292192862234,0,0
"ANXA1",21058.3586935158,21818.0507791373,546.220834003968,539.601220841072,10990.5578818745,-5.30331914100082,0.0716985666822206,-73.9668780898504,0,0
"ANXA2",72700.7632278275,71376.9687474768,6078.81057002175,6056.29347436867,39053.2090049237,-3.56958754239098,0.0535235485705797,-66.6919073514696,0,0
"ANXA6",14694.8766861858,14282.6182696209,2185.64835118955,2185.30807813557,8337.11284628295,-2.72890724547449,0.0645683673562774,-42.2638415250125,0,0
"ANXA8",7.81434548587387,0,0,0,1.95358637146847,-4.79120068610047,3.16286878493775,-1.51482752269623,0.12981608857722,0.171967588206497
"AOC3",1.30239091431231,11.6108359160499,7.65015173675025,7.68662707750815,7.06250141115515,0.247018237459165,1.3837927215813,0.178508120187892,0.858323944626989,0.884338538383978
"AP1G1",2849.63132051534,3133.6356044539,1942.37352596089,1963.93321830333,2472.39341730837,-0.615166044007475,0.0899844904168554,-6.83635636716619,8.1232723319841e-12,2.28344351682254e-11
"AP2A2",4003.54967059604,3847.05696685119,2682.90821407831,2675.71488568059,3302.30743430153,-0.550926238142141,0.0786006006232736,-7.00918611020145,2.39708423026436e-12,6.8980139896323e-12
"AP2B1",5743.54393211729,5468.70371645949,4152.50236270804,4173.83850308692,4884.64712859294,-0.42930592448801,0.0713719218118473,-6.01505344944695,1.79827356076636e-09,4.524052459792e-09
"AP2S1",2134.61870855788,1833.22198185632,2405.20770603428,2432.81747003133,2201.46646661995,0.286132231773013,0.0992083974767121,2.88415334841165,0.00392467587305022,0.00644586548959335
