"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAT",312.573819434955,403.799071302623,820.096266179627,821.700434585621,589.542397875706,1.19628071159975,0.167830580227957,7.12790666620408,1.01906836608405e-12,2.98000294930638e-12
"AASDHPPT",166.706037031976,147.070588269965,366.442268190337,352.047520149873,258.066603410538,1.19536138672695,0.22937764372439,5.2113247277195,1.87496931552134e-07,4.26526638826874e-07
"AATK",22.1406455433093,12.900928795611,704.578974954698,704.863703007497,361.121063075279,5.33140190379191,0.333162916865591,16.0023869221399,1.2296871360873e-57,9.56273183118435e-57
"ABAT",56.0028093154294,70.9551083758603,823.156326874327,823.237760001122,443.338001141685,3.69639247540091,0.221132769946673,16.7157155237205,1.00703957991284e-62,8.33913224048744e-62
"ABCA12",35.1645546864324,29.6721362299052,633.432563802921,641.83336097193,335.025653922797,4.29825462871838,0.276906910317595,15.5223812355876,2.44795503078947e-54,1.82351176504072e-53
"ABCA3",222.708846347405,199.96439633197,3916.11267404246,3905.57521808189,2061.09028370093,4.21009452031598,0.11981459468466,35.1384114046918,1.74735389597102e-270,6.14431854434198e-269
"ABCB1",5.20956365724924,0,3866.38668775358,3885.58998768037,1939.2965597728,10.545986520997,0.727184852601237,14.5024837677415,1.16844171327204e-47,7.9315803589977e-47
"ABCB4",40.3741183436816,50.3136223028828,231.034582449858,231.367475032995,138.272449532354,2.3498407857539,0.331564955962994,7.08712046762918,1.36931181576292e-12,3.98157710647448e-12
"ABCC8",0,0,80.3265932358777,78.4035961905831,39.6825473566152,8.37878744286631,1.53849495494383,5.44609354482558,5.14880656576519e-08,1.20268643533154e-07
"ABCD2",0,0,1019.00021133513,1029.23936567834,512.059894253369,12.0685142583934,1.45114414971768,8.31655095101432,9.05600710253118e-17,3.09222405768777e-16
"ABCD3",748.874775729579,885.003715378913,1855.92681133561,1847.86514943296,1334.41761296927,1.18057816500995,0.117772183471277,10.0242530130035,1.19257955192248e-23,5.05610861454104e-23
"ABCG1",0,2.58018575912219,239.449749360283,239.054102110503,120.271009307477,7.52836505739513,1.0660125255889,7.06217317027884,1.63918524467501e-12,4.74274654098132e-12
"ABHD1",7.81434548587387,7.74055727736658,53.5510621572518,55.3437149580586,31.1124199696377,2.80750512703434,0.715686615200849,3.92281351558663,8.75208937612613e-05,0.000166549564105464
"ABLIM1",1216.4331139677,1243.6495358969,4163.21257513949,4165.38321330166,2697.16960957644,1.7593465614849,0.0862408701305041,20.4003804556073,1.65919694798748e-92,1.94477577395578e-91
"ABLIM2",2.60478182862462,14.1910216751721,169.068353382181,169.105795705179,88.7424881477891,4.32831779629522,0.553133967489184,7.8250804519248,5.07332367299368e-15,1.62545423999481e-14
"ACAA2",1006.74817676342,848.881114751202,1851.33672029356,1870.15636795773,1394.28059494148,1.00408842729633,0.11621249437931,8.64010735385346,5.61602252312909e-18,1.99963367993343e-17
"ACADM",649.893066241843,922.416408886184,1934.72337422414,1945.48531331731,1363.12954066737,1.30305679146106,0.141084243050581,9.23601929801539,2.55838375523463e-20,9.78419042983673e-20
"ACBD7",19.5358637146847,25.8018575912219,378.682510969138,378.950714921152,200.742736799049,4.06206857669089,0.341289518823041,11.9021193229115,1.15379241442355e-32,6.03325442320489e-32
"ACD",351.645546864324,295.431269419491,794.085750274676,782.498636490329,555.915300762205,1.28495835031211,0.165316926627829,7.77269682253946,7.68324861341208e-15,2.44367592603353e-14
"ACHE",32.5597728578078,27.091950470783,108.632154661854,108.381441792865,69.1663299458273,1.86338896057503,0.447127210720583,4.16746938208485,3.07999866780846e-05,6.06219693754304e-05
"ACOT11",71.6315002871771,69.6650154962992,282.290599086084,285.942527283303,177.382410538216,2.00779282007508,0.283811549358996,7.07438729893055,1.50110503942224e-12,4.35287143410404e-12
"ACOT7",1213.82833213907,1162.37368448455,3623.8768776986,3625.01332975284,2406.27305601876,1.60914023335886,0.0896522726485977,17.9486831267075,4.91418163671593e-72,4.6162865551982e-71
"ACRV1",3.90717274293693,1.2900928795611,58.1411531993019,59.1870284968127,30.6313618296532,4.49923222031197,0.938961095720051,4.7917131400015,1.65363222463233e-06,3.5668389259786e-06
"ACTG1P25",7.81434548587387,3.87027863868329,68.8513656307523,69.1796436975733,37.4289083632207,3.56374163351055,0.724887527996907,4.91626838077666,8.8209450039722e-07,1.93309587028986e-06
"ACTL6A",673.336102699465,672.138390251332,2243.02448921517,2253.71905912539,1460.55451032284,1.7407668711808,0.107711004339977,16.1614579851682,9.43046249789053e-59,7.42889494731785e-58
"ACTL6B",0,0,1193.42367093304,1176.05394285875,592.369403447947,12.2787009970412,1.45013214115601,8.4672980127541,2.51150926762373e-17,8.75163590507209e-17
"ACTN2",0,1.2900928795611,156.063095429705,153.732541550163,77.7714324648573,7.90095461054185,1.49058581999399,5.30057008765435,1.15441637126652e-07,2.6520502704708e-07
"ACTR3B",270.897310176961,236.086996959681,1209.48898958022,1223.7110307393,735.046081864038,2.26302174243985,0.151458337516335,14.9415461674124,1.76824316743243e-50,1.25708840333497e-49
"ACTR5",246.151882805027,223.18606816407,799.440856490402,804.021192307352,518.199999941712,1.77260492857573,0.169949560227998,10.4301824976638,1.80541205041953e-25,7.98518704800138e-25
"ACVR2A",184.939509832348,198.674303452409,416.168254479214,426.607802801702,306.597467641418,1.13542036976499,0.209533626363189,5.41879787732466,6.00011039944412e-08,1.39711920789908e-07
"ACVR2B",170.613209774913,156.101238426893,1783.25036983648,1797.90207342916,976.966722866861,3.4544900638165,0.147895742501405,23.3576031695684,1.15356800096584e-120,1.73228991409407e-119
"ACVR2B-AS1",13.0239091431231,20.6414860729776,73.4414566728024,72.2542945285766,44.8402866043699,2.11299202563124,0.569161253748431,3.71246639105406,0.000205249322728756,0.000378743426469491
"ACYP1",85.9578003446125,101.917337485327,367.972298537687,360.502809935132,229.08756157569,1.95488913006453,0.252759770090373,7.73417830442546,1.04073086894879e-14,3.29341775260409e-14
"ADAM11",36.4669456007447,32.2523219890274,283.820629433434,282.099213744549,158.659777691939,3.04203892948429,0.329893129270171,9.2212861062437,2.93557758059224e-20,1.11964629752478e-19
"ADAM22",16.93108188606,42.5730650255162,5838.59580548779,5847.9858805682,2936.52145824189,7.61698841631542,0.601374647170491,12.6659619791986,9.12943052469676e-37,5.17364858296462e-36
"ADAM23",382.902928807819,316.072755492469,1040.42063619803,1037.6946554636,694.272743990481,1.57215170924429,0.153396630421575,10.2489324890879,1.19657729145752e-24,5.19230166533331e-24
"ADAMTS17",2.60478182862462,9.03065015692768,249.394946618058,244.434741064759,126.366279917092,5.40425674252268,0.569615885781729,9.48754569073506,2.36537706057128e-21,9.35574382783947e-21
