GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYY4	BCL9	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D219|ensembl:ENSMUSP00000046152	9606	Ensembl		P
UniProtKB	A0A024R0H6	PAF1	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2T8|ensembl:ENSMUSP00000003529	9606	Ensembl		P
UniProtKB	A0A024R1K0	EIF4ENIF1	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9EST3|ensembl:ENSMUSP00000136768	9606	Ensembl		P
UniProtKB	A0A024R8B7	CRSP8	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9DB40|ensembl:ENSMUSP00000028139	9606	Ensembl		P
UniProtKB	A0A024R9N2	FANCC	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P50652|ensembl:ENSMUSP00000124406	9606	Ensembl		P
UniProtKB	A0A024RAW0	SURB7	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CQ39|ensembl:ENSMUSP00000032429	9606	Ensembl		P
UniProtKB	A0A024RBQ4	TBX3	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70324|ensembl:ENSMUSP00000018748	9606	Ensembl		P
UniProtKB	A0A024RC40	SS18	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62280|ensembl:ENSMUSP00000046320	9606	Ensembl		P
UniProtKB	A0A024RC42	CDH2	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15116|ensembl:ENSMUSP00000025166	9606	Ensembl		P
UniProtKB	A0A024RE06	LIG4	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BTF7|ensembl:ENSMUSP00000093130	9606	Ensembl		P
UniProtKB	A0A0P1J1R0	seTCTP	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P63028|ensembl:ENSMUSP00000106519	9606	Ensembl		P
UniProtKB	A0A0S2Z559	RAF1	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99N57|ensembl:ENSMUSP00000000451	9606	Ensembl		P
UniProtKB	A0A0S2Z590	LSM1	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VC85|ensembl:ENSMUSP00000041022	9606	Ensembl		P
UniProtKB	A0A2R8Y8E0	BRAF	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P28028|ensembl:ENSMUSP00000002487	9606	Ensembl		P
UniProtKB	A0A384MR33	SMC1L1	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CU62|ensembl:ENSMUSP00000044645	9606	Ensembl		P
UniProtKB	A0A384P5C6	A0A384P5C6	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61483|ensembl:ENSMUSP00000014917	9606	Ensembl		P
UniProtKB	A1LQR0	HESX1	involved_in	GO:0019827	stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61658|ensembl:ENSMUSP00000041999	9606	Ensembl		P
UniProtKB	B6ZGT9	NR2E1	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64104|ensembl:ENSMUSP00000019938	9606	Ensembl		P
UniProtKB	O00512	BCL9	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D219|ensembl:ENSMUSP00000046152	9606	Ensembl		P
UniProtKB	O00548	DLL1	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q61483	9606	UniProt		P
UniProtKB	O00548	DLL1	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61483|ensembl:ENSMUSP00000014917	9606	Ensembl		P
UniProtKB	O00548	DLL1	involved_in	GO:0097150	neuronal stem cell population maintenance	ECO:0000270	IEP	PMID:19682396		9606	UniProt		P
UniProtKB	O00755	WNT7A	involved_in	GO:0035019	somatic stem cell population maintenance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P24383|ensembl:ENSMUSP00000032180	9606	Ensembl		P
UniProtKB	O14905	WNT9B	involved_in	GO:0072038	mesenchymal stem cell maintenance involved in nephron morphogenesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35468|ensembl:ENSMUSP00000018630	9606	Ensembl		P
