GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,QUALIFIER,GO TERM,SLIMMED FROM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,ASSIGNED BY,ANNOTATION EXTENSION,GO ASPECT
UniProtKB,A0A024QZQ1,SIRT1,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q923E4|ensembl:ENSMUSP00000112595,9606,Ensembl,,P
UniProtKB,A0A024R059,HMGCS1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0153,9606,UniProt,,P
UniProtKB,A0A024R059,HMGCS1,involved_in,GO:0006695,GO:0006695,cholesterol biosynthetic process,ECO:0000323,IEA,GO_REF:0000043,UniProtKB-KW:KW-0152,9606,UniProt,,P
UniProtKB,A0A024R059,HMGCS1,involved_in,GO:0070723,GO:0071397,cellular response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P17425|ensembl:ENSRNOP00000023554,9606,Ensembl,,P
UniProtKB,A0A024R059,HMGCS1,involved_in,GO:0070723,GO:0070723,response to cholesterol,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P17425|ensembl:ENSRNOP00000023554,9606,Ensembl,,P
UniProtKB,A0A024R0T8,APOC1,involved_in,GO:0008203,GO:0008203,cholesterol metabolic process,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P34928|ensembl:ENSMUSP00000104091,9606,Ensembl,,P
UniProtKB,A0A024R1Q0,SREBF2,involved_in,GO:0042632,GO:0042632,cholesterol homeostasis,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q3U1N2|ensembl:ENSMUSP00000023100,9606,Ensembl,,P
UniProtKB,A0A024R2B0,KIAA1468,involved_in,GO:0030301,GO:0032367,intracellular cholesterol transport,ECO:0000256,IEA,GO_REF:0000002,InterPro:IPR040362,9606,InterPro,,P
UniProtKB,A0A024R2C5,VPS4B,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P46467|ensembl:ENSMUSP00000092230,9606,Ensembl,,P
UniProtKB,A0A024R3E3,APOA1,involved_in,GO:0030301,GO:0030301,cholesterol transport,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:Q00623|ensembl:ENSMUSP00000034588,9606,Ensembl,,P
