GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZE4	NTF5	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020432	9606	InterPro		F
UniProtKB	A0A024R0A1	CSF1	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008001	9606	InterPro		F
UniProtKB	A0A024R0A1	CSF1	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
UniProtKB	A0A024R0P8	TGFB1	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001839|InterPro:IPR017948	9606	InterPro		F
UniProtKB	A0A024R0P8	TGFB1	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
UniProtKB	A0A024R0P8	TGFB1	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000954751	9606	UniProt		F
UniProtKB	A0A024R1R5	PDGFB	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000072|InterPro:IPR006782	9606	InterPro		F
UniProtKB	A0A024R1R5	PDGFB	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
UniProtKB	A0A024R2Z5	TDGF1	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017047	9606	InterPro		F
UniProtKB	A0A024R2Z5	TDGF1	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
UniProtKB	A0A024R2Z5	TDGF1	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000759773	9606	UniProt		F
UniProtKB	A0A024R778	PTN	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000762|InterPro:IPR020089|InterPro:IPR020090|InterPro:IPR020091|InterPro:IPR020092|InterPro:IPR037122	9606	InterPro		F
UniProtKB	A0A024R778	PTN	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
UniProtKB	A0A024R7N8	hCG_2045882	enables	GO:0008083	growth factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001839|InterPro:IPR017948	9606	InterPro		F
UniProtKB	A0A024R7N8	hCG_2045882	enables	GO:0008083	growth factor activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0339	9606	UniProt		F
