GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R9Z1	TMEM106B	involved_in	GO:0007041	lysosomal transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q80X71|ensembl:ENSMUSP00000031556	9606	Ensembl		P
UniProtKB	A0A024RC06	MTM1	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR030561	9606	InterPro		P
UniProtKB	A0A024RDG6	SCARB2	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35114|ensembl:ENSMUSP00000031377	9606	Ensembl		P
UniProtKB	A0A0S2Z5J4	AP3B1	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z1T1|ensembl:ENSMUSP00000022196	9606	Ensembl		P
UniProtKB	A0A7I2V381	IGF2R	involved_in	GO:0007041	lysosomal transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000479	9606	InterPro		P
UniProtKB	A0A7I2YQS7	IGF2R	involved_in	GO:0007041	lysosomal transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000479	9606	InterPro		P
UniProtKB	A2RUS2	DENND3	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A2RT67	9606	UniProt		P
UniProtKB	A8K6P5	A8K6P5	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR030561	9606	InterPro		P
UniProtKB	A8MW95	BECN2	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000315	IMP	PMID:23954414		9606	UniProt		P
UniProtKB	A8MW95	BECN2	acts_upstream_of_or_within	GO:0008333	endosome to lysosome transport	ECO:0000315	IMP	PMID:23954414		9606	MGI		P
UniProtKB	A8MW95	BECN2	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P0DM65|ensembl:ENSMUSP00000143887	9606	Ensembl		P
UniProtKB	B2R6S2	B2R6S2	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	B4DUY7	B4DUY7	involved_in	GO:0007041	lysosomal transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000479	9606	InterPro		P
UniProtKB	B7Z499	B7Z499	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR030561	9606	InterPro		P
UniProtKB	B7Z8W1	B7Z8W1	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR030561	9606	InterPro		P
UniProtKB	C4AMC7	WASH3P	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000315	IMP	PMID:20175130		9606	UniProt		P
UniProtKB	C9J2A2	MTM1	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR030561	9606	InterPro		P
UniProtKB	E9PF32	DENND3	involved_in	GO:0008333	endosome to lysosome transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2RT67|ensembl:ENSMUSP00000046774	9606	Ensembl		P
UniProtKB	F5GX30	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	F5GXE0	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	F5GXU0	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	F5H883	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	H0YF90	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
UniProtKB	H0YGE9	M6PR	involved_in	GO:0006622	protein targeting to lysosome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000296	9606	InterPro		P
