GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R2B0	KIAA1468	involved_in	GO:0032367	intracellular cholesterol transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040362	9606	InterPro		P
UniProtKB	A0A024R2C5	VPS4B	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P46467|ensembl:ENSMUSP00000092230	9606	Ensembl		P
UniProtKB	A0A024R3E3	APOA1	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q00623|ensembl:ENSMUSP00000034588	9606	Ensembl		P
UniProtKB	A0A024R3E3	APOA1	involved_in	GO:0033344	cholesterol efflux	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q00623|ensembl:ENSMUSP00000034588	9606	Ensembl		P
UniProtKB	A0A024R3V6	ARV1	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D0U9|ensembl:ENSMUSP00000034463	9606	Ensembl		P
UniProtKB	A0A024R5J8	LRRC54	involved_in	GO:0033344	cholesterol efflux	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CBR6|ensembl:ENSMUSP00000091713	9606	Ensembl		P
UniProtKB	A0A024R6C0	NPC2	involved_in	GO:0032367	intracellular cholesterol transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033916	9606	InterPro		P
UniProtKB	A0A024R6C0	NPC2	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668	9606	Ensembl		P
UniProtKB	A0A024R6C0	NPC2	involved_in	GO:0033344	cholesterol efflux	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668	9606	Ensembl		P
UniProtKB	A0A024R6C0	NPC2	involved_in	GO:0032367	intracellular cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0J0|ensembl:ENSMUSP00000021668	9606	Ensembl		P
UniProtKB	A0A024R730	CFTR	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P26361|ensembl:ENSMUSP00000049228	9606	Ensembl		P
UniProtKB	A0A024R7D5	LDLR	involved_in	GO:0030301	cholesterol transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35951|ensembl:ENSMUSP00000034713	9606	Ensembl		P
